"Geneid","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"ENSG00000290825.2",0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000223972.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000310526.1",80,84,85,63,61,55,70,97,149,168,164,132
"ENSG00000227232.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278267.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000243485.6",0,0,1,2,0,0,1,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.3",2,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000308361.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290826.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241860.8",166,171,1,0,0,152,3,0,2,3,0,0
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308314.1",1,2,0,0,0,0,0,0,0,1,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308579.1",3,4,9,6,10,1,0,0,2,6,1,0
"ENSG00000268903.1",0,0,0,2,4,0,0,0,0,0,0,0
"ENSG00000269981.1",2,16,13,11,15,7,0,0,5,1,2,0
"ENSG00000239906.1",0,0,3,0,0,8,0,0,0,0,0,0
"ENSG00000310528.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000222623.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308415.1",0,0,0,0,0,1,0,0,1,1,1,4
"ENSG00000310527.1",22,5,31,32,32,15,24,26,120,117,134,20
"ENSG00000279928.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279457.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273874.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308625.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000308544.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000292994.2",23,20,6,8,2,12,14,26,18,9,15,14
"ENSG00000228463.11",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000306775.1",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000286448.2",0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000290385.2",2,9,3,2,1,5,1,1,5,2,3,1
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094.13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000278757.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000293331.2",0,6,3,4,3,3,2,0,1,2,1,2
"ENSG00000225880.7",115,154,79,82,82,128,63,102,60,58,80,111
"ENSG00000235146.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225972.1",195,127,106,52,89,87,80,60,115,64,48,34
"ENSG00000225630.1",2328,2106,2761,2229,2540,1496,972,1152,1511,1721,1231,1023
"ENSG00000237973.1",1650,1184,1382,814,1089,788,652,821,1420,1162,844,647
"ENSG00000278791.1",3,1,4,3,0,0,1,1,0,1,0,0
"ENSG00000229344.1",751,480,510,262,440,302,268,313,590,420,316,202
"ENSG00000240409.1",1,0,1,0,0,0,0,1,1,0,1,1
"ENSG00000248527.1",9898,8424,17582,12289,14339,6696,5994,6031,6312,7319,5942,6494
"ENSG00000198744.5",496,390,726,320,527,193,244,267,362,257,194,199
"ENSG00000268663.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284662.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230021.11",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223181.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229905.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228327.6",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237491.11",24,27,63,55,39,20,18,10,26,15,24,15
"ENSG00000285268.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230092.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000177757.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228794.13",626,801,213,238,253,625,487,424,238,270,347,504
"ENSG00000297178.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000297224.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230368.3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234711.1",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000283040.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000296088.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272438.2",7,7,63,28,43,10,4,0,281,203,154,0
"ENSG00000298603.1",0,0,0,0,0,0,0,0,0,0,0,0
