Ensembl,ERR186009,ERR567612,ERR567614,ERR567616,ERR567620,ERR650557,ERR650558,ERR650559
ENSG00000000003,86,129,208,253,154,229,169,132
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,787,1464,1716,2032,937,1892,1740,1460
ENSG00000000457,903,1873,2610,2307,1202,2680,2194,1922
ENSG00000000460,143,493,670,820,454,478,615,596
ENSG00000000938,8,20,16,42,48,103,33,16
ENSG00000000971,11,42,157,123,44,96,54,190
ENSG00000001036,87,206,231,255,115,213,174,187
ENSG00000001084,455,1231,1304,1585,1131,1394,1322,1138
ENSG00000001167,885,2169,2139,2243,1921,2586,2122,1973
ENSG00000001460,125,241,286,236,182,284,291,263
ENSG00000001461,2504,4141,5037,5541,4062,6185,5094,4798
ENSG00000001497,1034,1910,2297,2902,1364,2322,2231,2056
ENSG00000001561,629,789,1113,1635,666,1453,964,896
ENSG00000001617,0,5,19,6,0,3,4,2
ENSG00000001626,0,0,0,0,0,3,0,0
ENSG00000001629,2252,4327,5503,5917,3993,5370,5059,4312
ENSG00000001630,51,39,65,65,39,67,72,42
ENSG00000001631,1071,3179,4262,4295,3220,3960,3431,3360
ENSG00000002016,285,690,813,715,382,831,806,607
ENSG00000002079,1,0,0,0,0,0,0,0
ENSG00000002330,351,189,211,282,83,332,290,259
ENSG00000002549,659,1119,1422,1494,885,1483,1284,1182
ENSG00000002586,923,1307,999,2454,877,1867,1172,1254
ENSG00000002587,10,8,13,10,13,12,3,4
ENSG00000002726,0,0,0,0,1,2,0,1
ENSG00000002745,1,0,0,1,0,0,0,0
ENSG00000002746,17,33,31,39,24,26,21,22
ENSG00000002822,1777,1661,1878,2181,1382,2184,1879,1912
ENSG00000002834,1651,2656,3418,3631,2062,4864,4217,3843
ENSG00000002919,201,437,520,347,324,463,510,335
ENSG00000002933,1,1,3,7,1,4,1,1
ENSG00000003056,3604,4509,5415,6125,2676,6299,5922,5272
ENSG00000003096,71,63,106,141,78,108,91,45
ENSG00000003137,0,1,1,0,0,1,0,1
ENSG00000003147,28,33,91,55,30,58,48,28
ENSG00000003249,57,102,134,104,88,109,133,137
ENSG00000003393,322,655,1328,1336,744,1407,1193,1169
ENSG00000003400,1711,2667,3763,3888,2604,4065,3608,3000
ENSG00000003402,6292,10791,14618,16202,12729,16932,13191,13710
ENSG00000003436,251,599,1521,670,1008,600,630,612
ENSG00000003509,410,1507,1679,2242,1377,1623,1229,1292
ENSG00000003756,4457,11058,13826,14195,10587,13336,11875,10539
ENSG00000003987,3,1,7,9,3,7,12,1
ENSG00000003989,1,6,19,1,0,0,0,0
ENSG00000004059,1011,1229,1335,1662,622,1689,1506,1445
ENSG00000004139,1084,2362,2865,3201,2152,2943,2586,2756
ENSG00000004142,756,1126,1242,1519,701,1425,1287,1198
ENSG00000004399,46,47,269,125,137,228,79,51
ENSG00000004455,1908,3262,3661,4428,2340,4371,3688,3638
ENSG00000004468,449,1199,1246,1631,1241,1160,1074,1005
ENSG00000004478,752,1272,1776,1483,755,1809,1884,1396
ENSG00000004487,2025,4706,4543,5720,3062,4929,4239,4120
ENSG00000004534,3515,8152,11048,9448,6296,9517,9231,8199
ENSG00000004660,181,338,539,619,321,445,449,331
ENSG00000004700,1877,3147,4108,4547,1968,4255,3556,3478
ENSG00000004766,1151,2750,3818,3841,2548,3105,2808,2463
ENSG00000004776,0,0,0,0,0,0,0,0
ENSG00000004777,73,100,153,130,154,186,151,144
ENSG00000004779,529,655,793,980,419,856,678,648
ENSG00000004799,0,2,22,0,5,2,1,4
ENSG00000004809,2,2,0,3,0,2,2,0
ENSG00000004838,17,42,54,43,31,54,64,47
ENSG00000004846,13,20,25,30,22,33,19,30
ENSG00000004848,0,0,0,0,0,0,0,0
ENSG00000004864,217,506,609,776,559,586,470,490
ENSG00000004866,95,139,149,169,139,167,128,115
ENSG00000004897,1847,4011,4581,5499,3299,5008,4237,3701
ENSG00000004939,11,16,17,12,85,22,21,17
ENSG00000004948,0,0,0,0,0,0,0,0
ENSG00000004961,121,162,194,257,106,237,235,189
ENSG00000004975,641,1030,1127,1300,603,1421,1485,1306
ENSG00000005001,2,3,7,4,4,7,3,1
ENSG00000005007,2165,3138,3660,4069,2749,4302,3926,3551
ENSG00000005020,73,128,318,309,173,222,91,93
ENSG00000005022,1890,2938,3415,3805,1798,4065,3752,2974
ENSG00000005059,2677,6791,6686,8487,4569,6806,6727,7721
ENSG00000005073,0,0,6,0,0,0,0,0
ENSG00000005075,342,433,417,648,201,602,594,506
ENSG00000005100,249,452,571,581,532,697,574,580
ENSG00000005102,256,71,231,26,41,39,228,63
ENSG00000005108,0,2,91,1,7,0,0,1
ENSG00000005156,974,2445,3063,3873,2362,3604,2745,2643
ENSG00000005175,987,1799,2452,2301,1817,2549,1898,1892
ENSG00000005187,227,473,579,571,262,546,485,555
ENSG00000005189,3,6,19,18,15,10,10,9
ENSG00000005194,882,1355,1462,2017,756,1691,1261,1085
ENSG00000005206,589,1196,1434,1524,859,2149,1675,1689
ENSG00000005238,80,86,160,149,77,173,229,135
ENSG00000005243,6,8,30,18,6,14,17,7
ENSG00000005249,170,43,91,80,39,58,21,200
ENSG00000005302,1846,4865,5771,6019,4280,6299,5553,5371
ENSG00000005339,2555,5183,5473,6993,8993,7956,6107,6157
ENSG00000005379,256,463,618,636,525,861,670,607
ENSG00000005381,0,10,0,9,15,15,1,45
ENSG00000005421,0,6,5,4,1,1,4,1
ENSG00000005436,810,1845,2375,2389,1219,2150,2018,1734
ENSG00000005448,266,252,356,310,158,363,373,336
ENSG00000005469,217,752,892,1032,654,840,823,660
ENSG00000005471,1,2,1,5,1,5,3,0
ENSG00000005483,4609,8156,9043,12034,11525,11440,9570,9236
ENSG00000005486,697,1117,969,1390,725,1434,1280,1115
ENSG00000005513,101,141,133,202,91,125,202,157
ENSG00000005700,2142,4299,5212,5933,3275,5760,4610,4004
ENSG00000005801,520,1800,2479,2598,1927,2036,1978,1710
ENSG00000005810,14783,35455,40876,48601,33511,40201,33246,33865
ENSG00000005812,2748,6501,7652,9658,5895,7787,6929,5679
ENSG00000005844,6174,8590,9565,12267,7446,13185,10904,11227
ENSG00000005882,265,508,597,682,463,823,622,683
ENSG00000005884,189,273,359,362,202,345,305,347
ENSG00000005889,3839,5538,10503,7603,7111,6792,9083,7750
ENSG00000005893,1908,2715,3084,4012,2141,4034,2888,2929
ENSG00000005961,100,30,44,44,37,56,43,158
ENSG00000005981,4,23,23,13,22,8,18,9
ENSG00000006007,456,729,789,996,431,986,866,722
ENSG00000006015,1078,669,912,1070,419,1074,965,850
ENSG00000006016,20,1,0,0,0,2,5,1
ENSG00000006025,490,942,1166,1216,639,1272,1194,1135
ENSG00000006042,12,30,69,28,27,12,13,12
ENSG00000006047,4,1,0,8,3,2,11,9
ENSG00000006059,1,0,0,0,0,0,0,0
