Ensembl,D1,D2,D3,D4
ENSG00000000003,56,82,109,95
ENSG00000000005,0,0,0,0
ENSG00000000419,1681,1312,2369,1809
ENSG00000000457,837,1137,1541,1493
ENSG00000000460,361,378,518,573
ENSG00000000938,1372,413,1831,1049
ENSG00000000971,630,1082,1927,1268
ENSG00000001036,416,317,582,435
ENSG00000001084,1312,1307,2732,2013
ENSG00000001167,2072,2428,2773,3036
ENSG00000001460,96,132,155,200
ENSG00000001461,2350,2511,3652,4280
ENSG00000001497,1360,1266,2471,2128
ENSG00000001561,1941,2142,3818,2048
ENSG00000001617,3,0,14,5
ENSG00000001626,0,0,0,0
ENSG00000001629,5461,5037,7449,6888
ENSG00000001630,254,200,302,182
ENSG00000001631,288,350,538,455
ENSG00000002016,265,239,389,445
ENSG00000002079,0,0,1,0
ENSG00000002330,629,511,1061,691
ENSG00000002549,1988,1552,3076,2393
ENSG00000002586,0,1,17,0
ENSG00000002587,1,1,1,0
ENSG00000002726,0,0,0,0
ENSG00000002745,0,0,0,0
ENSG00000002746,2,0,3,0
ENSG00000002822,1383,1300,2117,2084
ENSG00000002834,5269,3246,6667,5303
ENSG00000002919,692,453,692,578
ENSG00000002933,1,0,13,6
ENSG00000003056,3214,4531,8853,5621
ENSG00000003096,9,32,32,57
ENSG00000003137,0,0,0,0
ENSG00000003147,67,97,230,77
ENSG00000003249,47,33,27,71
ENSG00000003393,944,947,1744,1448
ENSG00000003400,1182,1058,1674,1957
ENSG00000003402,14285,10628,20570,18360
ENSG00000003436,0,2,2,0
ENSG00000003509,679,754,1668,1543
ENSG00000003756,5751,5360,9920,10410
ENSG00000003987,0,1,6,3
ENSG00000003989,0,0,0,0
ENSG00000004059,2841,1830,3924,2713
ENSG00000004139,1335,1159,1866,2019
ENSG00000004142,1364,911,1924,1636
ENSG00000004399,1102,797,1801,1022
ENSG00000004455,2795,2657,4514,4197
ENSG00000004468,672,418,594,763
ENSG00000004478,1158,1109,1802,1744
ENSG00000004487,3311,2637,5425,5248
ENSG00000004534,3250,3598,7546,7218
ENSG00000004660,137,129,192,266
ENSG00000004700,2815,4137,8242,6122
ENSG00000004766,1590,2053,2994,2661
ENSG00000004776,0,0,0,0
ENSG00000004777,76,61,93,109
ENSG00000004779,804,666,1464,1185
ENSG00000004799,23,5,21,19
ENSG00000004809,0,0,1,1
ENSG00000004838,28,29,39,49
ENSG00000004846,0,0,1,0
ENSG00000004848,0,0,0,0
ENSG00000004864,561,492,881,681
ENSG00000004866,262,175,361,224
ENSG00000004897,3799,4421,6846,5204
ENSG00000004939,1,0,2,0
ENSG00000004948,0,0,0,0
ENSG00000004961,363,252,450,380
ENSG00000004975,1084,790,1253,1263
ENSG00000005001,2,21,16,14
ENSG00000005007,2856,1715,3968,3868
ENSG00000005020,741,371,632,829
ENSG00000005022,6933,4271,7374,5694
ENSG00000005059,5044,6493,11662,8356
ENSG00000005073,1,0,0,0
ENSG00000005075,647,669,1172,801
ENSG00000005100,439,430,769,713
ENSG00000005102,144,113,185,282
ENSG00000005108,0,9,0,0
ENSG00000005156,1437,1512,2254,2790
ENSG00000005175,1135,1644,2090,2179
ENSG00000005187,353,303,577,532
ENSG00000005189,57,34,58,24
ENSG00000005194,961,805,1440,1290
ENSG00000005206,478,370,774,978
ENSG00000005238,269,196,254,250
ENSG00000005243,85,17,81,61
ENSG00000005249,46,47,145,54
ENSG00000005302,3915,4636,6621,7368
ENSG00000005339,6433,4028,4881,6527
ENSG00000005379,2307,1246,2936,1697
