sample_id,filename,sequencing_id,lane,file_type
25060a001_01,25060a001_01_S57_L001_R1_001.fastq.gz,S57,L001,R1
25060a001_01,25060a001_01_S57_L001_R2_001.fastq.gz,S57,L001,R2
25060a001_01,25060a001_01_S57_L001_index_001.fastq.gz,S57,L001,index
25060a001_01,25060a001_01_S57_L002_R1_001.fastq.gz,S57,L002,R1
25060a001_01,25060a001_01_S57_L002_R2_001.fastq.gz,S57,L002,R2
25060a001_01,25060a001_01_S57_L002_index_001.fastq.gz,S57,L002,index
25060a002_01,25060a002_01_S58_L001_R1_001.fastq.gz,S58,L001,R1
25060a002_01,25060a002_01_S58_L001_R2_001.fastq.gz,S58,L001,R2
25060a002_01,25060a002_01_S58_L001_index_001.fastq.gz,S58,L001,index
25060a002_01,25060a002_01_S58_L002_R1_001.fastq.gz,S58,L002,R1
25060a002_01,25060a002_01_S58_L002_R2_001.fastq.gz,S58,L002,R2
25060a002_01,25060a002_01_S58_L002_index_001.fastq.gz,S58,L002,index
25060a003_01,25060a003_01_S59_L001_R1_001.fastq.gz,S59,L001,R1
25060a003_01,25060a003_01_S59_L001_R2_001.fastq.gz,S59,L001,R2
25060a003_01,25060a003_01_S59_L001_index_001.fastq.gz,S59,L001,index
25060a003_01,25060a003_01_S59_L002_R1_001.fastq.gz,S59,L002,R1
25060a003_01,25060a003_01_S59_L002_R2_001.fastq.gz,S59,L002,R2
25060a003_01,25060a003_01_S59_L002_index_001.fastq.gz,S59,L002,index
25060a004_01,25060a004_01_S60_L001_R1_001.fastq.gz,S60,L001,R1
25060a004_01,25060a004_01_S60_L001_R2_001.fastq.gz,S60,L001,R2
25060a004_01,25060a004_01_S60_L001_index_001.fastq.gz,S60,L001,index
25060a004_01,25060a004_01_S60_L002_R1_001.fastq.gz,S60,L002,R1
25060a004_01,25060a004_01_S60_L002_R2_001.fastq.gz,S60,L002,R2
25060a004_01,25060a004_01_S60_L002_index_001.fastq.gz,S60,L002,index
25060a005_01,25060a005_01_S61_L001_R1_001.fastq.gz,S61,L001,R1
25060a005_01,25060a005_01_S61_L001_R2_001.fastq.gz,S61,L001,R2
25060a005_01,25060a005_01_S61_L001_index_001.fastq.gz,S61,L001,index
25060a005_01,25060a005_01_S61_L002_R1_001.fastq.gz,S61,L002,R1
25060a005_01,25060a005_01_S61_L002_R2_001.fastq.gz,S61,L002,R2
25060a005_01,25060a005_01_S61_L002_index_001.fastq.gz,S61,L002,index
25060a006_01,25060a006_01_S62_L001_R1_001.fastq.gz,S62,L001,R1
25060a006_01,25060a006_01_S62_L001_R2_001.fastq.gz,S62,L001,R2
25060a006_01,25060a006_01_S62_L001_index_001.fastq.gz,S62,L001,index
25060a006_01,25060a006_01_S62_L002_R1_001.fastq.gz,S62,L002,R1
25060a006_01,25060a006_01_S62_L002_R2_001.fastq.gz,S62,L002,R2
25060a006_01,25060a006_01_S62_L002_index_001.fastq.gz,S62,L002,index
25060a007_01,25060a007_01_S63_L001_R1_001.fastq.gz,S63,L001,R1
25060a007_01,25060a007_01_S63_L001_R2_001.fastq.gz,S63,L001,R2
25060a007_01,25060a007_01_S63_L001_index_001.fastq.gz,S63,L001,index
25060a007_01,25060a007_01_S63_L002_R1_001.fastq.gz,S63,L002,R1
25060a007_01,25060a007_01_S63_L002_R2_001.fastq.gz,S63,L002,R2
25060a007_01,25060a007_01_S63_L002_index_001.fastq.gz,S63,L002,index
25060a008_01,25060a008_01_S64_L001_R1_001.fastq.gz,S64,L001,R1
25060a008_01,25060a008_01_S64_L001_R2_001.fastq.gz,S64,L001,R2
25060a008_01,25060a008_01_S64_L001_index_001.fastq.gz,S64,L001,index
25060a008_01,25060a008_01_S64_L002_R1_001.fastq.gz,S64,L002,R1
25060a008_01,25060a008_01_S64_L002_R2_001.fastq.gz,S64,L002,R2
25060a008_01,25060a008_01_S64_L002_index_001.fastq.gz,S64,L002,index
25060a009_01,25060a009_01_S65_L001_R1_001.fastq.gz,S65,L001,R1
