sample_id,prepared_sample_id_expected,sample_name,cell_line,prepared_sample_id,data_type,processing_system,genome,tumor_core_annotation,facility_read_count,metadata_file
25060a001_01,QNJNX013AD,HH-1,HH,QNJNX013AD,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,60581228,25060a001_01.metadata.json
25060a002_01,QNJNX014AL,HH-2,HH,QNJNX014AL,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,63198414,25060a002_01.metadata.json
25060a003_01,QNJNX015AT,HH-3,HH,QNJNX015AT,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,61569088,25060a003_01.metadata.json
25060a004_01,QNJNX016A3,M-1,M,QNJNX016A3,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,57573112,25060a004_01.metadata.json
25060a005_01,QNJNX017AB,M-2,M,QNJNX017AB,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,58785282,25060a005_01.metadata.json
25060a006_01,QNJNX018AJ,M-3,M,QNJNX018AJ,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,56814296,25060a006_01.metadata.json
25060a007_01,QNJNX019AR,78-1,78,QNJNX019AR,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,56329978,25060a007_01.metadata.json
25060a008_01,QNJNX020AU,78-2,78,QNJNX020AU,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,63032180,25060a008_01.metadata.json
25060a009_01,QNJNX021A4,78-3,78,QNJNX021A4,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,55251406,25060a009_01.metadata.json
25060a010_01,QNJNX022AC,S-1,S,QNJNX022AC,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,63213458,25060a010_01.metadata.json
25060a011_01,QNJNX023AK,S-2,S,QNJNX023AK,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,63674430,25060a011_01.metadata.json
25060a012_01,QNJNX024AS,S-3,S,QNJNX024AS,rna_seq,NEBNext Ultra II Directional RNA mRNA UMI,GRCh38,no,65960056,25060a012_01.metadata.json
