"sample_id","sample_name","original_cell_line","inferred_cell_line","identity_status","analysis_cell_line","analysis_sample_name"
"25060a001_01","HH-1","HH","HH","consistent","HH","HH-1"
"25060a002_01","HH-2","HH","HH","consistent","HH","HH-2"
"25060a003_01","HH-3","HH","MyLa","suspected_swap","MyLa","M-3"
"25060a004_01","M-1","MyLa","MyLa","consistent","MyLa","M-1"
"25060a005_01","M-2","MyLa","MyLa","consistent","MyLa","M-2"
"25060a006_01","M-3","MyLa","HH","suspected_swap","HH","HH-3"
"25060a007_01","78-1","HuT 78","HuT 78","consistent","HuT 78","78-1"
"25060a008_01","78-2","HuT 78","HuT 78","consistent","HuT 78","78-2"
"25060a009_01","78-3","HuT 78","SeAx","suspected_swap","SeAx","S-3"
"25060a010_01","S-1","SeAx","SeAx","consistent","SeAx","S-1"
"25060a011_01","S-2","SeAx","SeAx","consistent","SeAx","S-2"
"25060a012_01","S-3","SeAx","HuT 78","suspected_swap","HuT 78","78-3"
