sample_id,sample_name,cell_line,read_pairs_million,facility_read_count,observed_reads,difference_reads,difference_percent
25060a001_01,HH-1,HH,30.290613999999998,60581228,60581227.99999999,-7.450580596923828e-9,-1.229849714654815e-14
25060a002_01,HH-2,HH,31.599207,63198414,63198414,0,0
25060a003_01,HH-3,HH,30.784544,61569088,61569088,0,0
25060a004_01,M-1,M,28.786555999999997,57573112,57573111.99999999,-7.450580596923828e-9,-1.2941076725058441e-14
25060a005_01,M-2,M,29.392640999999998,58785282,58785281.99999999,-7.450580596923828e-9,-1.2674227873779406e-14
25060a006_01,M-3,M,28.407148,56814296,56814296,0,0
25060a007_01,78-1,78,28.164989,56329978,56329978,0,0
25060a008_01,78-2,78,31.51609,63032180,63032180,0,0
25060a009_01,78-3,78,27.625703,55251406,55251406,0,0
25060a010_01,S-1,S,31.606729,63213458,63213458,0,0
25060a011_01,S-2,S,31.837215,63674430,63674430,0,0
25060a012_01,S-3,S,32.980028000000004,65960056,65960056.00000001,7.450580596923828e-9,1.1295594711023029e-14
