"sample_name","PC1","PC2","analysis_sample_name","analysis_cell_line","original_cell_line"
"HH-1",-51.3139795409121,-7.93935261548494,"HH-1","HH","HH"
"HH-2",-51.6318080608569,-8.23470009896367,"HH-2","HH","HH"
"HH-3",40.6379931699538,53.2999172884715,"M-3","MyLa","HH"
"M-1",40.7216883407332,52.3997560459995,"M-1","MyLa","MyLa"
"M-2",41.6011313106142,53.5483491426322,"M-2","MyLa","MyLa"
"M-3",-51.0719755971685,-8.08953093612356,"HH-3","HH","MyLa"
"78-1",44.5515584691791,-52.9820827387667,"78-1","HuT 78","HuT 78"
"78-2",44.4681626605704,-51.9985420620538,"78-2","HuT 78","HuT 78"
"78-3",-31.5969040285836,5.93332501320122,"S-3","SeAx","HuT 78"
"S-1",-35.4655942222782,7.70111974914089,"S-1","SeAx","SeAx"
"S-2",-35.825408470303,8.41396792477719,"S-2","SeAx","SeAx"
"S-3",44.9251359690515,-52.0522267128297,"78-3","HuT 78","SeAx"
