"sample_name","PC1","PC2","analysis_sample_name","analysis_cell_line","original_cell_line"
"HH-1",-23.7940320388383,-6.52394437502641,"HH-1","HH","HH"
"HH-2",-23.9422111198897,-6.48829210644182,"HH-2","HH","HH"
"HH-3",20.1203909835112,23.2242455887279,"M-3","MyLa","HH"
"M-1",19.9123135667675,22.516488185933,"M-1","MyLa","MyLa"
"M-2",20.7236987574748,23.543017557746,"M-2","MyLa","MyLa"
"M-3",-23.6682100549408,-6.57102061880674,"HH-3","HH","MyLa"
"78-1",19.7373344291104,-25.3415107991141,"78-1","HuT 78","HuT 78"
"78-2",19.9912685332692,-24.3406495934472,"78-2","HuT 78","HuT 78"
"78-3",-15.5641291151037,7.60198536282384,"S-3","SeAx","HuT 78"
"S-1",-16.768076863735,8.23697845122735,"S-1","SeAx","SeAx"
"S-2",-16.5959428562921,8.55278735064196,"S-2","SeAx","SeAx"
"S-3",19.8475957786665,-24.4100850042637,"78-3","HuT 78","SeAx"
