"sample_name","library_size","detected_genes","analysis_sample_name","analysis_cell_line","original_cell_line"
"HH-1",25501706,21939,"HH-1","HH","HH"
"HH-2",26787612,21833,"HH-2","HH","HH"
"HH-3",25872038,23085,"M-3","MyLa","HH"
"M-1",24455236,22684,"M-1","MyLa","MyLa"
"M-2",24779785,22570,"M-2","MyLa","MyLa"
"M-3",24288804,21862,"HH-3","HH","MyLa"
"78-1",23713900,22471,"78-1","HuT 78","HuT 78"
"78-2",26255819,22640,"78-2","HuT 78","HuT 78"
"78-3",22165707,25186,"S-3","SeAx","HuT 78"
"S-1",26157551,23956,"S-1","SeAx","SeAx"
"S-2",26462992,23659,"S-2","SeAx","SeAx"
"S-3",28123983,23191,"78-3","HuT 78","SeAx"
