"","HH-1","HH-2","M-3","M-1","M-2","HH-3","78-1","78-2","S-3","S-1","S-2","78-3"
"HH-1",0,10.7429031579711,84.1845243206293,83.3708255709007,85.6935694824627,7.67271313791682,86.3057476454793,86.2828246328031,80.1505826943745,81.0297902196586,81.1036698486245,85.9664994295282
"HH-2",10.7429031579711,0,84.2882091431498,83.4992394828321,85.6270059754474,10.8731160770659,85.9904932108257,85.8313949360701,79.6520139893487,80.5706765039233,80.5554269709731,85.5822043620906
"M-3",84.1845243206293,84.2882091431498,0,10.3716273390354,14.0069891022915,83.9379629316587,84.5247279832595,83.4101862778188,84.2435932230959,85.8938417710295,85.8283827844521,83.3467642875482
"M-1",83.3708255709007,83.4992394828321,10.3716273390354,0,15.6475346719589,83.1313324676175,83.2159417253599,82.2031986261334,83.5311831836468,85.0092671564388,84.9547217448749,82.1570393834973
"M-2",85.6935694824627,85.6270059754474,14.0069891022915,15.6475346719589,0,85.4927470285019,85.2560557654056,83.8163459663376,85.6056438587851,87.1858290605569,86.8795182617078,84.1250737280596
"HH-3",7.67271313791682,10.8731160770659,83.9379629316587,83.1313324676175,85.4927470285019,0,85.7335904190454,85.7017462128471,79.5699072421626,80.4590339040703,80.4448888618751,85.3563194393232
"78-1",86.3057476454793,85.9904932108257,84.5247279832595,83.2159417253599,85.2560557654056,85.7335904190454,0,16.0227989377044,87.0313719180731,89.0710793672201,89.0439036460912,11.6169380688629
"78-2",86.2828246328031,85.8313949360701,83.4101862778188,82.2031986261334,83.8163459663376,85.7017462128471,16.0227989377044,0,86.7069198315068,88.7155235025603,88.4032727674061,10.5543311520055
"S-3",80.1505826943745,79.6520139893487,84.2435932230959,83.5311831836468,85.6056438587851,79.5699072421626,87.0313719180731,86.7069198315068,0,12.141312648358,15.468902438423,86.1957641477155
"S-1",81.0297902196586,80.5706765039233,85.8938417710295,85.0092671564388,87.1858290605569,80.4590339040703,89.0710793672201,88.7155235025603,12.141312648358,0,11.0982276418818,88.2249057841439
"S-2",81.1036698486245,80.5554269709731,85.8283827844521,84.9547217448749,86.8795182617078,80.4448888618751,89.0439036460912,88.4032727674061,15.468902438423,11.0982276418818,0,88.0754599975493
"78-3",85.9664994295282,85.5822043620906,83.3467642875482,82.1570393834973,84.1250737280596,85.3563194393232,11.6169380688629,10.5543311520055,86.1957641477155,88.2249057841439,88.0754599975493,0
