Sample	falco-percent_duplicates	falco-percent_gc	falco-avg_sequence_length	falco-median_sequence_length	falco-percent_fails	falco-total_sequences
25060a001_01_S57_L001_R1_001_fastq_gz	61.396	49.5	105.0	105	18.181818181818183	15.178401
25060a001_01_S57_L001_R2_001_fastq_gz	60.5804	49.9	105.0	105	9.090909090909092	15.178401
25060a001_01_S57_L002_R1_001_fastq_gz	61.2485	49.5	105.0	105	18.181818181818183	15.112212999999999
25060a001_01_S57_L002_R2_001_fastq_gz	60.0635	49.9	105.0	105	9.090909090909092	15.112212999999999
25060a002_01_S58_L001_R1_001_fastq_gz	61.124	49.6	105.0	105	18.181818181818183	15.822669999999999
25060a002_01_S58_L001_R2_001_fastq_gz	60.9699	50.1	105.0	105	9.090909090909092	15.822669999999999
25060a002_01_S58_L002_R1_001_fastq_gz	60.9827	49.6	105.0	105	18.181818181818183	15.776537
25060a002_01_S58_L002_R2_001_fastq_gz	60.7764	50.1	105.0	105	9.090909090909092	15.776537
25060a003_01_S59_L001_R1_001_fastq_gz	60.9671	49.9	105.0	105	18.181818181818183	15.412275999999999
25060a003_01_S59_L001_R2_001_fastq_gz	61.0854	50.4	105.0	105	9.090909090909092	15.412275999999999
25060a003_01_S59_L002_R1_001_fastq_gz	60.7847	50.0	105.0	105	18.181818181818183	15.372268
25060a003_01_S59_L002_R2_001_fastq_gz	60.9827	50.5	105.0	105	9.090909090909092	15.372268
25060a004_01_S60_L001_R1_001_fastq_gz	59.1182	49.8	105.0	105	18.181818181818183	14.402346
25060a004_01_S60_L001_R2_001_fastq_gz	59.5539	50.4	105.0	105	9.090909090909092	14.402346
25060a004_01_S60_L002_R1_001_fastq_gz	59.0098	49.8	105.0	105	18.181818181818183	14.38421
25060a004_01_S60_L002_R2_001_fastq_gz	59.3375	50.4	105.0	105	9.090909090909092	14.38421
25060a005_01_S61_L001_R1_001_fastq_gz	61.2014	50.1	105.0	105	18.181818181818183	14.721651
25060a005_01_S61_L001_R2_001_fastq_gz	60.7011	50.6	105.0	105	9.090909090909092	14.721651
25060a005_01_S61_L002_R1_001_fastq_gz	60.7225	50.1	105.0	105	18.181818181818183	14.67099
25060a005_01_S61_L002_R2_001_fastq_gz	60.1705	50.6	105.0	105	9.090909090909092	14.67099
25060a006_01_S62_L001_R1_001_fastq_gz	58.8988	49.4	105.0	105	18.181818181818183	14.216743
25060a006_01_S62_L001_R2_001_fastq_gz	59.1336	49.9	105.0	105	9.090909090909092	14.216743
25060a006_01_S62_L002_R1_001_fastq_gz	58.7357	49.4	105.0	105	18.181818181818183	14.190405
25060a006_01_S62_L002_R2_001_fastq_gz	58.7974	49.9	105.0	105	9.090909090909092	14.190405
25060a007_01_S63_L001_R1_001_fastq_gz	58.9775	50.0	105.0	105	18.181818181818183	14.113577
25060a007_01_S63_L001_R2_001_fastq_gz	58.592	50.5	105.0	105	9.090909090909092	14.113577
25060a007_01_S63_L002_R1_001_fastq_gz	58.6369	50.1	105.0	105	18.181818181818183	14.051412
25060a007_01_S63_L002_R2_001_fastq_gz	58.0382	50.6	105.0	105	9.090909090909092	14.051412
25060a008_01_S64_L001_R1_001_fastq_gz	60.5579	50.0	105.0	105	18.181818181818183	15.764152999999999
25060a008_01_S64_L001_R2_001_fastq_gz	60.9154	50.9	105.0	105	9.090909090909092	15.764152999999999
25060a008_01_S64_L002_R1_001_fastq_gz	60.4816	50.0	105.0	105	18.181818181818183	15.751937
25060a008_01_S64_L002_R2_001_fastq_gz	60.9553	50.9	105.0	105	9.090909090909092	15.751937
25060a009_01_S65_L001_R1_001_fastq_gz	59.4272	49.8	105.0	105	18.181818181818183	13.836165999999999
25060a009_01_S65_L001_R2_001_fastq_gz	58.0136	50.2	105.0	105	9.090909090909092	13.836165999999999
25060a009_01_S65_L002_R1_001_fastq_gz	59.1187	49.8	105.0	105	18.181818181818183	13.789537
25060a009_01_S65_L002_R2_001_fastq_gz	57.8212	50.2	105.0	105	9.090909090909092	13.789537
25060a010_01_S66_L001_R1_001_fastq_gz	58.9182	50.0	105.0	105	18.181818181818183	15.825218
25060a010_01_S66_L001_R2_001_fastq_gz	59.0401	50.4	105.0	105	9.090909090909092	15.825218
25060a010_01_S66_L002_R1_001_fastq_gz	58.7905	50.0	105.0	105	18.181818181818183	15.781511
25060a010_01_S66_L002_R2_001_fastq_gz	58.7809	50.5	105.0	105	9.090909090909092	15.781511
25060a011_01_S67_L001_R1_001_fastq_gz	58.4158	49.9	105.0	105	18.181818181818183	15.945264
25060a011_01_S67_L001_R2_001_fastq_gz	58.6887	50.3	105.0	105	9.090909090909092	15.945264
25060a011_01_S67_L002_R1_001_fastq_gz	58.2064	49.9	105.0	105	18.181818181818183	15.891950999999999
25060a011_01_S67_L002_R2_001_fastq_gz	58.5027	50.4	105.0	105	9.090909090909092	15.891950999999999
25060a012_01_S68_L001_R1_001_fastq_gz	60.8296	49.7	105.0	105	18.181818181818183	16.509332
25060a012_01_S68_L001_R2_001_fastq_gz	60.102	50.3	105.0	105	9.090909090909092	16.509332
25060a012_01_S68_L002_R1_001_fastq_gz	60.5541	49.7	105.0	105	18.181818181818183	16.470696
25060a012_01_S68_L002_R2_001_fastq_gz	59.6607	50.3	105.0	105	9.090909090909092	16.470696
