sample_id,sample_name,cell_line,sequencing_id,lane,read,falco-total_sequences,falco-percent_gc,falco-percent_duplicates,falco-avg_sequence_length,falco-percent_fails
25060a001_01,HH-1,HH,S57,L001,R1,15.178401,49.5,61.396,105,18.181818181818183
25060a001_01,HH-1,HH,S57,L001,R2,15.178401,49.9,60.5804,105,9.090909090909092
25060a001_01,HH-1,HH,S57,L002,R1,15.112213,49.5,61.2485,105,18.181818181818183
25060a001_01,HH-1,HH,S57,L002,R2,15.112213,49.9,60.0635,105,9.090909090909092
25060a002_01,HH-2,HH,S58,L001,R1,15.82267,49.6,61.124,105,18.181818181818183
25060a002_01,HH-2,HH,S58,L001,R2,15.82267,50.1,60.9699,105,9.090909090909092
25060a002_01,HH-2,HH,S58,L002,R1,15.776537,49.6,60.9827,105,18.181818181818183
25060a002_01,HH-2,HH,S58,L002,R2,15.776537,50.1,60.7764,105,9.090909090909092
25060a003_01,HH-3,HH,S59,L001,R1,15.412276,49.9,60.9671,105,18.181818181818183
25060a003_01,HH-3,HH,S59,L001,R2,15.412276,50.4,61.0854,105,9.090909090909092
25060a003_01,HH-3,HH,S59,L002,R1,15.372268,50,60.7847,105,18.181818181818183
25060a003_01,HH-3,HH,S59,L002,R2,15.372268,50.5,60.9827,105,9.090909090909092
25060a004_01,M-1,M,S60,L001,R1,14.402346,49.8,59.1182,105,18.181818181818183
25060a004_01,M-1,M,S60,L001,R2,14.402346,50.4,59.5539,105,9.090909090909092
25060a004_01,M-1,M,S60,L002,R1,14.38421,49.8,59.0098,105,18.181818181818183
25060a004_01,M-1,M,S60,L002,R2,14.38421,50.4,59.3375,105,9.090909090909092
25060a005_01,M-2,M,S61,L001,R1,14.721651,50.1,61.2014,105,18.181818181818183
25060a005_01,M-2,M,S61,L001,R2,14.721651,50.6,60.7011,105,9.090909090909092
25060a005_01,M-2,M,S61,L002,R1,14.67099,50.1,60.7225,105,18.181818181818183
25060a005_01,M-2,M,S61,L002,R2,14.67099,50.6,60.1705,105,9.090909090909092
25060a006_01,M-3,M,S62,L001,R1,14.216743,49.4,58.8988,105,18.181818181818183
25060a006_01,M-3,M,S62,L001,R2,14.216743,49.9,59.1336,105,9.090909090909092
25060a006_01,M-3,M,S62,L002,R1,14.190405,49.4,58.7357,105,18.181818181818183
25060a006_01,M-3,M,S62,L002,R2,14.190405,49.9,58.7974,105,9.090909090909092
25060a007_01,78-1,78,S63,L001,R1,14.113577,50,58.9775,105,18.181818181818183
25060a007_01,78-1,78,S63,L001,R2,14.113577,50.5,58.592,105,9.090909090909092
25060a007_01,78-1,78,S63,L002,R1,14.051412,50.1,58.6369,105,18.181818181818183
25060a007_01,78-1,78,S63,L002,R2,14.051412,50.6,58.0382,105,9.090909090909092
25060a008_01,78-2,78,S64,L001,R1,15.764153,50,60.5579,105,18.181818181818183
25060a008_01,78-2,78,S64,L001,R2,15.764153,50.9,60.9154,105,9.090909090909092
25060a008_01,78-2,78,S64,L002,R1,15.751937,50,60.4816,105,18.181818181818183
25060a008_01,78-2,78,S64,L002,R2,15.751937,50.9,60.9553,105,9.090909090909092
25060a009_01,78-3,78,S65,L001,R1,13.836166,49.8,59.4272,105,18.181818181818183
25060a009_01,78-3,78,S65,L001,R2,13.836166,50.2,58.0136,105,9.090909090909092
25060a009_01,78-3,78,S65,L002,R1,13.789537,49.8,59.1187,105,18.181818181818183
25060a009_01,78-3,78,S65,L002,R2,13.789537,50.2,57.8212,105,9.090909090909092
25060a010_01,S-1,S,S66,L001,R1,15.825218,50,58.9182,105,18.181818181818183
25060a010_01,S-1,S,S66,L001,R2,15.825218,50.4,59.0401,105,9.090909090909092
25060a010_01,S-1,S,S66,L002,R1,15.781511,50,58.7905,105,18.181818181818183
25060a010_01,S-1,S,S66,L002,R2,15.781511,50.5,58.7809,105,9.090909090909092
25060a011_01,S-2,S,S67,L001,R1,15.945264,49.9,58.4158,105,18.181818181818183
25060a011_01,S-2,S,S67,L001,R2,15.945264,50.3,58.6887,105,9.090909090909092
25060a011_01,S-2,S,S67,L002,R1,15.891951,49.9,58.2064,105,18.181818181818183
25060a011_01,S-2,S,S67,L002,R2,15.891951,50.4,58.5027,105,9.090909090909092
25060a012_01,S-3,S,S68,L001,R1,16.509332,49.7,60.8296,105,18.181818181818183
25060a012_01,S-3,S,S68,L001,R2,16.509332,50.3,60.102,105,9.090909090909092
25060a012_01,S-3,S,S68,L002,R1,16.470696,49.7,60.5541,105,18.181818181818183
25060a012_01,S-3,S,S68,L002,R2,16.470696,50.3,59.6607,105,9.090909090909092
