"sample_name","PC1","PC2","original_cell_line","analysis_cell_line","identity_status"
"HH-1",-51.3139795409121,-7.93935261548494,"HH","HH","consistent"
"HH-2",-51.6318080608569,-8.23470009896367,"HH","HH","consistent"
"HH-3",40.6379931699538,53.2999172884715,"HH","MyLa","suspected_swap"
"M-1",40.7216883407332,52.3997560459995,"MyLa","MyLa","consistent"
"M-2",41.6011313106142,53.5483491426322,"MyLa","MyLa","consistent"
"M-3",-51.0719755971685,-8.08953093612356,"MyLa","HH","suspected_swap"
"78-1",44.5515584691791,-52.9820827387667,"HuT 78","HuT 78","consistent"
"78-2",44.4681626605704,-51.9985420620538,"HuT 78","HuT 78","consistent"
"78-3",-31.5969040285836,5.93332501320122,"HuT 78","SeAx","suspected_swap"
"S-1",-35.4655942222782,7.70111974914089,"SeAx","SeAx","consistent"
"S-2",-35.825408470303,8.41396792477719,"SeAx","SeAx","consistent"
"S-3",44.9251359690515,-52.0522267128297,"SeAx","HuT 78","suspected_swap"
