"","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"HH-1",1,0.996502655661824,0.837826264262424,0.84054981583678,0.836732459986543,0.997090326966356,0.829537505971442,0.831634695016277,0.856554298788528,0.855608087010186,0.856390786488606,0.82978561251468
"HH-2",0.996502655661824,1,0.838396684770339,0.841342952657134,0.838003538311155,0.996467701822977,0.831620697635855,0.833875160509788,0.85961059432377,0.858813441001399,0.859619438907666,0.832322060152799
"HH-3",0.837826264262424,0.838396684770339,1,0.996237622311559,0.995035631014613,0.83817631351832,0.827287922860473,0.831587865139669,0.826494851395674,0.823922411389077,0.824830722027146,0.830182657805957
"M-1",0.84054981583678,0.841342952657134,0.996237622311559,1,0.9942185532594,0.841326199068878,0.832334814590665,0.836119099876687,0.830629691428857,0.828840107587985,0.829368503150483,0.835204472996539
"M-2",0.836732459986543,0.838003538311155,0.995035631014613,0.9942185532594,1,0.837071569785857,0.829688276487326,0.834750234731856,0.826683952066997,0.824237998500548,0.825536027210519,0.832633535881873
"M-3",0.997090326966356,0.996467701822977,0.83817631351832,0.841326199068878,0.837071569785857,1,0.83122226231395,0.832900666319281,0.857815479698025,0.857560990573583,0.858413225812404,0.831980081405391
"78-1",0.829537505971442,0.831620697635855,0.827287922860473,0.832334814590665,0.829688276487326,0.83122226231395,1,0.993673750015306,0.827169856786453,0.820500550471713,0.819505964359966,0.995596408985438
"78-2",0.831634695016277,0.833875160509788,0.831587865139669,0.836119099876687,0.834750234731856,0.832900666319281,0.993673750015306,1,0.830940163393354,0.82419204851551,0.823790754532544,0.996052289272907
"78-3",0.856554298788528,0.85961059432377,0.826494851395674,0.830629691428857,0.826683952066997,0.857815479698025,0.827169856786453,0.830940163393354,1,0.993820705144117,0.99125308185069,0.829519166436489
"S-1",0.855608087010186,0.858813441001399,0.823922411389077,0.828840107587985,0.824237998500548,0.857560990573583,0.820500550471713,0.82419204851551,0.993820705144117,1,0.995949089095142,0.823453157442387
"S-2",0.856390786488606,0.859619438907666,0.824830722027146,0.829368503150483,0.825536027210519,0.858413225812404,0.819505964359966,0.823790754532544,0.99125308185069,0.995949089095142,1,0.822615561174597
"S-3",0.82978561251468,0.832322060152799,0.830182657805957,0.835204472996539,0.832633535881873,0.831980081405391,0.995596408985438,0.996052289272907,0.829519166436489,0.823453157442387,0.822615561174597,1
