"sample_name","library_size","detected_genes","original_cell_line","analysis_cell_line","identity_status"
"HH-1",25501706,21939,"HH","HH","consistent"
"HH-2",26787612,21833,"HH","HH","consistent"
"HH-3",25872038,23085,"HH","MyLa","suspected_swap"
"M-1",24455236,22684,"MyLa","MyLa","consistent"
"M-2",24779785,22570,"MyLa","MyLa","consistent"
"M-3",24288804,21862,"MyLa","HH","suspected_swap"
"78-1",23713900,22471,"HuT 78","HuT 78","consistent"
"78-2",26255819,22640,"HuT 78","HuT 78","consistent"
"78-3",22165707,25186,"HuT 78","SeAx","suspected_swap"
"S-1",26157551,23956,"SeAx","SeAx","consistent"
"S-2",26462992,23659,"SeAx","SeAx","consistent"
"S-3",28123983,23191,"SeAx","HuT 78","suspected_swap"
