"","HH-1","HH-2","HH-3","M-1","M-2","M-3","78-1","78-2","78-3","S-1","S-2","S-3"
"HH-1",0,30.8911034441227,207.778564734169,207.125078936567,209.660716132841,28.1079620716681,213.011114387007,212.023457564177,193.408698253263,195.48485551806,194.967506170382,213.358075710279
"HH-2",30.8911034441227,0,207.921106789753,207.079741342984,209.319952874197,31.0330067391881,212.23064811949,211.121294515494,192.016231254161,193.861288183215,193.306087044538,212.27341752522
"HH-3",207.778564734169,207.921106789753,0,31.5627916418025,36.3214724249853,207.63187617941,210.786501921808,208.600801090417,206.552015667997,210.709926788786,210.603036564304,209.309321170294
"M-1",207.125078936567,207.079741342984,31.5627916418025,0,39.0806169036712,206.684647456474,208.917271591262,206.970013807888,205.676976869907,209.125057896205,209.201280357607,207.390019869004
"M-2",209.660716132841,209.319952874197,36.3214724249853,39.0806169036712,0,209.514426149669,210.807182100986,208.06584994675,208.412031742322,212.239456293968,211.83881930071,209.263425716464
"M-3",28.1079620716681,31.0330067391881,207.63187617941,206.684647456474,209.514426149669,0,212.044687138586,211.311200540617,192.633289402412,194.218407134233,193.657068238144,212.053021687609
"78-1",213.011114387007,212.23064811949,210.786501921808,208.917271591262,210.807182100986,212.044687138586,0,40.4737185774971,206.185282553712,212.76883868889,213.804023132095,33.844319949903
"78-2",212.023457564177,211.121294515494,208.600801090417,206.970013807888,208.06584994675,211.311200540617,40.4737185774971,0,204.591682996506,211.131639911108,211.784263439992,32.2158283605615
"78-3",193.408698253263,192.016231254161,206.552015667997,205.676976869907,208.412031742322,192.633289402412,206.185282553712,204.591682996506,0,40.1460403870496,48.0468702901971,205.018902503151
"S-1",195.48485551806,193.861288183215,210.709926788786,209.125057896205,212.239456293968,194.218407134233,212.76883868889,211.131639911108,40.1460403870496,0,31.8421357768618,211.232605019173
"S-2",194.967506170382,193.306087044538,210.603036564304,209.201280357607,211.83881930071,193.657068238144,213.804023132095,211.784263439992,48.0468702901971,31.8421357768618,0,212.206460324302
"S-3",213.358075710279,212.27341752522,209.309321170294,207.390019869004,209.263425716464,212.053021687609,33.844319949903,32.2158283605615,205.018902503151,211.232605019173,212.206460324302,0
