Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000143061.20,4192.114582947185,-8.591708876336034,0.1473358373431557,-58.31377505477727,0,0,HuT78_vs_MyLa
ENSG00000143198.15,3118.9944903337005,-4.463419236361492,0.11881410751763152,-37.56640797641929,0,0,HuT78_vs_MyLa
ENSG00000163600.15,2590.5597069882338,-4.3075048445358615,0.09447487453865057,-45.59418433282619,0,0,HuT78_vs_MyLa
ENSG00000114473.16,2718.0746506866485,-4.5656466384765,0.10793625438036013,-42.29947263490789,0,0,HuT78_vs_MyLa
ENSG00000105810.12,2929.958915644123,-8.575157813422992,0.2248126906220376,-38.14356649393884,0,0,HuT78_vs_MyLa
ENSG00000129422.17,1560.4176765080758,-7.191818830926873,0.18962476175095902,-37.92658070875863,0,0,HuT78_vs_MyLa
ENSG00000121039.12,2772.330521680062,-4.899131425393556,0.11144369530589651,-43.960597429456755,0,0,HuT78_vs_MyLa
ENSG00000205002.5,1926.3159748573628,-4.787048918148414,0.12587527170296994,-38.0300979960901,0,0,HuT78_vs_MyLa
ENSG00000180644.10,1395.6516725062472,6.841288413533106,0.14655895722584372,46.679428832117374,0,0,HuT78_vs_MyLa
ENSG00000109854.16,3570.6166327326036,-3.276176700180484,0.08182237678499765,-40.04010673986165,0,0,HuT78_vs_MyLa
ENSG00000135362.16,1223.0572179452308,-7.779572336365698,0.19940989010158047,-39.012971384732936,0,0,HuT78_vs_MyLa
ENSG00000168067.14,1685.6475461457335,-5.000255366105747,0.1171695875922021,-42.67536882956926,0,0,HuT78_vs_MyLa
ENSG00000149212.13,2194.5903953444677,-5.855567988135654,0.1381202596566337,-42.39470735641946,0,0,HuT78_vs_MyLa
ENSG00000111674.11,3480.597651966155,-4.6349027091812856,0.10865033432288952,-42.65889044949624,0,0,HuT78_vs_MyLa
ENSG00000139318.10,1177.3437902961982,6.360866641016448,0.15707667438342734,40.495297382534616,0,0,HuT78_vs_MyLa
ENSG00000088992.20,1663.3986355468674,-7.068999065051716,0.15794600447125684,-44.75579542968521,0,0,HuT78_vs_MyLa
ENSG00000100612.16,2333.183656335348,-3.246404304856988,0.0780913558488911,-41.571877829075845,0,0,HuT78_vs_MyLa
ENSG00000141510.21,2896.218007774226,-4.433447979777887,0.10686650477761575,-41.485851801775375,0,0,HuT78_vs_MyLa
ENSG00000166562.12,6218.360780243479,-3.903428988595451,0.0626831506152352,-62.27238022153148,0,0,HuT78_vs_MyLa
ENSG00000105397.18,8601.488656849637,-2.5229825768556355,0.06610694857603322,-38.16516464912633,0,0,HuT78_vs_MyLa
ENSG00000125870.13,3867.3298496423713,2.7379252887304095,0.06534172118940394,41.90164016025953,0,0,HuT78_vs_MyLa
ENSG00000198947.19,3095.244757793374,-6.024351038902483,0.10846253531158646,-55.543151573914336,0,0,HuT78_vs_MyLa
ENSG00000164111.17,8684.019172882872,-3.3129322750683947,0.08912819700769047,-37.17041728985651,2.0517853101630417e-302,1.5981623405030823e-299,HuT78_vs_MyLa
ENSG00000184557.6,1606.2618831065165,-6.166235107596821,0.16719111931945915,-36.88135549720637,9.197527799814245e-298,6.865571272236342e-295,HuT78_vs_MyLa
ENSG00000138795.12,6153.1719752271765,4.126607248514293,0.11265251783487652,36.631291761831534,9.086694680322556e-294,6.511525407919144e-291,HuT78_vs_MyLa
ENSG00000075340.25,2301.2382766577307,-3.2293869118820515,0.08859846188015967,-36.44969498737117,6.956343728252933e-291,4.793188380448127e-288,HuT78_vs_MyLa
ENSG00000111450.17,1805.7755470522966,-2.6519614475472943,0.0727691747952623,-36.443472871702156,8.72855062341087e-291,5.7915549784594715e-288,HuT78_vs_MyLa
ENSG00000134815.22,2582.947685604884,2.4531939642706444,0.06761161723287995,36.28361611024504,2.933487437561826e-288,1.8769081229971467e-285,HuT78_vs_MyLa
ENSG00000167642.15,963.1174394148076,6.037294237898578,0.16690537676009992,36.17195775889373,1.6807400219842742e-286,1.0382916377189058e-283,HuT78_vs_MyLa
ENSG00000099377.16,665.2551368943369,-5.538820455464423,0.15469697752279044,-35.80432238663762,9.459521740925672e-281,5.648911066289446e-278,HuT78_vs_MyLa
ENSG00000180611.8,841.4120408747782,-3.8377928845681395,0.10720242160874442,-35.79949806147936,1.124446967256068e-280,6.498215296255631e-278,HuT78_vs_MyLa
ENSG00000092871.19,5728.617199136145,-3.324216196149254,0.09288992179294153,-35.78661852637982,1.783626327453228e-280,9.985520517601431e-278,HuT78_vs_MyLa
ENSG00000115107.22,1006.0727794108824,-4.252969568268578,0.11914699634301863,-35.69514716111246,4.7015211878856335e-279,2.5523561236657916e-276,HuT78_vs_MyLa
ENSG00000085733.18,2286.591241345559,-4.418103413036581,0.12399364968158268,-35.63169101306663,4.527367938476154e-278,2.3855234299353028e-275,HuT78_vs_MyLa
ENSG00000166228.11,990.092695353229,-5.7380719221028675,0.16113864409312528,-35.6095333580362,9.974492134191822e-278,5.1055150452584713e-275,HuT78_vs_MyLa
ENSG00000127561.18,930.2459335755864,-5.768231638833095,0.16301810418839924,-35.383994112499174,3.0100231225400864e-274,1.4979045622307126e-271,HuT78_vs_MyLa
ENSG00000115355.20,1850.9144510475485,6.527529858823553,0.18452872031284615,35.37405910449558,4.2789987381914e-274,2.0718449295864573e-271,HuT78_vs_MyLa
ENSG00000078596.13,6055.206038571286,3.2321783919448492,0.09163182868330595,35.27353364425114,1.495306244395414e-272,7.049581939037854e-270,HuT78_vs_MyLa
ENSG00000123685.10,7582.861655230532,-4.71024342203464,0.1339559699019891,-35.16262414792682,7.455183004670323e-271,3.4246052186838166e-268,HuT78_vs_MyLa
ENSG00000110880.13,4925.415956115006,3.4173761015498827,0.09794693159257485,34.89007818810474,1.0513164108047507e-266,4.708583374891777e-264,HuT78_vs_MyLa
ENSG00000135269.20,2958.667335954829,3.1245761060533903,0.0897207641036437,34.82556281446667,9.981727771982808e-266,4.361528122806634e-263,HuT78_vs_MyLa
ENSG00000025708.16,915.9071316687654,-4.962850688560192,0.14254918239384556,-34.81500633829282,1.4420320757493227e-265,6.150953485011694e-263,HuT78_vs_MyLa
ENSG00000196352.20,1637.3380698616572,-3.2937389102159007,0.09465943517438266,-34.79567466410652,2.8276706885614085e-265,1.1780865205948287e-262,HuT78_vs_MyLa
ENSG00000189067.17,2615.223577008188,-3.268013558050647,0.09502324641685178,-34.39172709080464,3.352283871775497e-259,1.364912853701319e-256,HuT78_vs_MyLa
