Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000162777.19,1186.828543520794,-3.7909632507915187,0.09938980392664776,-38.142375787252256,0,0,SeAx_vs_HuT78
ENSG00000123685.10,7582.861655230532,5.646043961047677,0.13377116834060052,42.20673281907833,0,0,SeAx_vs_HuT78
ENSG00000075340.25,2301.2382766577307,3.679942708276644,0.08825623726876167,41.69612054806195,0,0,SeAx_vs_HuT78
ENSG00000188001.12,2310.0652792435435,5.504841801626272,0.13828579222757645,39.80771786422551,0,0,SeAx_vs_HuT78
ENSG00000114473.16,2718.0746506866485,4.232361095159934,0.10807212199470291,39.162376171047896,0,0,SeAx_vs_HuT78
ENSG00000164111.17,8684.019172882872,3.799715700398285,0.08899197160562822,42.697286416317304,0,0,SeAx_vs_HuT78
ENSG00000133398.6,2901.9816226621992,3.4700719563286975,0.07763022821562514,44.70000972675556,0,0,SeAx_vs_HuT78
ENSG00000160991.19,3265.0357082991463,-4.903763781729903,0.1242387446317836,-39.47048721607405,0,0,SeAx_vs_HuT78
ENSG00000077782.25,3909.656777072637,5.042732204666329,0.1035828217458043,48.68309358323297,0,0,SeAx_vs_HuT78
ENSG00000171033.15,1501.8227266918727,6.193873620437446,0.14807202009919748,41.83014195584015,0,0,SeAx_vs_HuT78
ENSG00000205002.5,1926.3159748573628,5.226044121711995,0.12533667278282834,41.696049573353484,0,0,SeAx_vs_HuT78
ENSG00000185201.19,2422.7666796791423,-4.1885230245599905,0.1100665553736622,-38.054457235810446,0,0,SeAx_vs_HuT78
ENSG00000185885.19,4123.498380441228,-4.924373888617275,0.12460079945913949,-39.52120620407521,0,0,SeAx_vs_HuT78
ENSG00000026508.23,9432.91919415191,-5.831079605338711,0.1493151596035668,-39.05216068361902,0,0,SeAx_vs_HuT78
ENSG00000110448.13,3185.0086805027213,-7.680454025619507,0.18596872062057998,-41.29970889722602,0,0,SeAx_vs_HuT78
