Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000143061.20,4192.114582947185,-7.47354641614741,0.11612111279213913,-64.3599276345665,0,0,SeAx_vs_MyLa
ENSG00000115935.21,7758.290850410217,-3.761068192590778,0.09333694838573926,-40.29559844882847,0,0,SeAx_vs_MyLa
ENSG00000169760.19,902.3202639740612,-7.109394103716247,0.1865558789434114,-38.10865754529645,0,0,SeAx_vs_MyLa
ENSG00000176788.11,8491.62769448395,5.791683598258065,0.07612779537410837,76.07843586953341,0,0,SeAx_vs_MyLa
ENSG00000287597.1,6108.780220580656,-9.690403715344113,0.17701048157038038,-54.744801716677735,0,0,SeAx_vs_MyLa
ENSG00000164308.20,4242.101943601847,-5.773226400596599,0.10406346357492037,-55.4779381952838,0,0,SeAx_vs_MyLa
ENSG00000135074.18,3130.0240512526593,-5.634395064554846,0.13401495201312558,-42.04303310874601,0,0,SeAx_vs_MyLa
ENSG00000158467.19,1697.9268530882946,-3.890076729674537,0.10115448553147771,-38.45678922922311,0,0,SeAx_vs_MyLa
ENSG00000164687.13,8672.28632689844,2.4800243282993857,0.06583793692120475,37.66862153149626,0,0,SeAx_vs_MyLa
ENSG00000156515.27,4713.216694299287,-2.456211133688849,0.06279715932583091,-39.11341149914904,0,0,SeAx_vs_MyLa
ENSG00000026508.23,9432.91919415191,-7.290013461842534,0.14916563890985793,-48.87193535401241,0,0,SeAx_vs_MyLa
ENSG00000182985.21,5478.140001587072,6.685720792414523,0.11003984485531096,60.75727206999823,0,0,SeAx_vs_MyLa
ENSG00000134954.16,5617.802052811753,-4.3459563084901935,0.0973152555596634,-44.658530499626686,0,0,SeAx_vs_MyLa
ENSG00000110880.13,4925.415956115006,3.8366258601682706,0.09781192233415517,39.224521598309806,0,0,SeAx_vs_MyLa
ENSG00000088992.20,1663.3986355468674,-3.4185093451782076,0.09106349085783988,-37.539845145129306,0,0,SeAx_vs_MyLa
ENSG00000139725.9,3330.9741551263023,-4.244197853019133,0.10655945176666073,-39.82938897164086,0,0,SeAx_vs_MyLa
ENSG00000100612.16,2333.183656335348,-3.129493052548976,0.07763934321778009,-40.3080825113458,0,0,SeAx_vs_MyLa
ENSG00000156127.8,2524.5922249822,-4.993092018266927,0.12490022233663996,-39.97664635703522,0,0,SeAx_vs_MyLa
ENSG00000072818.14,2631.253435949525,-6.088480930922524,0.1373297463149657,-44.334756994006206,0,0,SeAx_vs_MyLa
ENSG00000126561.20,6042.974848145664,-5.106775878485211,0.12335210216018283,-41.39999066942242,0,0,SeAx_vs_MyLa
ENSG00000101577.13,2344.93204991832,-4.873382593298179,0.10097256042390938,-48.26442523432541,0,0,SeAx_vs_MyLa
ENSG00000128791.14,1566.4585557704208,-4.115193664901285,0.0957135374124197,-42.994896815581505,0,0,SeAx_vs_MyLa
ENSG00000185340.18,1732.7098482900758,-4.515792128562411,0.09731445705196565,-46.404123964345715,0,0,SeAx_vs_MyLa
ENSG00000198947.19,3095.244757793374,-4.757425577651557,0.09807826013359917,-48.50642304595472,0,0,SeAx_vs_MyLa
ENSG00000101856.12,2646.8364726928144,-2.7254460652238968,0.07090939356497913,-38.43561379108938,0,0,SeAx_vs_MyLa
ENSG00000145860.14,4232.908991034454,-3.3503899141225575,0.0893782069620444,-37.48553509856539,1.584859654708864e-307,1.092029258234973e-304,SeAx_vs_MyLa
ENSG00000184557.6,1606.2618831065165,-6.433288761625071,0.17187017592835402,-37.43109429472428,1.2197218408354667e-306,8.09308028835829e-304,SeAx_vs_MyLa
ENSG00000105835.15,5553.517165683142,-2.989190624146523,0.08100815029424868,-36.89987505317408,4.642419334495846e-298,2.970319370624753e-295,SeAx_vs_MyLa
