Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison
ENSG00000162511.10,4820.1860507427755,2.8260492096509693,0.06975486265715095,0,0,MyLa_vs_HH
ENSG00000196352.20,1637.3380698616572,3.7081303415526063,0.09752143949382182,0,0,MyLa_vs_HH
ENSG00000065413.22,1230.3578951788684,3.909803980719739,0.09854368303574589,0,0,MyLa_vs_HH
ENSG00000114013.17,2745.7213524085073,7.884607919251799,0.19274988737845442,0,0,MyLa_vs_HH
ENSG00000184897.7,3846.5913448119227,3.4815105608565933,0.09003498071884995,0,0,MyLa_vs_HH
ENSG00000180611.8,841.4120408747782,4.8069274595876506,0.12700173944136361,0,0,MyLa_vs_HH
ENSG00000168214.24,4499.684370769909,-2.982442137819484,0.0673011452244465,0,0,MyLa_vs_HH
ENSG00000109323.13,1551.1689612149746,-3.6541776972649918,0.07781881432144808,0,0,MyLa_vs_HH
ENSG00000109332.22,33282.73697944855,-3.2781005268067323,0.04679546908805201,0,0,MyLa_vs_HH
ENSG00000145354.14,6413.875660822426,-3.3142984325636977,0.05303467280041935,0,0,MyLa_vs_HH
ENSG00000145349.22,2096.7345894253535,-5.02783328697078,0.12173944663799982,0,0,MyLa_vs_HH
ENSG00000049860.15,1945.2214584199528,3.9755127621004247,0.10094559024528717,0,0,MyLa_vs_HH
ENSG00000164308.20,4242.101943601847,6.344078756783466,0.11057650612335335,0,0,MyLa_vs_HH
ENSG00000105835.15,5553.517165683142,3.8601879329019444,0.0832588366835166,0,0,MyLa_vs_HH
ENSG00000136573.17,3031.0311090261953,-5.551011664542329,0.09254733832040321,0,0,MyLa_vs_HH
ENSG00000129422.17,1560.4176765080758,6.996067588194068,0.1850529205517681,0,0,MyLa_vs_HH
ENSG00000156675.18,2346.879514113523,4.929870972289748,0.11226173189137977,0,0,MyLa_vs_HH
ENSG00000178860.11,14569.243220213011,-3.8527914854383427,0.07090492388171553,0,0,MyLa_vs_HH
ENSG00000076641.6,2147.006745442161,6.096783461808912,0.1301193591580043,0,0,MyLa_vs_HH
ENSG00000080503.27,7481.427015433746,-2.9219340848254967,0.0776699235473145,0,0,MyLa_vs_HH
ENSG00000157654.21,2364.0947318323906,8.195506897580735,0.20935214040316658,0,0,MyLa_vs_HH
ENSG00000156515.27,4713.216694299287,2.5154672862282075,0.06310459850137326,0,0,MyLa_vs_HH
ENSG00000203780.14,1245.9264045703844,-5.759187627162319,0.13215464460566942,0,0,MyLa_vs_HH
ENSG00000185885.19,4123.498380441228,6.035334719111728,0.15338383070684417,0,0,MyLa_vs_HH
ENSG00000182985.21,5478.140001587072,-6.202914948607035,0.11011762228690745,0,0,MyLa_vs_HH
ENSG00000076706.19,1347.2864529612661,-6.860410540526839,0.1528709483254489,0,0,MyLa_vs_HH
ENSG00000167522.19,3092.1646555165785,4.595310162178232,0.09150642202386025,0,0,MyLa_vs_HH
ENSG00000141510.21,2896.218007774226,4.8422566395756395,0.11143395911963937,0,0,MyLa_vs_HH
ENSG00000126561.20,6042.974848145664,6.975321222840979,0.1362583531834663,0,0,MyLa_vs_HH
ENSG00000101577.13,2344.93204991832,4.428458050718176,0.09764460605659504,0,0,MyLa_vs_HH
ENSG00000128791.14,1566.4585557704208,5.26099060404914,0.11013862710018296,0,0,MyLa_vs_HH
ENSG00000141682.14,4594.72656975394,5.053814628749439,0.11893760983597271,0,0,MyLa_vs_HH
ENSG00000105397.18,8601.488656849637,3.1620641553985775,0.0669214266231998,0,0,MyLa_vs_HH
ENSG00000064787.16,3412.039559517651,-7.771441397208201,0.16196303384278052,0,0,MyLa_vs_HH
ENSG00000196576.18,6271.341793987674,6.196600580163669,0.138795663719394,0,0,MyLa_vs_HH
ENSG00000147010.21,7011.41586622841,-5.2197873849325935,0.12760552060594235,0,0,MyLa_vs_HH
ENSG00000198947.19,3095.244757793374,7.053876865057938,0.12658301287950452,0,0,MyLa_vs_HH
ENSG00000129675.18,2783.676649134151,5.326950243949278,0.13669312818291127,0,0,MyLa_vs_HH
ENSG00000181026.17,2318.396780141194,4.6589020742646685,0.12578290115249852,3.2475358913202384e-301,1.4917847562308224e-298,MyLa_vs_HH
