Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000113196.5,10970.765221410036,-19.868614207676444,3.941325359202402,5.0980593224224456e-52,8.849974104767259e-51,HuT78_vs_HH,ENSG00000113196,HAND1,protein_coding,Down
ENSG00000179344.19,5483.3276453729895,-17.733141544112694,3.7303138154116438,1.1714110516024135e-41,1.5591254821290669e-40,HuT78_vs_HH,ENSG00000179344,HLA-DQB1,protein_coding,Down
ENSG00000069535.16,2141.919841703231,-17.31375684582909,3.7033512149762395,1.2884763417759888e-39,1.6041037986738595e-38,HuT78_vs_HH,ENSG00000069535,MAOB,protein_coding,Down
ENSG00000198033.14,1760.710547223782,-16.9999595714865,3.6731398902265657,3.188552745386969e-38,3.810735319119917e-37,HuT78_vs_HH,ENSG00000198033,TUBA3C,protein_coding,Down
ENSG00000060982.17,7264.390724161856,-16.98557397141602,3.670751072522275,2.634836739445468e-38,3.1595113913765437e-37,HuT78_vs_HH,ENSG00000060982,BCAT1,protein_coding,Down
ENSG00000178860.11,14569.243220213011,-16.85940121899574,1.3439041077109144,6.02922027677404e-47,9.255653921028872e-46,HuT78_vs_HH,ENSG00000178860,MSC,protein_coding,Down
ENSG00000196628.22,3148.6251035581768,-16.798969408204812,3.6553447361943587,4.307312530454221e-37,4.940173110312892e-36,HuT78_vs_HH,ENSG00000196628,TCF4,protein_coding,Down
ENSG00000198142.5,1967.4947008982933,-16.79121020362008,3.6530401277690676,2.7336223408482707e-37,3.159538337825598e-36,HuT78_vs_HH,ENSG00000198142,SOWAHC,protein_coding,Down
ENSG00000186522.17,2228.3996122128206,-16.661171117157544,3.6401604417316324,9.217108440076085e-37,1.0457536270041993e-35,HuT78_vs_HH,ENSG00000186522,SEPTIN10,protein_coding,Down
ENSG00000132821.14,1251.4893666908215,-16.468831466339413,3.620771143322838,5.0223638616638615e-36,5.55748292660334e-35,HuT78_vs_HH,ENSG00000132821,VSTM2L,protein_coding,Down
