Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000263528.10,1165.915380349702,4.9570192678027825,0.12513739320416062,39.612614110599594,0,0,HuT78_vs_HH
ENSG00000266094.10,2713.824556855067,3.1887276666090263,0.06573820320022579,48.50646216929267,0,0,HuT78_vs_HH
ENSG00000115756.15,1144.5096254559955,3.6515851716265355,0.09073941907582282,40.24254517846573,0,0,HuT78_vs_HH
ENSG00000115902.13,3630.0988463125987,5.244495680752733,0.1204954158112245,43.524441535345055,0,0,HuT78_vs_HH
ENSG00000188001.12,2327.185614077698,-6.444764945372755,0.13464082287978552,-47.8663514343416,0,0,HuT78_vs_HH
ENSG00000109320.16,15591.029788726213,-3.648567244419542,0.09363026932380157,-38.967817467251976,0,0,HuT78_vs_HH
ENSG00000109323.13,1562.230382653088,-3.6154375870312565,0.07153400136558256,-50.54152595986007,0,0,HuT78_vs_HH
ENSG00000109332.22,33534.00102401608,-4.064738053871756,0.03599097835956589,-112.93769269796486,0,0,HuT78_vs_HH
ENSG00000145354.14,6463.571759669972,-4.1188620859333245,0.048002748217388744,-85.80471408179268,0,0,HuT78_vs_HH
ENSG00000164038.18,5634.548211286291,-4.35616466517216,0.09242542165147823,-47.13167208042149,0,0,HuT78_vs_HH
ENSG00000164111.17,8732.998763937243,-3.4131821592378095,0.08467008633560705,-40.31154693416717,0,0,HuT78_vs_HH
ENSG00000028310.20,2577.584260369731,-2.9624660609949762,0.0670360161324448,-44.19215567855278,0,0,HuT78_vs_HH
ENSG00000136573.17,3052.3270800488813,-3.0652050781571596,0.07304947204977699,-41.96067393982647,0,0,HuT78_vs_HH
ENSG00000077782.25,3937.922528265415,-5.823012091789438,0.097240745984739,-59.88242925145086,0,0,HuT78_vs_HH
ENSG00000171033.15,1510.7588497165566,-5.523969833011057,0.14635806716627767,-37.74284492794828,0,0,HuT78_vs_HH
ENSG00000076641.6,2147.925073078396,4.811533043578017,0.12428052840946101,38.71509966328509,0,0,HuT78_vs_HH
ENSG00000104490.19,3081.857938142659,-8.129983326966048,0.2079916286663436,-39.088031470766644,0,0,HuT78_vs_HH
ENSG00000205002.5,1939.8432684399465,-6.029406696823313,0.12572819261342547,-47.95588460705736,0,0,HuT78_vs_HH
ENSG00000156831.11,2361.988846395297,-2.885204741541465,0.06256535568884035,-46.115053766985824,0,0,HuT78_vs_HH
