Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison
ENSG00000126698.13,4573.313215729545,-1.8730041241114828,0.04701025813525901,-39.84245563430925,0,0,SeAx_vs_HH
ENSG00000180198.19,5862.292180524343,-2.7607043493613124,0.06682453012783356,-41.31273866168843,0,0,SeAx_vs_HH
ENSG00000162511.10,4837.116853890595,3.629869724330016,0.07544710859293825,48.11144909362063,0,0,SeAx_vs_HH
ENSG00000117091.12,2709.363657430482,4.8915960351196395,0.1224129642773636,39.9597874620228,0,0,SeAx_vs_HH
ENSG00000123684.15,1507.267979047786,3.79040404117265,0.09982580149407264,37.97018390478651,0,0,SeAx_vs_HH
ENSG00000168243.13,1689.2467691164477,6.006108434465709,0.148083119821551,40.55903496430537,0,0,SeAx_vs_HH
ENSG00000115902.13,3630.0988463125987,5.516633783633698,0.12042052950650481,45.81140613017902,0,0,SeAx_vs_HH
ENSG00000114013.17,2758.0062131054046,7.5829710001424075,0.19135753708848494,39.62723974983015,0,0,SeAx_vs_HH
ENSG00000184897.7,3853.463862019067,4.4212108131720695,0.08970419188689757,49.28655751948023,0,0,SeAx_vs_HH
ENSG00000168214.24,4517.4710451859055,-2.619227514359358,0.05849300814061299,-44.77847178013008,0,0,SeAx_vs_HH
ENSG00000138821.16,6832.086409314384,-3.9251895522748126,0.07319276214200833,-53.628110723013485,0,0,SeAx_vs_HH
ENSG00000109320.16,15591.029788726213,-3.8062466845043756,0.09375512409058862,-40.59774568509644,0,0,SeAx_vs_HH
ENSG00000109323.13,1562.230382653088,-2.6034460778665762,0.06540820166353539,-39.80305239484942,0,0,SeAx_vs_HH
ENSG00000109332.22,33534.00102401608,-3.2375584915715665,0.03537402018107976,-91.52362312789134,0,0,SeAx_vs_HH
ENSG00000145354.14,6463.571759669972,-3.9342971598007446,0.04742832541581582,-82.95247882584492,0,0,SeAx_vs_HH
ENSG00000164038.18,5634.548211286291,-4.374602688231267,0.09255613161455271,-47.264320709179714,0,0,SeAx_vs_HH
ENSG00000176788.11,8532.495345359865,11.139289792131859,0.22639345749148757,49.203231911199104,0,0,SeAx_vs_HH
ENSG00000049860.15,1949.708129188235,3.831848319416816,0.09637538195934474,39.759617461575964,0,0,SeAx_vs_HH
ENSG00000112679.16,964.0799828120314,5.096630528674097,0.12523952089318174,40.6950656815517,0,0,SeAx_vs_HH
ENSG00000242265.6,5525.508314924469,-7.120817145000542,0.1021445744584451,-69.71312164893754,0,0,SeAx_vs_HH
ENSG00000006453.16,1931.9350635940114,7.764964425318525,0.1796379552576932,43.22563354820853,0,0,SeAx_vs_HH
ENSG00000082556.15,867.2307263213215,-7.000926833656949,0.18161448339143413,-38.54828482246008,0,0,SeAx_vs_HH
ENSG00000164687.13,8701.487686705656,2.3263321339523118,0.05974737006437102,38.93614282010994,0,0,SeAx_vs_HH
ENSG00000198887.11,2070.084104856796,-2.5602582343030025,0.06506964367676793,-39.3464308337238,0,0,SeAx_vs_HH
ENSG00000107130.12,2436.925739924426,7.540149597894534,0.19961010710616167,37.77438781636614,0,0,SeAx_vs_HH
ENSG00000110448.13,3183.1041286776076,-7.666148583835978,0.18557544462429587,-41.31014531236269,0,0,SeAx_vs_HH
ENSG00000134954.16,5599.015591406389,-3.375226527266771,0.08967162451676147,-37.6398503479311,0,0,SeAx_vs_HH
ENSG00000198033.14,1777.795303601339,-7.887645930709111,0.18488580574716953,-42.662257920953806,0,0,SeAx_vs_HH
ENSG00000100523.19,1745.6142961843675,-2.650283173139382,0.0699475392583097,-37.88958412607104,0,0,SeAx_vs_HH
