Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000065413.22,1232.410071128754,3.9023343944677493,0.09050783637051144,0,0,MyLa_vs_HH,ENSG00000065413,ANKRD44,protein_coding,Up
ENSG00000114013.17,2758.0062131054046,7.883000289315426,0.19123320273131048,0,0,MyLa_vs_HH,ENSG00000114013,CD86,protein_coding,Up
ENSG00000184897.7,3853.463862019067,3.47434276805202,0.09023326087424759,0,0,MyLa_vs_HH,ENSG00000184897,H1-10,protein_coding,Up
ENSG00000180611.8,844.414286718484,4.799437715474363,0.1221050808134178,0,0,MyLa_vs_HH,ENSG00000180611,MB21D2,protein_coding,Up
ENSG00000168214.24,4517.4710451859055,-2.9906529078183124,0.05973104840808533,0,0,MyLa_vs_HH,ENSG00000168214,RBPJ,protein_coding,Down
ENSG00000109323.13,1562.230382653088,-3.6623270560141377,0.07307326344568661,0,0,MyLa_vs_HH,ENSG00000109323,MANBA,protein_coding,Down
ENSG00000109332.22,33534.00102401608,-3.2808366664804787,0.035463330679005124,0,0,MyLa_vs_HH,ENSG00000109332,UBE2D3,protein_coding,Down
ENSG00000145354.14,6463.571759669972,-3.3209816582545404,0.04588075650265267,0,0,MyLa_vs_HH,ENSG00000145354,CISD2,protein_coding,Down
ENSG00000145349.22,2114.0812102881723,-5.033848324324085,0.1265727103977965,0,0,MyLa_vs_HH,ENSG00000145349,CAMK2D,protein_coding,Down
ENSG00000049860.15,1949.708129188235,3.9698056732210345,0.0963715990574686,0,0,MyLa_vs_HH,ENSG00000049860,HEXB,protein_coding,Up
ENSG00000164308.20,4251.939722439465,6.336482315381266,0.10648613202291012,0,0,MyLa_vs_HH,ENSG00000164308,ERAP2,protein_coding,Up
ENSG00000105835.15,5557.779408927347,3.85014483369313,0.07871148479205342,0,0,MyLa_vs_HH,ENSG00000105835,NAMPT,protein_coding,Up
ENSG00000136573.17,3052.3270800488813,-5.559990109319153,0.08933618673506348,0,0,MyLa_vs_HH,ENSG00000136573,BLK,protein_coding,Down
ENSG00000129422.17,1566.0180422110627,6.995445496601786,0.17907128084528764,0,0,MyLa_vs_HH,ENSG00000129422,MTUS1,protein_coding,Up
ENSG00000156675.18,2349.8501403132645,4.921065474475174,0.10413680922972565,0,0,MyLa_vs_HH,ENSG00000156675,RAB11FIP1,protein_coding,Up
ENSG00000178860.11,14690.645495068455,-3.861379120066642,0.06459959762848387,0,0,MyLa_vs_HH,ENSG00000178860,MSC,protein_coding,Down
ENSG00000076641.6,2147.925073078396,6.089659574312886,0.12351917366032725,0,0,MyLa_vs_HH,ENSG00000076641,PAG1,protein_coding,Up
ENSG00000080503.27,7520.563081137387,-2.9287278491074202,0.06994459884996976,0,0,MyLa_vs_HH,ENSG00000080503,SMARCA2,protein_coding,Down
ENSG00000157654.21,2366.7629769678438,8.187985659158574,0.20684993657511383,0,0,MyLa_vs_HH,ENSG00000157654,PALM2AKAP2,protein_coding,Up
ENSG00000156515.27,4714.096177020856,2.509637717107528,0.05196992037033605,0,0,MyLa_vs_HH,ENSG00000156515,HK1,protein_coding,Up
ENSG00000203780.14,1257.2103003747684,-5.766097763719539,0.13455730187023718,0,0,MyLa_vs_HH,ENSG00000203780,FANK1,protein_coding,Down
ENSG00000185885.19,4101.08577383472,6.025953878350634,0.15792695265220968,0,0,MyLa_vs_HH,ENSG00000185885,IFITM1,protein_coding,Up
ENSG00000085063.20,2864.8222050357817,3.9680757859908247,0.1040518250607409,0,0,MyLa_vs_HH,ENSG00000085063,CD59,protein_coding,Up
ENSG00000134574.14,1651.6433599436252,3.516416146593442,0.0938243908659641,0,0,MyLa_vs_HH,ENSG00000134574,DDB2,protein_coding,Up
ENSG00000182985.21,5512.763129857182,-6.209669543239968,0.10178645926317129,0,0,MyLa_vs_HH,ENSG00000182985,CADM1,protein_coding,Down
ENSG00000076706.19,1359.8929429784453,-6.8681025369432405,0.15135453321773465,0,0,MyLa_vs_HH,ENSG00000076706,MCAM,protein_coding,Down
ENSG00000181026.17,2321.941473701721,4.653615840790918,0.12078055644037139,0,0,MyLa_vs_HH,ENSG00000181026,AEN,protein_coding,Up
ENSG00000167522.19,3090.798140341754,4.593166913332282,0.08563157204996166,0,0,MyLa_vs_HH,ENSG00000167522,ANKRD11,protein_coding,Up
