Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,comparison,Ensembl,gene_symbol,gene_type,DEG_class
ENSG00000113196.5,11073.312847669597,-19.901218633526504,3.9444273362166014,3.280471730480242e-52,4.1031082594384827e-51,HuT78_vs_HH,ENSG00000113196,HAND1,protein_coding,Down
ENSG00000179344.19,5520.237909260646,-17.77469595365609,3.7460537220297336,7.65468708749979e-42,7.357192980190616e-41,HuT78_vs_HH,ENSG00000179344,HLA-DQB1,protein_coding,Down
ENSG00000069535.16,2161.59430731137,-17.34626739783087,3.706393713985369,8.976837789492065e-40,8.14162330622478e-39,HuT78_vs_HH,ENSG00000069535,MAOB,protein_coding,Down
ENSG00000198033.14,1777.795303601339,-17.0330203812526,3.6764695287867224,2.430838051677611e-38,2.1177214122669987e-37,HuT78_vs_HH,ENSG00000198033,TUBA3C,protein_coding,Down
ENSG00000060982.17,7303.971887192547,-17.018381116993147,3.673754134905337,1.763764048210173e-38,1.543796967113713e-37,HuT78_vs_HH,ENSG00000060982,BCAT1,protein_coding,Down
ENSG00000178860.11,14690.645495068455,-16.890089952558824,1.3437259948189668,3.9606384146633477e-47,4.330453058582836e-46,HuT78_vs_HH,ENSG00000178860,MSC,protein_coding,Down
ENSG00000196628.22,3167.5556799228243,-16.83086026559703,3.6580756404875103,2.8209343199607294e-37,2.371950773680528e-36,HuT78_vs_HH,ENSG00000196628,TCF4,protein_coding,Down
ENSG00000198142.5,1983.9712460020878,-16.82357236199118,3.6563285033517725,2.0884613583372183e-37,1.7651697070822934e-36,HuT78_vs_HH,ENSG00000198142,SOWAHC,protein_coding,Down
ENSG00000186522.17,2245.2456522891125,-16.69425506186094,3.6432834898390216,6.46474948715671e-37,5.339358686065488e-36,HuT78_vs_HH,ENSG00000186522,SEPTIN10,protein_coding,Down
ENSG00000132821.14,1263.3013757961817,-16.501827069560385,3.623941531418966,3.593194291281319e-36,2.905093126443513e-35,HuT78_vs_HH,ENSG00000132821,VSTM2L,protein_coding,Down
ENSG00000082556.15,867.2307263213215,-15.897037819519076,3.566767160240981,1.2817405358071965e-33,9.459187091265681e-33,HuT78_vs_HH,ENSG00000082556,OPRK1,protein_coding,Down
ENSG00000058091.19,800.4463472396128,-15.667474518242862,3.5416063459100773,1.084768635537927e-32,7.725568102167105e-32,HuT78_vs_HH,ENSG00000058091,CDK14,protein_coding,Down
ENSG00000147408.18,2139.3388315190105,-15.613154381127044,3.5363072327250897,1.9072528912245564e-32,1.3450880374096126e-31,HuT78_vs_HH,ENSG00000147408,CSGALNACT1,protein_coding,Down
ENSG00000107874.13,1816.4562338411004,-15.562342271324372,3.530127687051856,2.224186419537901e-32,1.5635286734540163e-31,HuT78_vs_HH,ENSG00000107874,CUEDC2,protein_coding,Down
ENSG00000171843.18,837.7015770873223,-15.449451999636715,3.5215042288392966,1.3426002856764757e-31,9.20468675603446e-31,HuT78_vs_HH,ENSG00000171843,MLLT3,protein_coding,Down
ENSG00000170955.12,845.8257700754682,-15.428381811411423,3.5187448286408882,1.2837097659992916e-31,8.810210310831368e-31,HuT78_vs_HH,ENSG00000170955,CAVIN3,protein_coding,Down
ENSG00000138119.19,753.5474497255655,-15.422628728521856,3.5207136377935377,2.8634950929473117e-31,1.9407140689746393e-30,HuT78_vs_HH,ENSG00000138119,MYOF,protein_coding,Down
ENSG00000184743.15,1943.9737805986392,-15.17304591803274,3.490887975045064,7.772927441843262e-31,5.189782958480699e-30,HuT78_vs_HH,ENSG00000184743,ATL3,protein_coding,Down
ENSG00000101746.18,519.1533874311476,-15.076974994170836,3.484869510641042,4.781777326171699e-30,3.097460432007741e-29,HuT78_vs_HH,ENSG00000101746,NOL4,protein_coding,Down
