module,Group,mean_score_z,sd_score_z,total_genes,shared_genes,coverage_percent
Module 1,HH,-2.0842950010515584,0.026368095932812984,1678,623,37.12753277711561
Module 1,Healthy CD4,0.32937241462549216,0.07813067162812291,1678,623,37.12753277711561
Module 1,Healthy Pan T,0.4348588934066606,0.017006108336357986,1678,623,37.12753277711561
Module 1,HuT 78,-0.6329681010606634,0.015190122252647273,1678,623,37.12753277711561
Module 1,MyLa,-0.25669078983916394,0.01593981337403944,1678,623,37.12753277711561
Module 1,SeAx,1.5158155950745247,0.04570996874402986,1678,623,37.12753277711561
Module 2,HH,-1.4010565382493212,0.004184460364818008,2136,823,38.52996254681648
Module 2,Healthy CD4,0.3161840084206816,0.04333270160491777,2136,823,38.52996254681648
Module 2,Healthy Pan T,0.5012589135106927,0.01447761684296824,2136,823,38.52996254681648
Module 2,HuT 78,-0.1738946243354908,0.018481411981345595,2136,823,38.52996254681648
Module 2,MyLa,1.6227937623372048,0.04855313570102666,2136,823,38.52996254681648
Module 2,SeAx,-1.5593451735551342,0.025752454052431945,2136,823,38.52996254681648
Module 3,HH,-0.2628101899226586,0.01579634727919656,785,471,60
Module 3,Healthy CD4,0.5521156149151183,0.05329822362869407,785,471,60
Module 3,Healthy Pan T,0.555304415261087,0.04809556993791139,785,471,60
Module 3,HuT 78,0.19925993952517398,0.008217084692447954,785,471,60
Module 3,MyLa,-2.49135125443921,0.016291606114726267,785,471,60
Module 3,SeAx,0.34218731138159986,0.03012128142297605,785,471,60
Module 4,HH,2.025510645919159,0.031134854857184698,1058,325,30.718336483931946
Module 4,Healthy CD4,0.11017119177345924,0.05930430870439968,1058,325,30.718336483931946
Module 4,Healthy Pan T,0.2684473244137562,0.04391580724447862,1058,325,30.718336483931946
Module 4,HuT 78,-1.6594528613192219,0.0064270810788646755,1058,325,30.718336483931946
Module 4,MyLa,-0.23301741121744307,0.027583035776376576,1058,325,30.718336483931946
Module 4,SeAx,-0.7847599839967309,0.020337347344723103,1058,325,30.718336483931946
Module 5,HH,-0.7999802445573868,0.008134702346770455,1362,617,45.30102790014684
Module 5,Healthy CD4,0.7442883621995757,0.02567583375396964,1362,617,45.30102790014684
Module 5,Healthy Pan T,0.6641587475915616,0.018004750853334636,1362,617,45.30102790014684
Module 5,HuT 78,0.8257917921187148,0.030422642223204416,1362,617,45.30102790014684
Module 5,MyLa,-1.245447175892185,0.014370038674172773,1362,617,45.30102790014684
Module 5,SeAx,-1.6506783343234281,0.03559011758082952,1362,617,45.30102790014684
Module 6,HH,0.6465042523844876,0.005638356653712832,812,359,44.21182266009852
Module 6,Healthy CD4,0.13761430294657132,0.08304127005651009,812,359,44.21182266009852
Module 6,Healthy Pan T,0.23814859368487704,0.024753761984572922,812,359,44.21182266009852
Module 6,HuT 78,-2.2926018469386658,0.021397618849866653,812,359,44.21182266009852
Module 6,MyLa,-0.3514694102002714,0.04520400221803238,812,359,44.21182266009852
Module 6,SeAx,1.3130640719837585,0.027268675145530802,812,359,44.21182266009852
