module,Group,mean_score_z,sd_score_z,total_genes,shared_genes,coverage_percent
Module 1,HH,-1.0223851942282194,0.009455325664628426,1428,780,54.621848739495796
Module 1,Healthy CD4,0.1571064309404554,0.03687469300652125,1428,780,54.621848739495796
Module 1,Healthy Pan T,0.4739833309310472,0.03227409877661036,1428,780,54.621848739495796
Module 1,HuT 78,-0.9811196859793521,0.022100463836302896,1428,780,54.621848739495796
Module 1,MyLa,2.0306883587490008,0.05786236062952017,1428,780,54.621848739495796
Module 1,SeAx,-1.0781117356240397,0.029517718043034272,1428,780,54.621848739495796
Module 2,HH,-1.1718093953485735,0.022530740239551535,1190,536,45.04201680672269
Module 2,Healthy CD4,0.26159059101916704,0.0799978743416229,1190,536,45.04201680672269
Module 2,Healthy Pan T,0.34584712823456454,0.020878599343792586,1190,536,45.04201680672269
Module 2,HuT 78,-1.4576265366481274,0.028917840920389844,1190,536,45.04201680672269
Module 2,MyLa,-0.4324989183345299,0.003969051035113831,1190,536,45.04201680672269
Module 2,SeAx,1.903230436634031,0.04379478163437378,1190,536,45.04201680672269
Module 3,HH,1.9754046740694657,0.03380893438173202,673,346,51.411589895988115
Module 3,Healthy CD4,0.1609435992268212,0.0641921707674228,673,346,51.411589895988115
Module 3,Healthy Pan T,0.33292304479551066,0.05486588638708602,673,346,51.411589895988115
Module 3,HuT 78,-1.2691219479882327,0.016230780354549938,673,346,51.411589895988115
Module 3,MyLa,-1.3701546878067883,0.03425862247808855,673,346,51.411589895988115
Module 3,SeAx,-0.20920836260664974,0.04707589004149497,673,346,51.411589895988115
Module 4,HH,-0.6005896375151483,0.02025197213974171,526,362,68.8212927756654
Module 4,Healthy CD4,0.6417679045851378,0.06090395519783137,526,362,68.8212927756654
Module 4,Healthy Pan T,0.6667340426273037,0.0616957855752464,526,362,68.8212927756654
Module 4,HuT 78,-0.3260471204115496,0.02365127264348365,526,362,68.8212927756654
Module 4,MyLa,-2.267703953474926,0.013468587567823605,526,362,68.8212927756654
Module 4,SeAx,0.5939809090048532,0.012668383239397103,526,362,68.8212927756654
Module 5,HH,-1.6270165632186744,0.008840436851179372,1126,655,58.17051509769094
Module 5,Healthy CD4,0.7014517476710233,0.03573794943357411,1126,655,58.17051509769094
Module 5,Healthy Pan T,0.6921078057951748,0.015365284747053868,1126,655,58.17051509769094
Module 5,HuT 78,0.9296696694257978,0.02220626639743134,1126,655,58.17051509769094
Module 5,MyLa,-1.0042969616612547,0.008493886313366436,1126,655,58.17051509769094
Module 5,SeAx,-1.091704546062165,0.022757467116490435,1126,655,58.17051509769094
Module 6,HH,0.6995137015990928,0.0036636816290665994,280,220,78.57142857142857
Module 6,Healthy CD4,0.5087546944608083,0.02718109503563384,280,220,78.57142857142857
Module 6,Healthy Pan T,0.44516650258105195,0.0277956275034356,280,220,78.57142857142857
Module 6,HuT 78,0.5675569337596905,0.018939959903928567,280,220,78.57142857142857
Module 6,MyLa,-1.0081005364293332,0.009796561300614376,280,220,78.57142857142857
Module 6,SeAx,-2.2092046209330087,0.040954832724818105,280,220,78.57142857142857
