ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction
GO:0070663,regulation of leukocyte proliferation,200,-0.41218552983085044,-1.8426157127367384,4.1656905628784514e-7,0.0021760759765484853,0.001998134355340987,2775,"tags=34%, list=19%, signal=28%",959/2048/23529/4615/5880/22806/29126/80381/83737/7293/57181/3552/10457/952/6480/23308/8772/3087/5588/8660/3105/1265/3600/7048/3280/9231/6504/3572/1026/259307/941/6385/6654/84433/637/1499/3594/3485/3559/6655/648/8379/7292/868/4763/64926/3115/7784/6777/1880/3659/604/1435/970/5747/3071/5074/6693/5573/1604/598/596/942/5621/7297/57045/4773/83593,HH,Down
GO:0032943,mononuclear cell proliferation,231,-0.4022899278529456,-1.8282994542765787,1.300320021177495e-6,0.0021760759765484853,0.001998134355340987,1689,"tags=25%, list=11%, signal=22%",5588/8660/3105/3600/9047/3575/7048/3280/9231/6504/3572/1026/259307/941/6385/6654/84433/637/1499/3594/3485/3559/6655/648/8379/7292/868/581/64926/25/3115/7784/23385/6777/1880/3659/604/1435/970/3988/3071/5074/6693/5573/4478/1604/598/596/942/2534/5621/896/7297/57045/4773/7157/83593,HH,Down
GO:0046651,lymphocyte proliferation,226,-0.3950388843568638,-1.7925683757794946,1.6107150085481016e-6,0.0021760759765484853,0.001998134355340987,1689,"tags=24%, list=11%, signal=22%",5588/8660/3105/3600/9047/3575/7048/3280/9231/6504/3572/1026/259307/941/6385/6654/84433/637/1499/3594/3485/3559/6655/648/8379/7292/868/581/64926/25/3115/7784/23385/6777/1880/3659/604/970/3988/3071/5074/6693/5573/4478/1604/596/942/2534/5621/896/7297/57045/4773/7157/83593,HH,Down
GO:0070661,leukocyte proliferation,254,-0.38043037967397536,-1.747507022300146,1.607837189894045e-6,0.0021760759765484853,0.001998134355340987,1689,"tags=24%, list=11%, signal=21%",5588/8660/3105/1265/3600/9047/3575/7048/3280/9231/6504/3572/1026/259307/941/6385/6654/84433/637/1499/3594/3485/3559/6655/648/8379/7292/868/581/4763/64926/25/3115/7784/23385/6777/1880/3659/604/1435/970/5747/3988/3071/5074/6693/5573/4478/1604/598/596/942/2534/5621/896/7297/57045/4773/7157/83593,HH,Down
GO:0042098,T cell proliferation,171,-0.43191538055096607,-1.8934489361597138,2.607766265984194e-6,0.002607909994931139,0.0023946565343615626,1689,"tags=28%, list=11%, signal=25%",5588/3105/3600/9047/7048/3280/9231/6504/3572/259307/941/6385/6654/84433/637/1499/3594/3485/3559/6655/648/8379/7292/868/581/64926/25/3115/7784/23385/6777/3659/604/970/3988/3071/5074/6693/5573/4478/1604/942/2534/5621/896/7297/57045/7157,HH,Down
GO:0032944,regulation of mononuclear cell proliferation,185,-0.4226139560624523,-1.8676550806585683,2.8955329329361278e-6,0.002607909994931139,0.0023946565343615626,2775,"tags=35%, list=19%, signal=28%",959/2048/23529/4615/5880/22806/29126/80381/83737/7293/57181/3552/10457/952/6480/23308/8772/5588/8660/3105/3600/7048/3280/9231/6504/3572/1026/259307/941/6385/6654/84433/637/1499/3594/3485/3559/6655/648/8379/7292/868/64926/3115/7784/6777/1880/3659/604/1435/970/3071/5074/6693/5573/1604/598/596/942/5621/7297/57045/4773/83593,HH,Down
GO:0050865,regulation of cell activation,479,-0.31432577528546435,-1.533516557766607,4.043663689515073e-6,0.0031217083683056364,0.002866440696597602,1713,"tags=21%, list=12%, signal=19%",150372/5588/8660/3105/1050/8877/7107/3600/2177/3575/7048/26276/3280/84034/9231/6504/2335/3572/84959/3707/1026/259307/941/7040/7294/5321/9308/6385/678/6654/84433/2625/50848/2648/6604/1445/64410/26258/399/5359/637/1499/3594/3485/7158/4092/2309/7006/2319/2729/3559/11117/6655/648/8379/7292/7480/868/64926/51571/25/1803/3115/7784/2241/6777/1880/3659/7301/604/970/196528/27/639/3071/5074/4846/6693/5573/4739/1604/64092/3718/596/942/2534/5621/861/3398/6195/7297/57045/4773/5578/56940/83593/56941/9840/55824/7805,HH,Down
GO:0050777,negative regulation of immune response,139,-0.4407841701231412,-1.8773182519600493,4.951486334614458e-6,0.003344729019032066,0.0030712245501805994,1661,"tags=27%, list=11%, signal=24%",54625/3105/55061/3575/6223/6504/103/259307/941/7040/9474/401397/79132/5468/613/197358/11274/4092/7292/140775/5045/3428/57506/2241/7301/604/25939/3071/55829/6693/1604/64092/2876/3718/2534/966/56940,HH,Down
GO:0042110,T cell activation,451,-0.32225285490609323,-1.5667453223114522,6.0617582013949185e-6,0.003639749035593127,0.0033421202527924732,1689,"tags=22%, list=11%, signal=20%",5588/3105/6775/64218/161882/8809/3600/2177/9047/3575/3140/7048/6722/3280/5316/9231/6504/3572/3707/259307/941/7040/9308/6385/3702/678/9474/6654/84433/2625/2648/8320/6604/1445/64410/399/637/1499/3594/3485/197358/3955/4092/2309/2319/3559/6655/648/8379/7292/7480/868/581/64926/51571/25/1803/3115/7784/23385/6777/1880/3659/604/970/196528/27/57089/639/3988/27086/3071/9021/5074/6693/5573/4088/4478/6774/1604/3683/440275/602/3718/596/942/2534/5621/896/5295/5873/861/7297/57045/56940/7157/9840/55824/7805,HH,Down
GO:0050670,regulation of lymphocyte proliferation,182,-0.4087773874262756,-1.811115595234482,7.336492863873592e-6,0.003964640743637289,0.003640444985294749,2775,"tags=34%, list=19%, signal=28%",959/2048/23529/4615/5880/22806/29126/80381/83737/7293/57181/3552/10457/952/23308/8772/5588/8660/3105/3600/7048/3280/9231/6504/3572/1026/259307/941/6385/6654/84433/637/1499/3594/3485/3559/6655/648/8379/7292/868/64926/3115/7784/6777/1880/3659/604/970/3071/5074/6693/5573/1604/596/942/5621/7297/57045/4773/83593,HH,Down
