ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term
GO:0001667,ameboidal-type cell migration,316,-0.3163897651971934,-1.4840136138342146,4.7599540363592785e-4,0.03957352555767006,0.03633752765570468,2135,"tags=23%, list=14%, signal=20%",6091/388/10500/8394/7857/9647/57608/9734/51157/116844/4215/8660/3676/64218/7048/6722/161742/2335/64750/7040/5793/3397/3675/284361/6385/91/949/5025/2625/9368/23189/5468/54828/25960/23380/8482/7291/10509/23411/8879/4763/25/1803/5217/2241/4902/5728/2039/10505/8826/5747/4163/4851/27086/54566/5613/10519/4846/22846/5371/3964/5607/2876/7046/11156/1647/8766/3315/5829/23499/10755/5578/1512/6776,HH,Down,GO:0001667,ameboidal-type cell migration
GO:0001819,positive regulation of cytokine production,360,-0.3324458369802317,-1.5828194423328175,1.75347649602131e-5,0.00643718904845957,0.0059108085968363425,2476,"tags=29%, list=17%, signal=25%",116449/3665/29126/80381/81844/25865/6675/3552/4938/10554/2627/5610/10333/4940/834/5027/6653/9466/8772/80342/54093/8013/3066/51157/4050/54502/150372/144811/5588/2597/3105/8877/161882/8809/3600/3603/115362/10621/3556/84632/331/64170/6504/3572/7100/5144/941/7040/7294/55703/10626/9308/8140/3702/84433/2625/2648/4939/3663/79132/3594/2149/8482/340061/22900/6284/7291/7292/5142/351/23411/163486/84282/3428/51571/57506/7096/25/10159/22954/3115/7784/6777/3659/192683/27086/9261/5008/4155/6693/4088/81622/6774/1604/85364/602/5603/942/5295/3315/861/3098/7297/9641/7805,HH,Down,GO:0001819,positive regulation of cytokine production
GO:0005975,carbohydrate metabolic process,411,-0.301003084179438,-1.4554430195186991,1.8629817072132244e-4,0.023412914292512244,0.021498398452394464,1690,"tags=19%, list=11%, signal=18%",669/2597/8660/2997/54344/90007/1196/1468/2132/5208/50515/56548/9942/4190/3572/3692/7040/100131187/2033/5321/5214/4125/7351/5164/57103/3421/2539/2648/4123/3419/5509/7358/51172/2548/9446/4351/80162/2729/200186/1312/351/6652/23411/2585/8445/83440/2171/84649/54414/3425/6489/6513/2517/150223/92579/51341/140710/2760/2992/8702/3988/7360/5209/55829/9695/2632/9759/6774/79158/10776/2990/64847/7903/54541/6515/3098/55276/7157/3074/5366,HH,Down,GO:0005975,carbohydrate metabolic process
GO:0006029,proteoglycan metabolic process,62,-0.5488226135090536,-2.038277670115121,1.786784524924011e-5,0.00643718904845957,0.0059108085968363425,1613,"tags=32%, list=11%, signal=29%",9394/4669/2135/2132/50515/56548/64131/9953/1499/7358/3425/126792/113189/92370/26035/3073/79586/2990/22856/3074,HH,Down,GO:0006029,proteoglycan metabolic process
GO:0006790,sulfur compound metabolic process,237,-0.360861977030936,-1.6536643642549018,4.672413522731531e-5,0.01259094165112813,0.01156135785254938,1652,"tags=25%, list=11%, signal=23%",10768/9394/4548/4669/1468/2135/2132/50515/56548/2678/1738/254552/8460/3141/100131187/9200/64780/55711/373156/64131/4258/9953/5164/84188/2539/8459/1499/84836/7358/4357/9446/27010/8801/2729/26027/4594/84649/3425/6611/6777/26873/126792/55902/113189/9645/8702/7263/92370/26035/3073/79586/2876/10550/11001/2990/215/642/22856/6776/3074,HH,Down,GO:0006790,sulfur compound metabolic process
GO:0010212,response to ionizing radiation,125,-0.40538732383464,-1.6909204627278516,2.909473775878658e-4,0.030236146701631286,0.02776368295443724,1600,"tags=26%, list=11%, signal=23%",1196/3627/2177/79035/54617/11200/1026/90381/57103/64710/2625/10276/7158/123879/581/23411/3428/641/121457/64859/9025/83695/1788/894/5371/2876/598/596/1647/4193/7157/64782,HH,Down,GO:0010212,response to ionizing radiation
GO:0010952,positive regulation of peptidase activity,131,-0.44530538624652527,-1.8813801410143418,1.2556035956766061e-5,0.005219447562335677,0.004792644008112973,1003,"tags=21%, list=7%, signal=20%",317/637/5468/2149/4137/22900/581/23411/3428/23385/23787/65992/26999/23151/9026/51065/4155/4088/8301/27113/489/6774/8743/10550/2534/1512/5366/7805,HH,Down,GO:0010952,positive regulation of peptidase activity
GO:0019058,viral life cycle,249,-0.33995509019617176,-1.5628597048920123,3.037489121159452e-4,0.03037895272661007,0.02789481147556194,1444,"tags=20%, list=10%, signal=18%",7706/5034/6504/4734/103/164668/941/286827/8724/5817/949/9474/64710/50848/4939/79720/128637/60489/5359/2040/57132/22880/57617/5093/6733/51495/5045/140564/3428/57506/55196/1803/7301/3416/4851/55207/5479/200316/1604/89853/440275/9712/10450/596/10581/942/27350/1508/8519,HH,Down,GO:0019058,viral life cycle
GO:0021532,neural tube patterning,23,-0.6539698212514214,-1.9307850556847395,5.93486800323545e-4,0.04276270225264583,0.039265919673336015,1472,"tags=39%, list=10%, signal=35%",3280/57728/9742/648/10159/200894/23648/7289/84678,HH,Down,GO:0021532,neural tube patterning
GO:0022408,negative regulation of cell-cell adhesion,139,-0.4121188734982715,-1.7552315523930417,5.673271705448142e-5,0.01259094165112813,0.01156135785254938,1295,"tags=23%, list=9%, signal=21%",84959/259307/941/7040/26154/6385/10653/4092/53827/3559/8379/7292/868/25/3659/604/5747/4851/5420/5074/4155/6693/5573/5607/3718/942/5621/861/57045/56940/55824/7805,HH,Down,GO:0022408,negative regulation of cell-cell adhesion
