ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term,minus_log10_padj
GO:0070663,regulation of leukocyte proliferation,200,-0.41218552983085044,-1.8426157127367384,4.1656905628784514e-7,0.0021760759765484853,0.001998134355340987,2775,"tags=34%, list=19%, signal=28%",959/2048/23529/4615/5880/22806/29126/80381/83737/7293/57181/3552/10457/952/6480/23308/8772/3087/5588/8660/3105/1265/3600/7048/3280/9231/6504/3572/1026/259307/941/6385/6654/84433/637/1499/3594/3485/3559/6655/648/8379/7292/868/4763/64926/3115/7784/6777/1880/3659/604/1435/970/5747/3071/5074/6693/5573/1604/598/596/942/5621/7297/57045/4773/83593,HH,Down,GO:0070661,leukocyte proliferation,2.662325945545672
GO:0050865,regulation of cell activation,479,-0.31432577528546435,-1.533516557766607,4.043663689515073e-6,0.0031217083683056364,0.002866440696597602,1713,"tags=21%, list=12%, signal=19%",150372/5588/8660/3105/1050/8877/7107/3600/2177/3575/7048/26276/3280/84034/9231/6504/2335/3572/84959/3707/1026/259307/941/7040/7294/5321/9308/6385/678/6654/84433/2625/50848/2648/6604/1445/64410/26258/399/5359/637/1499/3594/3485/7158/4092/2309/7006/2319/2729/3559/11117/6655/648/8379/7292/7480/868/64926/51571/25/1803/3115/7784/2241/6777/1880/3659/7301/604/970/196528/27/639/3071/5074/4846/6693/5573/4739/1604/64092/3718/596/942/2534/5621/861/3398/6195/7297/57045/4773/5578/56940/83593/56941/9840/55824/7805,HH,Down,GO:0050865,regulation of cell activation,2.5056076714053983
GO:0050777,negative regulation of immune response,139,-0.4407841701231412,-1.8773182519600493,4.951486334614458e-6,0.003344729019032066,0.0030712245501805994,1661,"tags=27%, list=11%, signal=24%",54625/3105/55061/3575/6223/6504/103/259307/941/7040/9474/401397/79132/5468/613/197358/11274/4092/7292/140775/5045/3428/57506/2241/7301/604/25939/3071/55829/6693/1604/64092/2876/3718/2534/966/56940,HH,Down,GO:0050777,negative regulation of immune response,2.4756390618442086
GO:0010952,positive regulation of peptidase activity,131,-0.44530538624652527,-1.8813801410143418,1.2556035956766061e-5,0.005219447562335677,0.004792644008112973,1003,"tags=21%, list=7%, signal=20%",317/637/5468/2149/4137/22900/581/23411/3428/23385/23787/65992/26999/23151/9026/51065/4155/4088/8301/27113/489/6774/8743/10550/2534/1512/5366/7805,HH,Down,GO:0010952,positive regulation of peptidase activity,2.282375461236363
GO:0006029,proteoglycan metabolic process,62,-0.5488226135090536,-2.038277670115121,1.786784524924011e-5,0.00643718904845957,0.0059108085968363425,1613,"tags=32%, list=11%, signal=29%",9394/4669/2135/2132/50515/56548/64131/9953/1499/7358/3425/126792/113189/92370/26035/3073/79586/2990/22856/3074,HH,Down,GO:0006029,proteoglycan metabolic process,2.191303736249749
GO:0009152,purine ribonucleotide biosynthetic process,182,0.40292354951374976,1.6527708348054548,1.3083188784872177e-4,0.018128603126525446,0.016646194853410914,2286,"tags=29%, list=15%, signal=24%",4833/6389/29922/9061/2182/38/6392/109/2977/1737/6390/11332/100/55229/6785/50808/132/498/10606/3614/8833/4522/2180/4711/5471/10632/51422/54539/4715/2023/4719/23181/51703/2181/32/517/4535/10476/84532/7114/4882/10891/5160/4712/4713/4709/5198/4716/79993/790955/523/113,HH,Up,GO:0009152,purine ribonucleotide biosynthetic process,1.7416356585527957
GO:0043392,negative regulation of DNA binding,25,0.6506214739827572,1.9164347473873773,5.314781437344184e-4,0.04186247006363313,0.038439301079116174,1953,"tags=44%, list=13%, signal=38%",23028/9421/51176/22927/64771/51042/7341/8658/6608/3717/6672,HH,Up,GO:0043392,negative regulation of DNA binding,1.3781751500212875
GO:0002396,MHC protein complex assembly,18,-0.7471578377046872,-2.1750245346636743,3.8743530776689905e-5,0.013958002687815482,0.013034139406557994,1858,"tags=78%, list=13%, signal=68%",3108/3112/3115/3117/3127/3119/3109/3123/3113/55080/3105/6892/3111/567,HuT 78,Down,GO:0002501,"peptide antigen assembly with MHC protein
complex",1.8551767223804085
GO:0032816,positive regulation of natural killer cell activation,17,-0.7389250185949882,-2.094594180436322,7.782558268568821e-5,0.023830883732328893,0.02225354642034842,947,"tags=47%, list=6%, signal=44%",149233/3592/22890/3600/7297/3601/148022/10125,HuT 78,Down,GO:0032816,"positive regulation of natural killer cell
activation",1.6228598522000186
GO:0050851,antigen receptor-mediated signaling pathway,173,0.4714570707775651,1.8787800512459232,3.958102548698059e-7,0.0010884186755299643,0.0010163775625249617,1960,"tags=35%, list=13%, signal=31%",2534/916/7535/53347/28639/1445/3932/3071/1997/84174/9840/27086/1540/640/2633/10616/915/4208/7070/5074/54900/917/9214/100/163486/7006/26228/23607/10603/3635/5144/919/5142/50852/3937/5771/5583/974/4068/28755/973/5579/9404/3702/5621/2885/634/26191/2625/84433/23308/57181/123920/5788/89857/8892/59338/3514/28638/27040/150372,HuT 78,Up,GO:0050851,"antigen receptor-mediated signaling
pathway",2.9632040150271326
