ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,30/1068,72/12061,0.4166666666666667,4.705446317103621,9.829161257170774,7.566189564196517e-14,2.379691416116001e-10,1.8176779620776433e-10,PLXNB2/ROBO1/DSG4/CDHR3/NECTIN4/NECTIN2/PCDHB9/PCDHB10/CLSTN3/PALLD/PCDHGA6/PECAM1/PCDHGA10/FAT4/PCDH10/CADM2/CELSR1/AMIGO1/ROBO2/PCDH18/PCDHB14/PCDH7/FAT3/HMCN1/DSC3/PCDHB7/PCDHB11/RET/PCDHGA1/CELSR3,30,Module 1
GO:0072001,renal system development,56/1068,218/12061,0.25688073394495414,2.9009724083427826,8.828244687881716,1.2241588490041327e-13,2.379691416116001e-10,1.8176779620776433e-10,BASP1/SMAD3/ACVR2B/PRDM1/TGFBR1/LZTS2/BCL2/HOXB7/PODXL/DLG5/SMAD6/HES1/DYNC2H1/BMP4/ADAMTS16/PROM1/CD24/SIX1/POU3F3/ERBB4/DDC/LGR4/HS3ST3A1/PECAM1/LHX1/EGR1/SPRY1/BMP2/HPGD/HOXC11/NOTCH1/WFS1/FGFR2/PAX2/NID1/PCSK5/ADAMTS1/MAGI2/SMAD1/ROBO2/SULF2/GFRA1/EPHA4/CYP26B1/RARB/ANGPT1/ITGA8/LRP4/EYA1/SOX9/COL4A3/FOXF1/PROX1/VANGL2/RET/LAMA5,56,Module 1
GO:0007389,pattern specification process,70/1068,313/12061,0.22364217252396165,2.525606968924627,8.523815289211848,1.8230999106002945e-13,2.379691416116001e-10,1.8176779620776433e-10,TP53/BASP1/MKS1/SMAD3/ACVR2B/CHSY1/TGFBR1/HOXB7/GAS8/RNF207/PCGF2/ROBO1/SMARCD3/BTG2/HOXA6/HOXA5/SMAD6/HOXC10/HES1/DYNC2H1/HOXA3/BMP4/TBX2/MEIS3/TLL2/HHEX/EGR2/CLUAP1/SIX1/ERBB4/TBX1/NR2F2/LHX1/SPRY1/BMP2/HOXC11/DNAAF4/NKX2-1/NOTCH1/ADGRG1/TULP3/DISP1/LFNG/MID1/IFT172/SIX3/FGFR2/PAX2/PCSK5/GSC/DMRT2/SOX1/PITX2/TBX3/SMAD1/ROBO2/CYP26B1/HEY2/PCSK6/LRP4/EYA1/FOXA1/DNAI1/DZIP1L/HES4/FOXF1/VANGL2/DNAI2/CFAP53/LAMA5,70,Module 1
GO:0001822,kidney development,55/1068,214/12061,0.2570093457943925,2.902424831110644,8.752081729643173,1.9905407077507331e-13,2.379691416116001e-10,1.8176779620776433e-10,BASP1/SMAD3/ACVR2B/PRDM1/TGFBR1/LZTS2/BCL2/HOXB7/PODXL/DLG5/SMAD6/HES1/DYNC2H1/BMP4/ADAMTS16/PROM1/CD24/SIX1/POU3F3/ERBB4/DDC/LGR4/HS3ST3A1/PECAM1/LHX1/EGR1/SPRY1/BMP2/HPGD/HOXC11/NOTCH1/WFS1/FGFR2/PAX2/NID1/PCSK5/ADAMTS1/MAGI2/SMAD1/ROBO2/SULF2/GFRA1/EPHA4/CYP26B1/RARB/ANGPT1/ITGA8/LRP4/EYA1/SOX9/COL4A3/PROX1/VANGL2/RET/LAMA5,55,Module 1
GO:0003002,regionalization,65/1068,285/12061,0.22807017543859648,2.575612720940929,8.390235989489167,5.295805182051666e-13,5.064908076114213e-10,3.868725048783007e-10,TP53/BASP1/MKS1/SMAD3/ACVR2B/CHSY1/TGFBR1/HOXB7/GAS8/RNF207/PCGF2/ROBO1/SMARCD3/BTG2/HOXA6/HOXA5/SMAD6/HOXC10/HES1/DYNC2H1/HOXA3/BMP4/TBX2/TLL2/HHEX/EGR2/CLUAP1/SIX1/TBX1/NR2F2/LHX1/SPRY1/BMP2/HOXC11/DNAAF4/NKX2-1/NOTCH1/ADGRG1/TULP3/DISP1/LFNG/IFT172/SIX3/FGFR2/PAX2/PCSK5/GSC/DMRT2/SOX1/PITX2/TBX3/ROBO2/CYP26B1/HEY2/PCSK6/LRP4/FOXA1/DNAI1/DZIP1L/HES4/FOXF1/VANGL2/DNAI2/CFAP53/LAMA5,65,Module 1
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,41/1068,135/12061,0.3037037037037037,3.4297475377999724,8.848747419955194,6.861689045477399e-13,5.468766169245487e-10,4.1772036820713294e-10,PLXNB2/ADGRL1/ROBO1/FLRT3/IL1RAP/DSG4/CDHR3/NECTIN4/NECTIN2/TENM1/PCDHB9/PCDHB10/PTPRF/ITGAL/CLSTN3/PALLD/PCDHGA6/PECAM1/BMP2/PCDHGA10/KLF4/FAT4/PCDH10/CADM2/CELSR1/AMIGO1/ROBO2/PCDH18/PCDHB14/ADGRL3/CRB1/PCDH7/FAT3/HMCN1/DSC3/PCDHB7/CBLN1/PCDHB11/RET/PCDHGA1/CELSR3,41,Module 1
GO:0048729,tissue morphogenesis,80/1068,415/12061,0.1927710843373494,2.176977573214205,7.605101407418088,1.3162494554391205e-11,8.924766017064467e-9,6.816997530038897e-9,PLXNB2/MDM2/LUZP1/MKS1/CSF1/SMAD3/TGFBR1/LZTS2/BCL2/HOXB7/PODXL/RNF207/FZD3/ARHGAP12/COL3A1/KDM5B/FOXP1/ROBO1/FLRT3/CXCL10/DLG5/HOXA5/JHY/HES1/BMP4/TBX2/BRSK2/ADAMTS16/RIPK4/RHOB/TMEFF2/DDR1/CLUAP1/SIX1/SPRY2/FZD1/ERBB4/NTN1/TBX1/LGR4/HS3ST3A1/MMP14/LHX1/PHLDB2/SPRY1/BMP2/NKX2-1/NOTCH1/TULP3/ASTN2/TWIST1/SHOX2/IFT172/SIX3/KLF4/FGFR2/PAX2/NTN4/CYP7B1/CELSR1/ALDH1A3/TBX3/SMAD1/CTHRC1/ROBO2/MYLK/EPHA4/HEY2/ITGA8/EYA1/TLX2/FOXA1/SOX9/ARTN/FOXF1/PROX1/ITGB5/VANGL2/RET/LAMA5,80,Module 1
GO:0072073,kidney epithelium development,32/1068,96/12061,0.3333333333333333,3.7643570536828963,8.475680332748938,1.4930599777606803e-11,8.924766017064467e-9,6.816997530038897e-9,BASP1/SMAD3/LZTS2/BCL2/HOXB7/PODXL/SMAD6/HES1/BMP4/ADAMTS16/PROM1/CD24/SIX1/POU3F3/LGR4/HS3ST3A1/PECAM1/LHX1/SPRY1/BMP2/NOTCH1/FGFR2/PAX2/MAGI2/SMAD1/ROBO2/EPHA4/RARB/EYA1/SOX9/RET/LAMA5,32,Module 1
GO:0001657,ureteric bud development,24/1068,63/12061,0.38095238095238093,4.302122347066167,8.19049543266695,2.260446575374142e-10,1.201050613715461e-7,9.173976159705582e-8,BASP1/SMAD3/LZTS2/BCL2/HOXB7/SMAD6/HES1/BMP4/ADAMTS16/SIX1/LGR4/HS3ST3A1/LHX1/SPRY1/BMP2/FGFR2/PAX2/SMAD1/ROBO2/RARB/EYA1/SOX9/RET/LAMA5,24,Module 1
GO:0072163,mesonephric epithelium development,24/1068,64/12061,0.375,4.234901685393258,8.087530099981242,3.316599272389452e-10,1.4418161564151239e-07,1.1013013851857801e-7,BASP1/SMAD3/LZTS2/BCL2/HOXB7/SMAD6/HES1/BMP4/ADAMTS16/SIX1/LGR4/HS3ST3A1/LHX1/SPRY1/BMP2/FGFR2/PAX2/SMAD1/ROBO2/RARB/EYA1/SOX9/RET/LAMA5,24,Module 1
