ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module,term,representative_ID,representative_term,score,size
GO:0001501,skeletal system development,68/1068,363/12061,0.18732782369146006,2.1155064433920407,6.72621512805675,1.6983348211419229e-9,3.53105961508725e-7,2.697126695360399e-7,HEXB/ANKRD11/TP53/NFATC2/COL9A2/MKS1/SMAD3/ACVR2B/CHSY1/TGFBR1/HOXB7/RUNX1/PCGF2/HOXA1/COL3A1/FOXP1/SOX5/LARGE1/HOXA6/HOXA5/PLEKHA1/HOXC10/LOC102724560/FGFR3/HOXA3/BMP4/CBS/TRIM45/NDST1/LILRB1/RYR1/SIX1/PLXNB1/TBX1/MMP14/LHX1/BMP2/TNN/HOXC11/TSKU/TULP3/TWIST1/SHOX2/IFT172/FGFR2/PCSK5/CCN3/GSC/PDGFC/DMRT2/PITX2/PAX1/TBX3/SMAD1/SULF2/CYP26B1/RARB/BCAN/LRRK1/EYA1/PITX1/PAPSS2/SOX9/BBS1/ANXA2/NAB1/SRD5A1/LAMA5,68,Module 1,skeletal system development,GO:0001501,skeletal system development,6.452094950155715,531
GO:0001659,temperature homeostasis,28/1068,141/12061,0.19858156028368795,2.242595691555768,4.625966020032136,3.665015124470444e-5,0.0011606690281601101,8.86552978871554e-4,ACVR2B/TRPV2/TNFRSF11A/ACOT11/IL18R1/PCTP/IL1A/CNR1/NOVA2/HOXC10/ADRB2/ELOVL3/ELOVL6/LGR4/EGR1/ZNF516/FABP5/NOTCH1/SQSTM1/SFXN5/PDGFC/FFAR4/IGF2BP2/ZNF423/NOVA1/TLR4/SYK/OXT,28,Module 1,temperature homeostasis,GO:0001659,temperature homeostasis,2.9352916043233055,183
GO:0071706,tumor necrosis factor superfamily cytokine production,21/1068,120/12061,0.175,1.9762874531835204,3.3500334856650746,0.0018445931494304973,0.020231294588478527,0.015453255018164717,CD86/HSPB1/FOXP1/IL1A/GPNMB/THBS1/LILRB1/APP/BCL3/MAPKAPK2/EPHB2/PYCARD/SELENOS/TWIST1/GAS6/ANGPT1/AKAP12/TLR4/SYK/CX3CR1/C1QTNF4,21,Module 1,tumor necrosis factor superfamily cytokine production,GO:0001819,positive regulation of cytokine production,1.6939763260950524,194
GO:0002683,negative regulation of immune system process,53/1068,366/12061,0.1448087431693989,1.635335441354045,3.8471992415468588,2.2855311651027194e-4,0.004460981689104174,0.0034074283962208037,LAPTM5/CD86/CD59/SH2D1A/DUSP22/ID2/PPARG/RUNX1/PAWR/TYRO3/BCR/COL3A1/GCSAM/DHX58/DLG5/CNR1/GPR137B/TLR6/BMP4/GPNMB/USP18/CEBPA/THBS1/ZPBP2/PLCB1/LILRB1/PRNP/IL4I1/GATA2/LGR4/HMOX1/IL31RA/TNFRSF21/BANK1/HLA-A/TRIM32/SQSTM1/SELENOS/PLA2G2F/SAMHD1/TWIST1/DTX4/SPINK5/PLK2/CCN3/ANGPT1/TLR4/SYK/SOX9/TRIM31/FOXF1/CX3CR1/IL20RB,53,Module 1,negative regulation of immune system process,GO:0002250,adaptive immune response,2.956519813294165,526
GO:0009611,response to wounding,59/1068,382/12061,0.1544502617801047,1.744217797125321,4.60712578850242,1.5479759050552558e-5,6.067558014732977e-4,4.6345784215200505e-4,CD59/HSPB1/SMAD3/CTNNA1/TGFBR1/BCL2/PPARG/RAB27A/TFPI/PTK2/CDKN1A/EPB41L4B/TYRO3/COL3A1/F2R/F11R/IL1A/FLRT3/RTN4RL2/GRIN2C/PROS1/TXK/THBS1/TMEFF2/NTRK1/SYT7/DDR1/PTPRF/EPHB2/GATA2/PLAT/HMOX1/PHLDB2/TSKU/ELK3/IL6ST/KLF4/GIPR/GAS6/NDNF/FBLN1/SULF2/HPSE/MYLK/EPHA4/FOSL1/ADRA2C/PLPP3/PAPSS2/TLR4/SYK/SLC1A1/CSPG5/FOXF1/CX3CR1/FCER1G/ITGB5/SLC6A4/ANXA2,59,Module 1,response to wounding,GO:0002526,acute inflammatory response,3.216986062485447,567
GO:0003341,cilium movement,19/1068,115/12061,0.16521739130434782,1.8658117570428268,2.9077851221721396,0.005700533258251667,0.043452394173154364,0.03319021061014895,GAS8/ATP1A4/JHY/CFAP47/DYNC2H1/NEK10/TCTE1/TTLL3/DZIP1/DNAAF4/CFAP70/DNAH14/LDHC/CATSPER2/DNAI1/SPEF1/BBS1/DNAI2/CFAP53,19,Module 1,cilium movement,GO:0003341,cilium movement,1.361986289467468,209
GO:0006790,sulfur compound metabolic process,39/1068,237/12061,0.16455696202531644,1.8583534821978853,4.159674061747637,1.087716925367144e-4,0.0026270011803564055,0.0020065803992684685,HEXB/ABCD1/CHST14/SLC27A2/CHSY1/GLCE/OPLAH/ACSS2/IDUA/DGAT2/ACOT11/MGST2/PDK2/TPST1/GGT1/HACD1/FAR2/LOC102724560/CBS/ACSM3/ELOVL3/NDST1/ELOVL6/GGT7/HS3ST3A1/TPK1/GUSB/SUOX/FITM2/ACOT4/CHST3/HPSE/HS3ST5/ANGPT1/PAPSS2/SNCA/HS3ST1/SLC1A1/CHAC1,39,Module 1,sulfur compound metabolic process,GO:0006790,sulfur compound metabolic process,2.580539732077973,326
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,30/1068,72/12061,0.4166666666666667,4.705446317103621,9.829161257170774,7.566189564196517e-14,2.379691416116001e-10,1.8176779620776433e-10,PLXNB2/ROBO1/DSG4/CDHR3/NECTIN4/NECTIN2/PCDHB9/PCDHB10/CLSTN3/PALLD/PCDHGA6/PECAM1/PCDHGA10/FAT4/PCDH10/CADM2/CELSR1/AMIGO1/ROBO2/PCDH18/PCDHB14/PCDH7/FAT3/HMCN1/DSC3/PCDHB7/PCDHB11/RET/PCDHGA1/CELSR3,30,Module 1,homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,9.623479355954773,168
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,69/1068,442/12061,0.15610859728506787,1.7629454979917636,5.093560157433413,2.0107987678661905e-6,1.1052459434409336e-4,8.442192044156906e-5,HSPB1/CPNE3/CSF1/DSTYK/EPHA10/RHOQ/PTK2/ZFYVE28/NRTN/TYRO3/ROBO1/PTPRG/FLRT3/MTCL2/TXNIP/PDK2/LRP1/PTPRE/NEDD4/DOCK3/PLEKHA1/FGFR3/TBX2/RHBDF1/HHEX/ADRB2/SORBS1/CYFIP1/SOCS2/IRS2/NRG4/THBS1/NDST1/NTRK1/PLCB1/DDR1/PXN/MAPKAPK2/PRKCB/EPHB2/SPRY2/ERBB4/PLAT/IL31RA/SPRY1/BMP2/SAMD12/C2CD5/ABL2/SOS2/FGFR2/PDGFC/PRKD1/IGF2/SULF2/GFRA1/EPHA4/ANGPT1/ANKS1B/DNAI1/SNCA/BLNK/SYK/SOX9/COL4A3/MSTN/CRIM1/RET/GKAP1,69,Module 1,transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,3.9565410704003297,641
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,26/1068,120/12061,0.21666666666666667,2.4468320848938827,4.964660681363897,1.4056528548121207e-5,5.601526626426301e-4,4.278610005436894e-4,ADGRL2/ADGRL1/CXCL10/GNAZ/GPR157/CNR1/GNAL/ADRB2/CHRM2/CCR3/HRH4/LGR4/ADGRG1/LPAR2/ADCY1/CXCL11/OPRD1/GIPR/GPR37/ADGRL3/ADRA2C/ABCA1/AKAP12/CXCL9/LPAR3/ADCY5,26,Module 1,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007186,G protein-coupled receptor signaling pathway,3.25169359530135,249
