representative_ID,module,representative_term,representative_score,p.adjust,Count,GeneRatio,status,minus_log10_padj
GO:0007156,Module 1,"homophilic cell adhesion via plasma membrane
adhesion molecules",9.623479355954773,2.379691416116001e-10,30,30/1068,Significant,9.623479355954773
GO:0007156,Module 2,"homophilic cell adhesion via plasma membrane
adhesion molecules",9.623479355954773,1.0144653192714568e-8,83,83/1244,Significant,7.993762795260977
GO:0007156,Module 3,"homophilic cell adhesion via plasma membrane
adhesion molecules",9.623479355954773,NA,NA,NA,NS,NA
GO:0007156,Module 4,"homophilic cell adhesion via plasma membrane
adhesion molecules",9.623479355954773,NA,NA,NA,NS,NA
GO:0007156,Module 5,"homophilic cell adhesion via plasma membrane
adhesion molecules",9.623479355954773,0.009149499169041841,37,37/899,Significant,2.0386026779635444
GO:0007156,Module 6,"homophilic cell adhesion via plasma membrane
adhesion molecules",9.623479355954773,0.04157349376447868,9,9/480,Significant,1.3811834766033404
GO:0007389,Module 1,pattern specification process,9.623479355954773,2.379691416116001e-10,70,70/1068,Significant,9.623479355954773
GO:0007389,Module 2,pattern specification process,9.623479355954773,NA,NA,NA,NS,NA
GO:0007389,Module 3,pattern specification process,9.623479355954773,NA,NA,NA,NS,NA
GO:0007389,Module 4,pattern specification process,9.623479355954773,NA,NA,NA,NS,NA
GO:0007389,Module 5,pattern specification process,9.623479355954773,NA,NA,NA,NS,NA
GO:0007389,Module 6,pattern specification process,9.623479355954773,NA,NA,NA,NS,NA
GO:0072001,Module 1,renal system development,9.623479355954773,2.379691416116001e-10,56,56/1068,Significant,9.623479355954773
GO:0072001,Module 2,renal system development,9.623479355954773,NA,NA,NA,NS,NA
GO:0072001,Module 3,renal system development,9.623479355954773,NA,NA,NA,NS,NA
GO:0072001,Module 4,renal system development,9.623479355954773,NA,NA,NA,NS,NA
GO:0072001,Module 5,renal system development,9.623479355954773,NA,NA,NA,NS,NA
GO:0072001,Module 6,renal system development,9.623479355954773,NA,NA,NA,NS,NA
GO:0002250,Module 1,adaptive immune response,9.274367152829374,0.004460981689104174,53,53/1068,Significant,2.3505695593939664
GO:0002250,Module 2,adaptive immune response,9.274367152829374,2.820579576516963e-7,79,79/1244,Significant,6.549661643091685
GO:0002250,Module 3,adaptive immune response,9.274367152829374,NA,NA,NA,NS,NA
GO:0002250,Module 4,adaptive immune response,9.274367152829374,NA,NA,NA,NS,NA
GO:0002250,Module 5,adaptive immune response,9.274367152829374,5.316586047041479e-10,71,71/899,Significant,9.274367152829374
GO:0002250,Module 6,adaptive immune response,9.274367152829374,0.04157349376447868,10,10/480,Significant,1.3811834766033404
GO:0048729,Module 1,tissue morphogenesis,8.049403161079054,8.924766017064467e-9,80,80/1068,Significant,8.049403161079054
GO:0048729,Module 2,tissue morphogenesis,8.049403161079054,0.003811927364390896,73,73/1244,Significant,2.41885538336025
GO:0048729,Module 3,tissue morphogenesis,8.049403161079054,NA,NA,NA,NS,NA
GO:0048729,Module 4,tissue morphogenesis,8.049403161079054,NA,NA,NA,NS,NA
GO:0048729,Module 5,tissue morphogenesis,8.049403161079054,0.015556042131645985,7,7/899,Significant,1.8081008892892612
GO:0048729,Module 6,tissue morphogenesis,8.049403161079054,NA,NA,NA,NS,NA
GO:0090596,Module 1,sensory organ morphogenesis,6.820913858039586,1.510379707052553e-7,43,43/1068,Significant,6.820913858039586
GO:0090596,Module 2,sensory organ morphogenesis,6.820913858039586,NA,NA,NA,NS,NA
GO:0090596,Module 3,sensory organ morphogenesis,6.820913858039586,NA,NA,NA,NS,NA
GO:0090596,Module 4,sensory organ morphogenesis,6.820913858039586,NA,NA,NA,NS,NA
GO:0090596,Module 5,sensory organ morphogenesis,6.820913858039586,NA,NA,NA,NS,NA
GO:0090596,Module 6,sensory organ morphogenesis,6.820913858039586,NA,NA,NA,NS,NA
GO:0048562,Module 1,embryonic organ morphogenesis,6.80869090742482,1.5534922556149747e-7,46,46/1068,Significant,6.80869090742482
GO:0048562,Module 2,embryonic organ morphogenesis,6.80869090742482,NA,NA,NA,NS,NA
GO:0048562,Module 3,embryonic organ morphogenesis,6.80869090742482,NA,NA,NA,NS,NA
GO:0048562,Module 4,embryonic organ morphogenesis,6.80869090742482,NA,NA,NA,NS,NA
GO:0048562,Module 5,embryonic organ morphogenesis,6.80869090742482,NA,NA,NA,NS,NA
GO:0048562,Module 6,embryonic organ morphogenesis,6.80869090742482,NA,NA,NA,NS,NA
GO:0046631,Module 1,alpha-beta T cell activation,6.549661643091685,0.004490519858224861,62,62/1068,Significant,2.347703378709512
