go,term,parent,parentTerm,score,size
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,9.623479355954773,168
GO:0007389,pattern specification process,GO:0007389,pattern specification process,9.623479355954773,474
GO:0072001,renal system development,GO:0072001,renal system development,9.623479355954773,329
GO:0001822,kidney development,GO:0072001,renal system development,9.623479355954773,319
GO:0003002,regionalization,GO:0007389,pattern specification process,9.29542843231725,429
GO:0002250,adaptive immune response,GO:0002250,adaptive immune response,9.274367152829374,767
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,9.262110645573504,279
GO:0048729,tissue morphogenesis,GO:0048729,tissue morphogenesis,8.049403161079054,616
GO:0072073,kidney epithelium development,GO:0072001,renal system development,8.049403161079054,152
GO:0022407,regulation of cell-cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,7.993762795260977,496
GO:0001657,ureteric bud development,GO:0072001,renal system development,6.920438690520351,99
GO:0045785,positive regulation of cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,6.848517687904296,485
GO:0072164,mesonephric tubule development,GO:0072001,renal system development,6.841090112254943,100
GO:0072163,mesonephric epithelium development,GO:0072001,renal system development,6.841090112254943,100
GO:0060562,epithelial tube morphogenesis,GO:0048729,tissue morphogenesis,6.823116864974456,335
GO:0090596,sensory organ morphogenesis,GO:0090596,sensory organ morphogenesis,6.820913858039586,278
GO:0048562,embryonic organ morphogenesis,GO:0048562,embryonic organ morphogenesis,6.80869090742482,297
GO:0043583,ear development,GO:0090596,sensory organ morphogenesis,6.80869090742482,223
GO:0072006,nephron development,GO:0072001,renal system development,6.80869090742482,158
GO:0048754,branching morphogenesis of an epithelial tube,GO:0048754,branching morphogenesis of an epithelial tube,6.733774879385023,157
GO:0001823,mesonephros development,GO:0072001,renal system development,6.733774879385023,104
GO:0002009,morphogenesis of an epithelium,GO:0048729,tissue morphogenesis,6.570301226910343,501
GO:0007159,leukocyte cell-cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,6.549661643091685,419
GO:0046631,alpha-beta T cell activation,GO:0046631,alpha-beta T cell activation,6.549661643091685,181
GO:0007416,synapse assembly,GO:0007416,synapse assembly,6.4992816631259975,208
GO:0032835,glomerulus development,GO:0072001,renal system development,6.496931558646974,71
GO:0022409,positive regulation of cell-cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,6.4919651374704115,325
GO:1903037,regulation of leukocyte cell-cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,6.489100835559347,382
GO:0001501,skeletal system development,GO:0001501,skeletal system development,6.452094950155715,531
GO:0048839,inner ear development,GO:0090596,sensory organ morphogenesis,6.452094950155715,196
GO:0048568,embryonic organ development,GO:0048562,embryonic organ morphogenesis,6.362703960947952,455
GO:0048514,blood vessel morphogenesis,GO:0048514,blood vessel morphogenesis,6.351932637007042,715
GO:0097485,neuron projection guidance,GO:0097485,neuron projection guidance,6.282074364038776,234
GO:0007411,axon guidance,GO:0097485,neuron projection guidance,6.282074364038776,234
GO:0045165,cell fate commitment,GO:0045165,cell fate commitment,6.260523907791778,289
GO:0001763,morphogenesis of a branching structure,GO:0048754,branching morphogenesis of an epithelial tube,6.260523907791778,206
GO:0034329,cell junction assembly,GO:0007416,synapse assembly,6.246955898701598,453
GO:0061564,axon development,GO:0097485,neuron projection guidance,6.2370553906410455,522
GO:0007423,sensory organ development,GO:0090596,sensory organ morphogenesis,6.214679922962534,592
GO:0061138,morphogenesis of a branching epithelium,GO:0048754,branching morphogenesis of an epithelial tube,6.202728332584563,189
GO:0050865,regulation of cell activation,GO:0046631,alpha-beta T cell activation,5.941871081238447,630
GO:0051960,regulation of nervous system development,GO:0051960,regulation of nervous system development,5.913031138408575,468
GO:0042110,T cell activation,GO:0046631,alpha-beta T cell activation,5.639590028921612,570
GO:0071363,cellular response to growth factor stimulus,GO:0071363,cellular response to growth factor stimulus,5.520884952560088,747
GO:0035710,"CD4-positive, alpha-beta T cell activation",GO:0046631,alpha-beta T cell activation,5.4508225225744535,120
GO:0072009,nephron epithelium development,GO:0072001,renal system development,5.312433551407009,121
GO:0002694,regulation of leukocyte activation,GO:0046631,alpha-beta T cell activation,5.24260789414633,573
GO:0048598,embryonic morphogenesis,GO:0048562,embryonic organ morphogenesis,5.224940658395905,618
GO:1903039,positive regulation of leukocyte cell-cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,5.215061451985566,277
GO:0060840,artery development,GO:0048514,blood vessel morphogenesis,5.169690365837497,113
GO:0007162,negative regulation of cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,5.117919551917662,310
GO:0042472,inner ear morphogenesis,GO:0090596,sensory organ morphogenesis,5.098623929620506,106
GO:0050808,synapse organization,GO:0007416,synapse assembly,5.048519943478586,493
GO:0032944,regulation of mononuclear cell proliferation,GO:0032944,regulation of mononuclear cell proliferation,5.018884526429041,241
GO:0019221,cytokine-mediated signaling pathway,GO:0019221,cytokine-mediated signaling pathway,4.97681330536731,526
GO:0007610,behavior,GO:0007610,behavior,4.955772401195154,656
GO:0032943,mononuclear cell proliferation,GO:0032944,regulation of mononuclear cell proliferation,4.93520214117622,315
GO:0045055,regulated exocytosis,GO:0045055,regulated exocytosis,4.926503232539097,225
GO:0046651,lymphocyte proliferation,GO:0032944,regulation of mononuclear cell proliferation,4.91383524930992,308
GO:0050670,regulation of lymphocyte proliferation,GO:0032944,regulation of mononuclear cell proliferation,4.91383524930992,237
GO:0060441,epithelial tube branching involved in lung morphogenesis,GO:0060441,epithelial tube branching involved in lung morphogenesis,4.872974247910921,30
GO:0030198,extracellular matrix organization,GO:0030198,extracellular matrix organization,4.852627104541405,332
GO:0043062,extracellular structure organization,GO:0030198,extracellular matrix organization,4.806941207786242,333
GO:0045229,external encapsulating structure organization,GO:0030198,extracellular matrix organization,4.806941207786242,334
GO:0070665,positive regulation of leukocyte proliferation,GO:0032944,regulation of mononuclear cell proliferation,4.794706048438927,164
GO:0001656,metanephros development,GO:0072001,renal system development,4.776701445942432,93
GO:0042471,ear morphogenesis,GO:0090596,sensory organ morphogenesis,4.720637112847132,127
GO:0048706,embryonic skeletal system development,GO:0048562,embryonic organ morphogenesis,4.716829422456542,128
GO:0048705,skeletal system morphogenesis,GO:0001501,skeletal system development,4.711758281707714,229
GO:0042063,gliogenesis,GO:0042063,gliogenesis,4.683591792201563,346
GO:0032946,positive regulation of mononuclear cell proliferation,GO:0032944,regulation of mononuclear cell proliferation,4.6815165488208885,146
GO:0060348,bone development,GO:0001501,skeletal system development,4.668191815694148,215
GO:0099537,trans-synaptic signaling,GO:0099537,trans-synaptic signaling,4.6634954962514845,764
GO:0050890,cognition,GO:0050890,cognition,4.592043989082484,322
GO:0070663,regulation of leukocyte proliferation,GO:0032944,regulation of mononuclear cell proliferation,4.582740419321326,267
GO:0048667,cell morphogenesis involved in neuron differentiation,GO:0097485,neuron projection guidance,4.541102292607761,584
GO:0060485,mesenchyme development,GO:0048729,tissue morphogenesis,4.5111048420367785,336
GO:0048565,digestive tract development,GO:0048565,digestive tract development,4.483538424955633,133
GO:0055123,digestive system development,GO:0048565,digestive tract development,4.481563263315142,145
GO:0050671,positive regulation of lymphocyte proliferation,GO:0032944,regulation of mononuclear cell proliferation,4.467428400263845,143
GO:2000027,regulation of animal organ morphogenesis,GO:0048754,branching morphogenesis of an epithelial tube,4.448028080406195,89
GO:0030855,epithelial cell differentiation,GO:0048729,tissue morphogenesis,4.43866166636267,748
GO:0051046,regulation of secretion,GO:0045055,regulated exocytosis,4.431658045018851,621
GO:0051249,regulation of lymphocyte activation,GO:0046631,alpha-beta T cell activation,4.431658045018851,506
GO:0072189,ureter development,GO:0072001,renal system development,4.419901158279182,18
GO:0042391,regulation of membrane potential,GO:0042391,regulation of membrane potential,4.4176221972876695,446
GO:0001819,positive regulation of cytokine production,GO:0001819,positive regulation of cytokine production,4.4176221972876695,500
