module,analysis_cell_line,mean_z_score
Module 1,HH,-0.8924449823761154
Module 1,MyLa,-0.0687406461454332
Module 1,HuT 78,-0.2960654729329221
Module 1,SeAx,1.2572511014544707
Module 2,HH,-0.6223520886462196
Module 2,MyLa,1.2059832100522152
Module 2,HuT 78,-0.11281822153012266
Module 2,SeAx,-0.4708128998758729
Module 3,HH,0.05949680296171431
Module 3,MyLa,-1.2822174931309949
Module 3,HuT 78,0.5955878702779935
Module 3,SeAx,0.6271328198912871
Module 4,HH,1.302519470537324
Module 4,MyLa,-0.24462944251696475
Module 4,HuT 78,-0.7619480447008401
Module 4,SeAx,-0.29594198331951915
Module 5,HH,-0.2878840655389842
Module 5,MyLa,-0.46280563533690944
Module 5,HuT 78,1.353483327886641
Module 5,SeAx,-0.6027936270107473
Module 6,HH,0.37453148491753
Module 6,MyLa,-0.32722097184496896
Module 6,HuT 78,-1.1133138148142174
Module 6,SeAx,1.0660033017416564
