ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,cell_line,direction,representative_ID,representative_term
GO:0001819,positive regulation of cytokine production,360,-0.3087326014236965,-1.4957392301044996,9.596537757404723e-5,0.023542051943960585,0.02200775381399083,2531,"tags=30%, list=19%, signal=25%",9181/23236/3665/5781/116449/29126/4938/80381/25865/81844/10554/3552/5610/2627/10333/4940/834/6675/5027/6653/9466/51157/54093/8013/80342/150372/2597/4050/8772/54502/144811/5588/8877/3105/161882/3600/8809/115362/3603/84632/3066/10621/3556/64170/7040/6504/3572/7100/331/5144/9308/941/7294/10626/55703/2648/3702/4939/8140/84433/79132/2625/3594/3663/340061/6284/2149/8482/7291/5142/7292/22900/351/84282/3428/163486/7096/23411/10159/25/3115/7784/57506/3659/51571/22954/6777/192683/27086/9261/5008/4155/6693/81622/4088/1604/602/6774/85364/5603/3315/942/861/5295/9641/3098/7297/7805,HH,Down,GO:0001819,positive regulation of cytokine production
GO:0006790,sulfur compound metabolic process,236,-0.3432373896594516,-1.5706518237840195,2.1329298450844486e-4,0.035973194918502406,0.03362872614305843,1527,"tags=25%, list=12%, signal=22%",10768/1468/2135/50515/2678/56548/254552/4548/2132/64780/8460/373156/1738/100131187/9200/2539/55711/64131/4258/3141/9953/8459/5164/4357/84836/27010/84188/9446/26027/7358/8801/1499/4594/2729/84649/3425/26873/6777/55902/113189/6611/126792/9645/7263/8702/26035/92370/3073/79586/2876/10550/11001/2990/215/642/22856/6776/3074,HH,Down,GO:0006790,sulfur compound metabolic process
GO:0010952,positive regulation of peptidase activity,130,-0.4349710590719434,-1.8536668036727528,8.513107628159184e-6,0.006563605981310731,0.006135838325077738,1105,"tags=22%, list=8%, signal=21%",10134/317/5468/637/2149/581/4137/22900/3428/23411/23787/23151/23385/26999/65992/51065/9026/4155/4088/27113/489/6774/8301/8743/10550/2534/1512/5366/7805,HH,Down,GO:0010952,positive regulation of peptidase activity
GO:0042098,T cell proliferation,171,-0.41826581761105697,-1.8404880992007888,3.6706727184777026e-6,0.005144840863932962,0.004809537903285585,1716,"tags=29%, list=13%, signal=25%",8772/5588/3105/3600/9047/7048/3280/9231/6504/3572/259307/941/84433/6654/6385/3485/3594/637/581/6655/8379/3559/1499/7292/868/64926/648/25/3115/7784/3659/604/6777/23385/970/3988/3071/5074/6693/1604/4478/5573/942/2534/896/5621/57045/7297/7157,HH,Down,GO:0042098,T cell proliferation
GO:0042110,T cell activation,447,-0.30521442943339905,-1.4973808777367608,1.9965593092959462e-5,0.009795845992972929,0.009157424659766,1732,"tags=23%, list=13%, signal=20%",3981/8772/5588/6775/3105/64218/161882/3600/3575/8809/9047/3140/7048/2177/3280/9231/7040/6722/6504/3572/259307/5316/9308/3707/941/2648/3702/9474/8320/84433/6654/6385/2625/6604/64410/3485/3594/678/399/637/197358/4092/2309/581/6655/8379/3955/3559/2319/1499/1445/7480/7292/868/64926/648/1803/25/3115/7784/3659/604/51571/1880/6777/27/23385/970/196528/3988/3071/57089/27086/9021/5074/6693/4088/1604/602/6774/3683/4478/639/440275/5573/596/942/3718/2534/896/5621/5873/861/5295/57045/56940/7297/9840/7157/7805/55824,HH,Down,GO:0042110,T cell activation
GO:0042149,cellular response to glucose starvation,42,-0.59793163302574,-2.1009329653320368,1.8728479255815132e-5,0.009795845992972929,0.009157424659766,1513,"tags=31%, list=12%, signal=27%",9463/143686/7532/8140/2309/3428/23411/6513/11133/27244/596/7157/5366,HH,Down,GO:0042149,cellular response to glucose starvation
GO:0050777,negative regulation of immune response,139,-0.42074275649334486,-1.810202175279029,1.547098579323482e-5,0.009277434480676479,0.008672799404324501,1654,"tags=27%, list=13%, signal=23%",6223/54625/3105/3575/55061/7040/6504/259307/941/9474/79132/103/401397/5468/613/11274/197358/4092/7292/5045/3428/140775/57506/604/2241/7301/25939/3071/55829/6693/1604/2876/64092/3718/2534/966/56940,HH,Down,GO:0050777,negative regulation of immune response
GO:0060396,growth hormone receptor signaling pathway,19,-0.7371528767859942,-2.085127447112692,4.566895640269884e-5,0.0145013361770897,0.013556245535393138,524,"tags=42%, list=4%, signal=40%",6777/5747/6774/3718/5829/5295/7297/6776,HH,Down,GO:0060396,growth hormone receptor signaling pathway
GO:0072593,reactive oxygen species metabolic process,156,-0.3766090587449273,-1.6407572325040731,2.887502028871239e-4,0.04328846791616132,0.04046724334613991,1555,"tags=23%, list=12%, signal=21%",3684/7048/7040/3692/1026/7295/706/1182/7351/2539/3689/57103/9474/2643/4689/613/873/2309/4137/9263/847/6526/3988/4846/55312/27244/2876/1728/596/1647/2534/54541/5873/215/7157/5366,HH,Down,GO:0072593,reactive oxygen species metabolic process
GO:0002396,MHC protein complex assembly,18,-0.7268330549792403,-2.1125068799726505,5.0791077856726344e-5,0.029376588527506138,0.027679763450724506,1879,"tags=67%, list=14%, signal=57%",3115/3117/3119/3127/3109/3123/3113/55080/3105/6892/3111/567,HuT 78,Down,GO:0002501,peptide antigen assembly with MHC protein complex
GO:0032823,regulation of natural killer cell differentiation,10,-0.8340204896357944,-2.106162361085046,8.986352053112603e-5,0.03233289468709915,0.0304653100130435,820,"tags=50%, list=6%, signal=47%",3600/22890/3601/10125/639,HuT 78,Down,GO:0032823,regulation of natural killer cell differentiation
