ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module
GO:0019221,cytokine-mediated signaling pathway,77/1306,350/11952,0.22,2.013353751914242,6.73921252251624,9.955254155560855e-10,4.844226672095912e-6,4.093181340170601e-6,IFITM1/STAT5A/TYK2/PIK3R1/OSM/JAK3/FAS/IL10RA/IFITM2/UGCG/STAT5B/CSF1/IL15/STAT3/STING1/SIGIRR/NFKBIZ/TNFRSF4/IL17REL/IL7R/IL2RA/MST1R/CD44/OAS2/IL1R1/CARD16/STAT4/RBM47/PRLR/IL18R1/TNFRSF18/IL1RL1/EBI3/ACKR3/YAP1/IL1RAP/PADI2/IL6/EDN2/CXCL3/INHBA/SLIT3/CCR10/GPR35/IRAK2/TNF/USP27X/IL1RN/IL18RAP/IL5/TNFRSF1A/CSF2RB/PRKN/CCR6/IL1R2/IL17F/CCL3/IL11/PPBP/CXCL8/PLP2/TNFRSF25/IRS1/SOCS1/TRAF1/IL12RB2/CCL22/CSNK2B/CSF1R/IFIH1/NKIRAS1/MIB2/AIM2/NFKBIA/OASL/IL4R/BIRC3,77,Module 1
GO:0022407,regulation of cell-cell adhesion,78/1306,366/11952,0.21311475409836064,1.9503426806918884,6.467471083013866,3.5960359130113974e-9,8.583339709420886e-6,7.252585048780579e-6,PAG1/TWSG1/TYK2/MAP2K5/CD55/PRKCA/TESPA1/CD80/JAK3/EMILIN1/STAT5B/BCL6/IL15/TIGIT/RASAL3/TNFSF4/SMAD7/NR4A3/NFKBIZ/WNT10B/DPP4/HLA-DPB1/GCNT1/IL7R/ZP3/IL2RA/CBLB/ADAM19/MAD1L1/KLHL25/ICOS/CD44/SDC4/CD274/SLAMF1/CD40LG/ABCA12/CDH1/GCNT2/MAGI1/ADTRP/EMILIN2/CTLA4/EBI3/IL6/CD9/HLA-DQB2/HLA-DOB/ZNF703/TNF/IL1RN/PDCD1LG2/ADORA2A/BMP4/TNFAIP8L2/HLX/TJP1/EGR3/FUT7/SKAP1/RIPOR2/ADAM8/HLA-DOA/AFDN/MAP3K8/LGALS1/ANK3/HHLA2/VCAM1/SOCS1/FUT4/ZAP70/LGALS3/RASGRP1/HLA-DMB/FOXP3/IL4R/ZMIZ1,78,Module 1
GO:0045785,positive regulation of cell adhesion,78/1306,369/11952,0.21138211382113822,1.934486236133418,6.386398948835413,5.291824728372926e-9,8.583339709420886e-6,7.252585048780579e-6,TYK2/CD55/PRKCA/TESPA1/CD80/NEDD9/EMILIN1/STAT5B/CSF1/BCL6/IL15/FN1/RASAL3/SMAD3/PRKCE/TNFSF4/SMAD7/NR4A3/NFKBIZ/WNT10B/DPP4/HLA-DPB1/GCNT1/FERMT2/IL7R/ZP3/IL2RA/ADAM19/KLHL25/LIF/ICOS/CD44/SDC4/CD274/SLAMF1/CD40LG/GCNT2/MAGI1/EMILIN2/TNFRSF18/LAMA2/EBI3/CD36/LAMA1/IL6/HLA-DQB2/HLA-DOB/TNF/CARMIL1/PDCD1LG2/LAMB1/LAMB2/HLX/TJP1/COL16A1/EGR3/FUT7/CDK6/SKAP1/ADAM8/HLA-DOA/AFDN/MAP3K8/LGALS1/ANK3/HHLA2/VCAM1/SOCS1/FUT4/DOCK5/ZAP70/ZFHX3/RASGRP1/HLA-DMB/SAA1/FOXP3/IL4R/ZMIZ1,78,Module 1
GO:0051606,detection of stimulus,35/1306,120/11952,0.2916666666666667,2.669218989280245,6.436582497214761,3.1235575073064516e-8,3.799807707638298e-5,3.210688321983947e-5,COMT/TLR1/SCN11A/ANO3/NR4A1/PGLYRP4/PLCB2/WHRN/RTP4/LY96/YAP1/RYR2/PLEKHB1/ROM1/TMC1/TLR6/PIEZO2/TNF/CST4/PGLYRP3/PRDM12/CACNA1F/EPHB1/ABCA4/BEST1/CACNB4/GRK7/PDZD7/PAK1/PKD1/ELOVL4/TTN/PKD2/UNC119/TMEM107,35,Module 1
GO:0044057,regulation of system process,67/1306,315/11952,0.2126984126984127,1.9465324874206955,5.962807171755703,5.0276534050268055e-8,4.435193405144977e-5,3.747564289375534e-5,DMD/NLGN1/GPR171/PRKCA/TYMP/BIN1/PRKAR1B/SELENON/PTGER3/ATP2A3/SLC9A1/SMAD3/TMEM65/SMAD7/NR4A3/GAA/MYL5/PDE4B/ADM2/RNF207/ACTN3/NR4A1/PDE9A/PTGS2/CACNA1D/ATP1B2/ABCC9/RYR2/SPTBN4/EDN2/KCND2/ZFHX2/KCNJ12/HRH1/ITGAX/INHBA/WASF3/RIMS2/GPR35/P2RX1/TNF/TNFRSF1A/BEGAIN/HCN4/GHRL/ATP2B2/SPP1/SCN1B/CCL3/CACNA1G/STX1B/SGCA/UNC13B/CORIN/CTTN/LMNA/ANK2/ACACB/RGS2/TBXAS1/CACNA2D1/TMIGD3/DOCK5/TRDN/FBXO32/FOXO1/GRIN2D,67,Module 1
GO:0050865,regulation of cell activation,91/1306,478/11952,0.1903765690376569,1.7422517252205783,5.800804405975398,6.103144843472682e-8,4.435193405144977e-5,3.747564289375534e-5,PAG1/TWSG1/TYK2/CD55/PRKCA/SAMSN1/NFATC2/TESPA1/CD80/JAK3/NEDD9/RPS6KA1/EMILIN1/GPR183/STAT5B/ID2/BCL6/IL15/FN1/TIGIT/RASAL3/TNFSF4/SMAD7/NR4A3/NFKBIZ/TNFRSF4/WNT10B/DPP4/HLA-DPB1/IL7R/ZP3/IL2RA/MZB1/CBLB/MAD1L1/KLHL25/ICOS/PLA2G4A/SDC4/CD274/SLAMF1/CD40LG/CLNK/CD22/PRLR/IL13/SIT1/EMILIN2/IL1RL1/CTLA4/EBI3/IL6/CD9/INHBA/LRFN5/HLA-DQB2/HLA-DOB/TLR6/TNF/IL5/PDCD1LG2/ADORA2A/BMP4/CD33/TNFAIP8L2/PGLYRP3/CCL3/HLX/PDGFRA/EGR3/SYT11/CD2/RIPOR2/ADAM8/HLA-DOA/MAP3K8/LGALS1/HHLA2/VCAM1/SOCS1/PDGFA/BATF/ZAP70/TNFRSF9/LGALS3/RASGRP1/HLA-DMB/FOXP3/IL4R/MYO18A/ZMIZ1,91,Module 1
GO:0022409,positive regulation of cell-cell adhesion,57/1306,253/11952,0.22529644268774704,2.0618247189923067,5.9788712621226985,6.442522243388792e-8,4.435193405144977e-5,3.747564289375534e-5,TYK2/CD55/TESPA1/CD80/EMILIN1/STAT5B/BCL6/IL15/RASAL3/TNFSF4/SMAD7/NR4A3/NFKBIZ/WNT10B/DPP4/HLA-DPB1/GCNT1/IL7R/ZP3/IL2RA/ADAM19/KLHL25/ICOS/CD44/CD274/SLAMF1/CD40LG/GCNT2/MAGI1/EMILIN2/EBI3/IL6/HLA-DQB2/HLA-DOB/TNF/PDCD1LG2/HLX/TJP1/EGR3/FUT7/SKAP1/ADAM8/HLA-DOA/AFDN/MAP3K8/LGALS1/ANK3/HHLA2/VCAM1/SOCS1/FUT4/ZAP70/RASGRP1/HLA-DMB/FOXP3/IL4R/ZMIZ1,57,Module 1
GO:1903037,regulation of leukocyte cell-cell adhesion,63/1306,292/11952,0.21575342465753425,1.9744907591936058,5.904734250423747,7.291727751985165e-8,4.435193405144977e-5,3.747564289375534e-5,PAG1/TWSG1/TYK2/CD55/TESPA1/CD80/JAK3/STAT5B/BCL6/IL15/TIGIT/RASAL3/TNFSF4/SMAD7/NR4A3/NFKBIZ/WNT10B/DPP4/HLA-DPB1/GCNT1/IL7R/ZP3/IL2RA/CBLB/MAD1L1/KLHL25/ICOS/CD44/SDC4/CD274/SLAMF1/CD40LG/ADTRP/CTLA4/EBI3/IL6/HLA-DQB2/HLA-DOB/TNF/PDCD1LG2/ADORA2A/BMP4/TNFAIP8L2/HLX/EGR3/FUT7/SKAP1/RIPOR2/ADAM8/HLA-DOA/MAP3K8/LGALS1/HHLA2/VCAM1/SOCS1/FUT4/ZAP70/LGALS3/RASGRP1/HLA-DMB/FOXP3/IL4R/ZMIZ1,63,Module 1
GO:0007159,leukocyte cell-cell adhesion,67/1306,320/11952,0.209375,1.9161179173047476,5.818079486125595,9.490283469791336e-8,5.131079929333849e-5,4.3355610798836206e-5,PAG1/TWSG1/TYK2/CD55/TESPA1/CD80/JAK3/CERCAM/STAT5B/BCL6/IL15/TIGIT/RASAL3/TNFSF4/SMAD7/NR4A3/NFKBIZ/WNT10B/DPP4/HLA-DPB1/GCNT1/IL7R/ZP3/IL2RA/CBLB/MAD1L1/KLHL25/ICOS/CD44/ADD2/SDC4/CD274/SLAMF1/CD40LG/ADTRP/CTLA4/EBI3/IL6/HLA-DQB2/HLA-DOB/TNF/PDCD1LG2/ADORA2A/BMP4/TNFAIP8L2/HLX/EGR3/FUT7/SKAP1/RIPOR2/ADAM8/HLA-DOA/MAP3K8/LGALS1/HHLA2/VCAM1/SOCS1/FUT4/ZAP70/LGALS3/RASGRP1/HLA-DMB/ICAM1/FOXP3/SEMA4D/IL4R/ZMIZ1,67,Module 1
GO:0002694,regulation of leukocyte activation,84/1306,446/11952,0.18834080717488788,1.7236212307459875,5.455028521826907,3.2186313475566285e-7,1.3296746843851197e-4,1.123522901596097e-4,PAG1/TWSG1/TYK2/CD55/SAMSN1/NFATC2/TESPA1/CD80/JAK3/NEDD9/GPR183/STAT5B/ID2/BCL6/IL15/FN1/TIGIT/RASAL3/TNFSF4/SMAD7/NR4A3/NFKBIZ/TNFRSF4/WNT10B/DPP4/HLA-DPB1/IL7R/ZP3/IL2RA/MZB1/CBLB/MAD1L1/KLHL25/ICOS/PLA2G4A/SDC4/CD274/SLAMF1/CD40LG/CLNK/CD22/PRLR/IL13/SIT1/IL1RL1/CTLA4/EBI3/IL6/INHBA/LRFN5/HLA-DQB2/HLA-DOB/TLR6/TNF/IL5/PDCD1LG2/ADORA2A/BMP4/CD33/TNFAIP8L2/PGLYRP3/CCL3/HLX/EGR3/SYT11/CD2/RIPOR2/ADAM8/HLA-DOA/MAP3K8/LGALS1/HHLA2/VCAM1/SOCS1/BATF/ZAP70/TNFRSF9/LGALS3/RASGRP1/HLA-DMB/FOXP3/IL4R/MYO18A/ZMIZ1,84,Module 1
