ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,module,term,representative_ID,representative_term,score,size
GO:0048565,digestive tract development,19/1306,76/11952,0.25,2.2879019908116387,3.9448909008975948,4.0625061789750425e-4,0.01348970056019383,0.011398267330373397,ASCL1/ID2/SMAD3/TIGAR/STRA6/CPS1/GATA6/YAP1/TNF/CYP1A1/CCDC40/HLX/PDGFRA/CXCL8/PKD1/RB1/PTK6/CCDC103/KLF5,19,Module 1,digestive tract development,GO:0001501,skeletal system development,2.916960768116557,133
GO:0001508,action potential,26/1306,93/11952,0.27956989247311825,2.558514054240972,5.284557691712038,4.342112384693721e-6,7.285765125489534e-4,6.156185471729102e-4,DMD/BIN1/SLC9A1/SCN11A/RNF207/CNTNAP1/CACNA1D/NTRK2/ABCC9/CHRNA4/CD36/RYR2/KCND2/GNA15/GPR35/NRCAM/P2RX1/TNF/HCN4/SCN1B/CACNA1G/CACNB4/ANK2/ANK3/CACNA2D1/PTPN3,26,Module 1,action potential,GO:0001508,action potential,3.1375248334163652,149
GO:0002685,regulation of leukocyte migration,34/1306,167/11952,0.20359281437125748,1.8632016212597775,3.934469384487283,2.3753281056733847e-4,0.009029958251723976,0.00762996018154625,MTUS1/PIK3R1/NEDD9/EMILIN1/CSF1/DPP4/ZNF580/GCNT1/ZP3/IL1R1/SLAMF1/GCSAM/ADTRP/GPR18/TNFRSF18/PADI2/IL6/EDN2/CD9/TNFAIP6/TNF/CCR6/PGF/CCL3/VEGFC/CXCL8/FUT7/CAMK1D/RIPOR2/ADAM8/FUT4/CSF1R/LGALS3/ICAM1,34,Module 1,regulation of leukocyte migration,GO:0001764,neuron migration,2.578957278575553,230
GO:0001819,positive regulation of cytokine production,69/1306,360/11952,0.19166666666666668,1.7540581929555896,5.0881207330892675,1.9362972036001717e-6,4.09653138813845e-4,3.461408181813396e-4,HK1/TYK2/CD55/PIK3R1/OSM/CD80/MAPK13/HSPB1/STAT5B/TRIM16/IL15/TIGIT/SMAD3/STAT3/TLR1/SCAMP5/STING1/TNFSF4/NR4A3/ZNF580/HLA-DPB1/ZP3/PDE4B/OAS2/CD274/IL1R1/SLAMF1/CD40LG/IL9/CLNK/TLR7/S100A13/RBM47/LTB/IL13/IL18R1/PTGS2/GATA6/GBP5/DHX58/IL1RL1/CARD9/EBI3/TRAF3IP3/LY96/CD36/IL1RAP/IL6/TLR6/TNF/GARIN5A/IL17F/CCL3/CD2/NLRP1/ADAM8/HHLA2/IL12RB2/CSF1R/BATF/PIK3CD/IFIH1/RASGRP1/ATF4/AIM2/SAA1/FOXP3/STOML2/IL4R,69,Module 1,positive regulation of cytokine production,GO:0001819,positive regulation of cytokine production,3.6253445532495476,500
GO:0002250,adaptive immune response,69/1306,346/11952,0.1994219653179191,1.8250316458497464,5.4544109304102975,4.2912616620160315e-7,1.4915199462407148e-4,1.260275793371024e-4,ERAP2/PAG1/TYK2/CD55/SH2D1A/SAMSN1/SOCS3/CD80/JAK3/ORAI1/EIF2AK4/GPR183/SCART1/BCL6/STAT3/BACH2/TNFSF4/SMAD7/NFKBIZ/HLA-DPB1/IL7R/ZP3/C1RL/CD3G/PLA2G4A/CD274/IL1R1/CD3D/SLAMF1/CD40LG/IL9/FCER2/C4BPB/STAT4/SIT1/IL18R1/IL1RL1/CTLA4/CARD9/EBI3/SEMA4A/KDM5D/IL6/HLA-DQB2/CD8A/HLA-DOB/BTNL8/TNF/PDCD1LG2/FCER1A/CSF2RB/CCR6/CFI/IL17F/HLX/FUT7/SKAP1/HLA-DOA/HLA-C/RAPGEF4/BATF/PIK3CD/ZAP70/TAP1/NFKB2/HLA-DMB/ICAM1/FOXP3/IL4R,69,Module 1,adaptive immune response,GO:0002250,adaptive immune response,5.75030076797922,767
GO:0050865,regulation of cell activation,91/1306,478/11952,0.1903765690376569,1.7422517252205783,5.800804405975398,6.103144843472682e-8,4.435193405144977e-5,3.747564289375534e-5,PAG1/TWSG1/TYK2/CD55/PRKCA/SAMSN1/NFATC2/TESPA1/CD80/JAK3/NEDD9/RPS6KA1/EMILIN1/GPR183/STAT5B/ID2/BCL6/IL15/FN1/TIGIT/RASAL3/TNFSF4/SMAD7/NR4A3/NFKBIZ/TNFRSF4/WNT10B/DPP4/HLA-DPB1/IL7R/ZP3/IL2RA/MZB1/CBLB/MAD1L1/KLHL25/ICOS/PLA2G4A/SDC4/CD274/SLAMF1/CD40LG/CLNK/CD22/PRLR/IL13/SIT1/EMILIN2/IL1RL1/CTLA4/EBI3/IL6/CD9/INHBA/LRFN5/HLA-DQB2/HLA-DOB/TLR6/TNF/IL5/PDCD1LG2/ADORA2A/BMP4/CD33/TNFAIP8L2/PGLYRP3/CCL3/HLX/PDGFRA/EGR3/SYT11/CD2/RIPOR2/ADAM8/HLA-DOA/MAP3K8/LGALS1/HHLA2/VCAM1/SOCS1/PDGFA/BATF/ZAP70/TNFRSF9/LGALS3/RASGRP1/HLA-DMB/FOXP3/IL4R/MYO18A/ZMIZ1,91,Module 1,regulation of cell activation,GO:0002274,myeloid leukocyte activation,4.353087437172541,630
GO:0033559,unsaturated fatty acid metabolic process,20/1306,71/11952,0.28169014084507044,2.57791773612579,4.6705445067054034,4.809196906188662e-5,0.0029424503424780933,0.002486255010647334,ABCD1/COMT/FADS3/FADS2/PLA2G4A/ALOX12B/PTGS2/CYP1A2/PTGES/EDN2/AKR1C4/TNFRSF1A/CYP1A1/CYP4Z1/DAGLA/MGST3/TBXAS1/ELOVL4/FADS1/AKR1C2,20,Module 1,unsaturated fatty acid metabolic process,GO:0006525,arginine metabolic process,2.5312908576840942,115
GO:0007015,actin filament organization,66/1306,357/11952,0.18487394957983194,1.691893909171632,4.64856298552463,1.1265618063994215e-5,0.0011917064673781707,0.0010069451752393915,PIK3R1/NEDD9/BIN1/ARHGAP25/FAT1/SLC9A1/DMTN/SMAD3/PRKCE/RHOC/CYFIP2/PSTPIP1/FERMT2/ERMN/MSRB2/GAS2L1/ADD2/CARMIL3/SDC4/RFLNB/SPIRE2/TPM2/PLEKHH2/RHPN2/SHROOM3/CDC42EP3/MYO5C/CRACD/SPTB/OOEP/VILL/CALD1/SPTBN4/PPP1R9A/CAPG/GAS7/WASF3/CARMIL1/GMFG/ANG/ACTL8/PRKN/GHRL/SPTBN5/IQGAP3/CORO6/TJP1/MTSS1/MYO1C/CTTN/PAK1/FSCN1/DLC1/FSCN2/GAS2L3/WIPF1/RHOF/JMY/GPR65/TLE6/MYO5A/TTN/NAA80/DNAI3/RHOG/INF2,66,Module 1,actin filament organization,GO:0007015,actin filament organization,2.9238307037371936,467
GO:0022407,regulation of cell-cell adhesion,78/1306,366/11952,0.21311475409836064,1.9503426806918884,6.467471083013866,3.5960359130113974e-9,8.583339709420886e-6,7.252585048780579e-6,PAG1/TWSG1/TYK2/MAP2K5/CD55/PRKCA/TESPA1/CD80/JAK3/EMILIN1/STAT5B/BCL6/IL15/TIGIT/RASAL3/TNFSF4/SMAD7/NR4A3/NFKBIZ/WNT10B/DPP4/HLA-DPB1/GCNT1/IL7R/ZP3/IL2RA/CBLB/ADAM19/MAD1L1/KLHL25/ICOS/CD44/SDC4/CD274/SLAMF1/CD40LG/ABCA12/CDH1/GCNT2/MAGI1/ADTRP/EMILIN2/CTLA4/EBI3/IL6/CD9/HLA-DQB2/HLA-DOB/ZNF703/TNF/IL1RN/PDCD1LG2/ADORA2A/BMP4/TNFAIP8L2/HLX/TJP1/EGR3/FUT7/SKAP1/RIPOR2/ADAM8/HLA-DOA/AFDN/MAP3K8/LGALS1/ANK3/HHLA2/VCAM1/SOCS1/FUT4/ZAP70/LGALS3/RASGRP1/HLA-DMB/FOXP3/IL4R/ZMIZ1,78,Module 1,regulation of cell-cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,5.066343698729022,496
GO:0097696,receptor signaling pathway via STAT,29/1306,113/11952,0.25663716814159293,2.348642751629647,5.044976119017311,8.012582700398435e-6,0.0010780129940416367,9.10878654190545e-4,STAT5A/TYK2/OSM/SOCS3/JAK3/GADD45A/IL10RA/STAT5B/IL15/STAT3/IL7R/LIF/IL9/STAT4/PRLR/IL13/MGAT5/TNFRSF18/IL6/TNF/IL5/TNFRSF1A/CSF2RB/PKD1/PTK6/SOCS1/CSF1R/PKD2/MST1,29,Module 1,receptor signaling pathway via STAT,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,2.96737600426378,191
