go,term,parent,parentTerm,score,size
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,8.530996845678997,168
GO:0007389,pattern specification process,GO:0007389,pattern specification process,8.530996845678997,474
GO:0072001,renal system development,GO:0072001,renal system development,8.302910356607985,329
GO:0001822,kidney development,GO:0072001,renal system development,8.222222444464528,319
GO:0003002,regionalization,GO:0007389,pattern specification process,7.514453017125121,429
GO:0001763,morphogenesis of a branching structure,GO:0001763,morphogenesis of a branching structure,7.22818023489039,206
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,7.174142631388693,279
GO:0001501,skeletal system development,GO:0001501,skeletal system development,6.965644126555984,531
GO:0007186,G protein-coupled receptor signaling pathway,GO:0007186,G protein-coupled receptor signaling pathway,6.903410661858406,1314
GO:0043410,positive regulation of MAPK cascade,GO:0043410,positive regulation of MAPK cascade,6.903410661858406,475
GO:0061138,morphogenesis of a branching epithelium,GO:0001763,morphogenesis of a branching structure,6.7899568994690735,189
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007186,G protein-coupled receptor signaling pathway,6.504822659889953,249
GO:0048754,branching morphogenesis of an epithelial tube,GO:0001763,morphogenesis of a branching structure,6.428396742299978,157
GO:0048729,tissue morphogenesis,GO:0048729,tissue morphogenesis,6.412109361608696,616
GO:0032835,glomerulus development,GO:0072001,renal system development,6.232608153180734,71
GO:0060348,bone development,GO:0001501,skeletal system development,6.211092295000987,215
GO:0048514,blood vessel morphogenesis,GO:0048514,blood vessel morphogenesis,6.211092295000987,715
GO:0090596,sensory organ morphogenesis,GO:0090596,sensory organ morphogenesis,6.209757516197485,278
GO:0045229,external encapsulating structure organization,GO:0045229,external encapsulating structure organization,6.1876153229348,334
GO:0072073,kidney epithelium development,GO:0072001,renal system development,6.1876153229348,152
GO:0072006,nephron development,GO:0072001,renal system development,6.092940418481776,158
GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007186,G protein-coupled receptor signaling pathway,6.030478278540555,158
GO:0045165,cell fate commitment,GO:0045165,cell fate commitment,5.953637033817493,289
GO:0030198,extracellular matrix organization,GO:0045229,external encapsulating structure organization,5.845044507097803,332
GO:0007423,sensory organ development,GO:0090596,sensory organ morphogenesis,5.824101481107242,592
GO:0043062,extracellular structure organization,GO:0045229,external encapsulating structure organization,5.806248641105365,333
GO:0002250,adaptive immune response,GO:0002250,adaptive immune response,5.75030076797922,767
GO:0060441,epithelial tube branching involved in lung morphogenesis,GO:0060441,epithelial tube branching involved in lung morphogenesis,5.691772259575693,30
GO:0002252,immune effector process,GO:0002250,adaptive immune response,5.596454416835564,711
GO:0097485,neuron projection guidance,GO:0097485,neuron projection guidance,5.568451973995869,234
GO:0007411,axon guidance,GO:0097485,neuron projection guidance,5.568451973995869,234
GO:0019221,cytokine-mediated signaling pathway,GO:0019221,cytokine-mediated signaling pathway,5.314775543452757,526
GO:0043408,regulation of MAPK cascade,GO:0043410,positive regulation of MAPK cascade,5.280563684954235,669
GO:0061564,axon development,GO:0097485,neuron projection guidance,5.1971933453257915,522
GO:0030855,epithelial cell differentiation,GO:0048729,tissue morphogenesis,5.186307351808088,748
GO:0002768,immune response-regulating cell surface receptor signaling pathway,GO:0002250,adaptive immune response,5.0863889209652715,360
GO:0002429,immune response-activating cell surface receptor signaling pathway,GO:0002250,adaptive immune response,5.0863889209652715,332
GO:0045785,positive regulation of cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,5.066343698729022,485
GO:0022407,regulation of cell-cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,5.066343698729022,496
GO:0002009,morphogenesis of an epithelium,GO:0048729,tissue morphogenesis,4.970703426913041,501
GO:0001764,neuron migration,GO:0001764,neuron migration,4.952501649359013,183
GO:0007610,behavior,GO:0007610,behavior,4.952501649359013,656
GO:0002764,immune response-regulating signaling pathway,GO:0002250,adaptive immune response,4.791183288538266,528
GO:0002274,myeloid leukocyte activation,GO:0002274,myeloid leukocyte activation,4.568433959494716,241
GO:0002757,immune response-activating signaling pathway,GO:0002250,adaptive immune response,4.554388260705869,500
GO:0040013,negative regulation of locomotion,GO:0040013,negative regulation of locomotion,4.522364931201541,431
GO:0002253,activation of immune response,GO:0002250,adaptive immune response,4.4387283742044374,567
GO:0051606,detection of stimulus,GO:0051606,detection of stimulus,4.420238380652834,674
GO:0001657,ureteric bud development,GO:0072001,renal system development,4.38265288332227,99
GO:0042063,gliogenesis,GO:0042063,gliogenesis,4.357402279786233,346
GO:0044057,regulation of system process,GO:0044057,regulation of system process,4.353087437172541,565
GO:0022409,positive regulation of cell-cell adhesion,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,4.353087437172541,325
