Geneid,module,Ensembl,gene_symbol,gene_type
ENSG00000065413.22,Module 1,ENSG00000065413,ANKRD44,protein_coding
ENSG00000114013.17,Module 2,ENSG00000114013,CD86,protein_coding
ENSG00000184897.7,Module 2,ENSG00000184897,H1-10,protein_coding
ENSG00000180611.8,Module 1,ENSG00000180611,MB21D2,protein_coding
ENSG00000168214.24,Module 3,ENSG00000168214,RBPJ,protein_coding
ENSG00000109323.13,Module 3,ENSG00000109323,MANBA,protein_coding
ENSG00000109332.22,Module 3,ENSG00000109332,UBE2D3,protein_coding
ENSG00000145354.14,Module 3,ENSG00000145354,CISD2,protein_coding
ENSG00000145349.22,Module 3,ENSG00000145349,CAMK2D,protein_coding
ENSG00000049860.15,Module 1,ENSG00000049860,HEXB,protein_coding
ENSG00000164308.20,Module 1,ENSG00000164308,ERAP2,protein_coding
ENSG00000105835.15,Module 1,ENSG00000105835,NAMPT,protein_coding
ENSG00000136573.17,Module 3,ENSG00000136573,BLK,protein_coding
ENSG00000129422.17,Module 1,ENSG00000129422,MTUS1,protein_coding
ENSG00000156675.18,Module 1,ENSG00000156675,RAB11FIP1,protein_coding
ENSG00000178860.11,Module 3,ENSG00000178860,MSC,protein_coding
ENSG00000076641.6,Module 1,ENSG00000076641,PAG1,protein_coding
ENSG00000080503.27,Module 4,ENSG00000080503,SMARCA2,protein_coding
ENSG00000157654.21,Module 1,ENSG00000157654,PALM2AKAP2,protein_coding
ENSG00000156515.27,Module 1,ENSG00000156515,HK1,protein_coding
ENSG00000203780.14,Module 3,ENSG00000203780,FANK1,protein_coding
ENSG00000185885.19,Module 1,ENSG00000185885,IFITM1,protein_coding
ENSG00000085063.20,Module 1,ENSG00000085063,CD59,protein_coding
ENSG00000134574.14,Module 1,ENSG00000134574,DDB2,protein_coding
ENSG00000182985.21,Module 3,ENSG00000182985,CADM1,protein_coding
ENSG00000076706.19,Module 3,ENSG00000076706,MCAM,protein_coding
ENSG00000181026.17,Module 1,ENSG00000181026,AEN,protein_coding
ENSG00000167522.19,Module 1,ENSG00000167522,ANKRD11,protein_coding
ENSG00000141510.21,Module 2,ENSG00000141510,TP53,protein_coding
ENSG00000126561.20,Module 1,ENSG00000126561,STAT5A,protein_coding
ENSG00000101577.13,Module 1,ENSG00000101577,LPIN2,protein_coding
