module,analysis_cell_line,mean_z_score
Module 1,HH,-0.5140401375687237
Module 1,MyLa,1.2392388567162835
Module 1,HuT 78,-0.37318681215077754
Module 1,SeAx,-0.35201190699678203
Module 2,HH,-0.5774575942935836
Module 2,MyLa,-0.22577187335247742
Module 2,HuT 78,-0.5882967810877346
Module 2,SeAx,1.3915262487337954
Module 3,HH,1.3151705335718353
Module 3,MyLa,-0.6667634525869545
Module 3,HuT 78,-0.613666614962479
Module 3,SeAx,-0.03474046602240255
Module 4,HH,-0.07560640691100147
Module 4,MyLa,-1.1567011724840497
Module 4,HuT 78,0.266609047057688
Module 4,SeAx,0.9656985323373631
Module 5,HH,-0.7911494938117606
Module 5,MyLa,-0.3516327700034489
Module 5,HuT 78,1.3784882127872595
Module 5,SeAx,-0.23570594897204988
Module 6,HH,0.7646225726525453
Module 6,MyLa,-0.3938005406051023
Module 6,HuT 78,0.7224696629971957
Module 6,SeAx,-1.093291695044639
