Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_line,Ensembl,gene_symbol,gene_type
ENSG00000187634.15,66.2312063701956,-1.2990207896253163,0.49507951076840423,-2.6238629581117765,0.008693875800638184,0.012636030256464533,HH,ENSG00000187634,SAMD11,protein_coding
ENSG00000188976.13,6945.3905742757215,0.6560338348217002,0.079195733957148,8.28370168495027,1.1940448918683575e-16,4.63016574701586e-16,HH,ENSG00000188976,NOC2L,protein_coding
ENSG00000187961.17,565.7079083340392,0.7848817797557479,0.13764113641822862,5.7023779386044176,1.1814751057707463e-8,2.9566369150365087e-8,HH,ENSG00000187961,KLHL17,protein_coding
ENSG00000187583.13,25.05074520052251,0.13196175370813643,0.6175862923741572,0.21367338514079098,0.8308017675903441,0.8527200690663849,HH,ENSG00000187583,PLEKHN1,protein_coding
ENSG00000188290.13,6.87079116532864,-2.0153389658027625,1.4732765600775015,-1.3679298377602274,0.1713340390129009,0.2042250347956043,HH,ENSG00000188290,HES4,protein_coding
ENSG00000187608.11,1266.341385189356,-0.6362649781960682,0.4174986694256331,-1.5239928286990694,0.12751050261996896,0.15545784664602952,HH,ENSG00000187608,ISG15,protein_coding
ENSG00000188157.17,1365.2282315625214,0.6511982315701875,0.11188682772007515,5.8201509939971885,5.879448874532503e-9,1.4983742116109133e-8,HH,ENSG00000188157,AGRN,protein_coding
ENSG00000131591.20,491.16494788201874,0.7238052610548558,0.10104264796425923,7.163363942232392,7.872099045933248e-13,2.524534125631103e-12,HH,ENSG00000131591,C1orf159,protein_coding
ENSG00000186891.15,276.5569183670587,-9.781006517149082,1.2534011754680736,-7.803572159166387,6.017896941142545e-15,2.1435160107655313e-14,HH,ENSG00000186891,TNFRSF18,protein_coding
ENSG00000186827.13,7286.9341989326085,-5.889890575740211,0.9576105961883162,-6.1506113227907,7.718485998450586e-10,2.0935489701936833e-9,HH,ENSG00000186827,TNFRSF4,protein_coding
ENSG00000078808.22,5747.086871957236,-0.00859664997944894,0.0724267589381068,-0.11869439010511731,0.9055174811763821,0.9181988121194886,HH,ENSG00000078808,SDF4,protein_coding
ENSG00000176022.7,1470.8246854451545,-0.8039722799259218,0.05322643014487297,-15.104756748435895,1.5066135856387115e-51,1.8772174819913315e-50,HH,ENSG00000176022,B3GALT6,protein_coding
ENSG00000184163.4,7.08968937998624,-0.5085341034397104,0.7375423452620192,-0.6894981782490721,0.49050981926645443,0.5338421553590065,HH,ENSG00000184163,C1QTNF12,protein_coding
ENSG00000160087.23,2619.981541727305,0.497289080347932,0.046314386298148505,10.737248619611137,6.804199103631038e-27,4.05112503049901e-26,HH,ENSG00000160087,UBE2J2,protein_coding
ENSG00000162572.22,66.20800812391653,-0.8749818127551093,0.25610177809772605,-3.4165393901374026,6.342248781472804e-4,0.0010658739957309486,HH,ENSG00000162572,SCNN1D,protein_coding
ENSG00000131584.21,1740.9722247957668,1.1081552521684943,0.0872118659526102,12.706473368780477,5.443445232008988e-37,4.504407727541152e-36,HH,ENSG00000131584,ACAP3,protein_coding
ENSG00000169972.15,761.092173232022,0.7872990826773029,0.08179194479247046,9.625631040744974,6.232319699893411e-22,3.0353446430758903e-21,HH,ENSG00000169972,PUSL1,protein_coding
ENSG00000127054.24,2845.4023126916445,0.543404633090406,0.073220467701324607,7.42148541452946,1.1581400965786225e-13,3.880215907123184e-13,HH,ENSG00000127054,INTS11,protein_coding
ENSG00000224051.9,882.1867436919069,0.778065900239148,0.08977902454922393,8.666455267761915,4.457817476428499e-18,1.8385675686801465e-17,HH,ENSG00000224051,CPTP,protein_coding
ENSG00000169962.6,11.875980361600343,1.0083784703531864,0.7047429680427295,1.4308457353660988,0.15247443207734615,0.18335479546632702,HH,ENSG00000169962,TAS1R3,protein_coding
ENSG00000107404.23,2114.3534251885635,0.8420742810520048,0.06989671030319063,12.047409347297508,2.0014181704901795e-33,1.4888403547944353e-32,HH,ENSG00000107404,DVL1,protein_coding
ENSG00000175756.16,3903.3787839683637,0.3746233623165612,0.05787501019165926,6.47297272304499,9.609330541969091e-11,2.749471019834976e-10,HH,ENSG00000175756,AURKAIP1,protein_coding
ENSG00000221978.15,2030.3442672803299,0.6976578461766207,0.07072867412628485,9.863861507299918,5.970793323597894e-23,3.0397402104082563e-22,HH,ENSG00000221978,CCNL2,protein_coding
ENSG00000242485.8,2850.1457721452766,0.6121596362202574,0.04677939844312475,13.086094661190058,3.954221248759635e-39,3.507254007697262e-38,HH,ENSG00000242485,MRPL20,protein_coding
ENSG00000235098.11,1735.9781332966984,6.33219768526478,0.6168973341611308,10.264589153842637,1.0175317233343684e-24,5.565040264463627e-24,HH,ENSG00000235098,ANKRD65,protein_coding
ENSG00000205116.4,462.42237695066376,5.693521929954203,0.5646042660741992,10.084093004720533,6.496234259292935e-24,3.4360966356073387e-23,HH,ENSG00000205116,TMEM278,protein_coding
ENSG00000179403.14,5.267351609925291,2.8101635260491076,1.0648881104418635,2.638928445621448,0.00831685332098825,0.012123202028010276,HH,ENSG00000179403,VWA1,protein_coding
ENSG00000215915.10,154.20403579157872,7.224951872636646,0.46595327533522674,15.50574329033036,3.172242732763407e-54,4.227386455634508e-53,HH,ENSG00000215915,ATAD3C,protein_coding
ENSG00000160072.22,2447.182701346333,1.7036484980255093,0.08640529614889239,19.71694530263291,1.5426877980154464e-86,4.0051494166405007e-85,HH,ENSG00000160072,ATAD3B,protein_coding
ENSG00000197785.16,3578.6996639487065,0.870614704256761,0.05965364934037921,14.594491936094293,3.0447247328255834e-48,3.5210201812702596e-47,HH,ENSG00000197785,ATAD3A,protein_coding
ENSG00000205090.10,18.02615394748051,1.2686760267281807,0.4744375914480651,2.6740630371551366,0.007493836389649197,0.011007232014684773,HH,ENSG00000205090,TMEM240,protein_coding
ENSG00000160075.14,4347.016602927856,0.6642273665196718,0.05780517436690901,11.490794272215076,1.4675633948244457e-30,9.884627247931266e-30,HH,ENSG00000160075,SSU72,protein_coding
ENSG00000228594.4,161.78873232722296,-3.610596825342021,0.7236747226033042,-4.98925375250565,6.061298445338898e-7,1.3384768322280897e-6,HH,ENSG00000228594,FNDC10,protein_coding
ENSG00000197530.15,1222.267681142251,-0.09739622445853031,0.07884640891897135,-1.2352651920853135,0.21673182369495692,0.2536517473254646,HH,ENSG00000197530,MIB2,protein_coding
ENSG00000248333.11,1485.594131876462,0.7906810371466795,0.06179795438197884,12.794615049220033,1.7572103373444108e-37,1.4765778418188076e-36,HH,ENSG00000248333,CDK11B,protein_coding
ENSG00000189339.14,1161.8700133052366,0.3746207492379662,0.0675172446136749,5.548519513518339,2.8809873435055574e-8,7.019612646832666e-8,HH,ENSG00000189339,SLC35E2B,protein_coding
ENSG00000008128.25,103.87218996665885,1.3923075642957952,0.16854774300375766,8.260612331455276,1.4492706028394933e-16,5.591576011488194e-16,HH,ENSG00000008128,CDK11A,protein_coding
ENSG00000008130.17,2407.835926191345,0.8401127389613043,0.04353224895094762,19.29862938870785,5.5152772261798084e-83,1.3460788031610758e-81,HH,ENSG00000008130,NADK,protein_coding
ENSG00000078369.21,13517.611898634883,0.9653618893739552,0.04655707949022464,20.73501817433904,1.6739174163597512e-95,4.980859745985533e-94,HH,ENSG00000078369,GNB1,protein_coding
ENSG00000178821.15,22.230884640085634,0.2737044952461555,0.3968573716454208,0.689679756007409,0.4903955992956772,0.5338115631521391,HH,ENSG00000178821,TMEM52,protein_coding
ENSG00000067606.19,63.73604285220049,-3.1925902804722064,0.6512751070493666,-4.9020609661198185,9.483639213183726e-7,2.0627548375404455e-6,HH,ENSG00000067606,PRKCZ,protein_coding
ENSG00000162585.19,1478.9898123807193,0.7071468657139919,0.06061802915559347,11.665619545282437,1.910075765244638e-31,1.3255600345278684e-30,HH,ENSG00000162585,FAAP20,protein_coding
ENSG00000157933.13,1279.1917296053673,1.3070488035114387,0.05771906283392665,22.645010839350796,1.5623419859626488e-113,6.323603448152547e-112,HH,ENSG00000157933,SKI,protein_coding
ENSG00000116151.16,139.629540791029,0.5107523722325373,0.14547089185671067,3.5110279844549948,4.4637740518266766e-4,7.625687143460097e-4,HH,ENSG00000116151,MORN1,protein_coding
ENSG00000157916.22,3727.0047505558437,0.8729672718255923,0.05056873853934725,17.262982962217684,8.937242660304867e-67,1.5676861856225212e-65,HH,ENSG00000157916,RER1,protein_coding
ENSG00000157911.13,823.3724730179058,0.38125334065280286,0.09287605995859428,4.10496893195913,4.043692213958685e-5,7.657866989904612e-5,HH,ENSG00000157911,PEX10,protein_coding
ENSG00000157881.18,549.0223941380552,1.2507026851537864,0.07413701724562909,16.87015112855143,7.460525529529053e-64,1.2433891205415877e-62,HH,ENSG00000157881,PANK4,protein_coding
ENSG00000157873.20,342.3018306039236,-0.091391221483442725,0.15194599715451476,-0.6014717280805131,0.5475258367715667,0.5896954161345203,HH,ENSG00000157873,TNFRSF14,protein_coding
ENSG00000157870.19,196.253997513185,1.8693380629189773,0.15780630309112287,11.845775652190245,2.263146661090549e-32,1.6197468662269701e-31,HH,ENSG00000157870,PRXL2B,protein_coding
ENSG00000162591.19,371.2620087801399,-7.947194400526899,1.1948869505409176,-6.651001081674928,2.91106143158769e-11,8.587565332250421e-11,HH,ENSG00000162591,MEGF6,protein_coding
ENSG00000158109.17,912.43580158182,1.1297053956049035,0.06837588792568838,16.521985013674396,2.548697993372203e-61,4.011736829422696e-60,HH,ENSG00000158109,TPRG1L,protein_coding
ENSG00000116213.18,1382.959792418695,1.1431306354531714,0.0667222868525251,17.13266570103944,8.468408306916701e-66,1.4657206568930328e-64,HH,ENSG00000116213,WRAP73,protein_coding
ENSG00000078900.18,1401.1069236568821,4.622178083180821,0.42820248823242596,10.794374647986464,3.6594522116195175e-27,2.2121354672558984e-26,HH,ENSG00000078900,TP73,protein_coding
ENSG00000235169.13,16.170182429364285,3.1363159450380076,0.5489491529836713,5.713308651614403,1.108004486189222e-8,2.7797155858525752e-8,HH,ENSG00000235169,SMIM1,protein_coding
ENSG00000130764.12,2626.6802187254216,1.42754396403598,0.060917162144777645,23.434183631916962,1.9165278042722675e-121,8.733603801776385e-120,HH,ENSG00000130764,LRRC47,protein_coding
ENSG00000116198.16,1393.252863914946,1.3773309514117071,0.05105810466499548,26.975755571984255,2.8457343288702326e-160,2.318028469260359e-158,HH,ENSG00000116198,CEP104,protein_coding
ENSG00000169598.19,375.38059845781584,0.975624019351445,0.12123239806798854,8.04755193248181,8.446653303272333e-16,3.14080549219824e-15,HH,ENSG00000169598,DFFB,protein_coding
ENSG00000198912.13,1229.9684689605424,1.3982910761730423,0.06440787061506328,21.70994108049303,1.652693917223137e-104,5.837279084869687e-103,HH,ENSG00000198912,C1orf174,protein_coding
ENSG00000131697.20,642.9236969147137,0.16800278236191368,0.08268529451932724,2.0318338749176728,0.042170476582244466,0.055594560114949634,HH,ENSG00000131697,NPHP4,protein_coding
ENSG00000069424.17,8138.668728484831,1.305543714375171,0.058551261881604415,22.297447952788623,3.9118198412731187e-110,1.4950952490120983e-108,HH,ENSG00000069424,KCNAB2,protein_coding
ENSG00000116254.19,27.107343929652316,-0.56641861040643,0.47548741973828224,-1.191237847508559,0.23356022550955494,0.27166358046104677,HH,ENSG00000116254,CHD5,protein_coding
ENSG00000116251.13,2862.739523270499,1.521189375001936,0.09321518207348208,16.319116062046348,7.217308935018921e-60,1.093757992443042e-58,HH,ENSG00000116251,RPL22,protein_coding
ENSG00000158286.15,150.3294056578433,-4.1427415354854205,0.3555393248541137,-11.65199246858357,2.2415566960463433e-31,1.5531211281005843e-30,HH,ENSG00000158286,RNF207,protein_coding
ENSG00000116237.18,4232.657102571273,1.124262016390107,0.07114648966307593,15.802072902179793,3.0105215346927605e-56,4.209884888589136e-55,HH,ENSG00000116237,ICMT,protein_coding
ENSG00000158292.9,518.1314145135584,3.0930830304195718,0.1399097492275653,22.107701911384503,2.664976038891889e-108,9.895336955805695e-107,HH,ENSG00000158292,GPR153,protein_coding
ENSG00000097021.23,6314.943683852706,0.8587921895636521,0.048790546432447963,17.60161040115992,2.3941858453456847e-69,4.419748459262084e-68,HH,ENSG00000097021,ACOT7,protein_coding
ENSG00000187017.19,13.297967042532779,-1.2601283745803682,0.8577737263368441,-1.4690685152619387,0.14181420646204887,0.17131008924088265,HH,ENSG00000187017,ESPN,protein_coding
ENSG00000215788.13,1601.984537503733,6.459589100213338,0.23972147862777302,26.946225833369944,6.315863207738182e-160,5.049978232297652e-158,HH,ENSG00000215788,TNFRSF25,protein_coding
ENSG00000171680.25,28.145011657712747,-0.6675470918317811,0.5954161414261394,-1.1211437604510919,0.2622266741141412,0.30196149882749623,HH,ENSG00000171680,PLEKHG5,protein_coding
ENSG00000162408.13,1281.9993710379256,0.7195499939350855,0.0702852161570573,10.237572469396694,1.3457044108454205e-24,7.341383669547243e-24,HH,ENSG00000162408,NOL9,protein_coding
ENSG00000204859.15,510.81579300815184,0.6944050820918446,0.09224950858741854,7.527466462694536,5.173429022154069e-14,1.7558671991076557e-13,HH,ENSG00000204859,ZBTB48,protein_coding
ENSG00000162413.18,2116.47103377553,1.645100637292629,0.06678019620007163,24.634558310729616,5.387536179736489e-134,2.9879046395959856e-132,HH,ENSG00000162413,KLHL21,protein_coding
ENSG00000116273.8,1239.0422081031484,1.4538012859165355,0.08175604830797079,17.78218634589751,9.711779874873118e-71,1.866867656478191e-69,HH,ENSG00000116273,PHF13,protein_coding
ENSG00000041988.18,471.63178611508664,0.7768906582278633,0.09191102567183285,8.452638326567495,2.8479283459570907e-17,1.134384172764632e-16,HH,ENSG00000041988,THAP3,protein_coding
ENSG00000007923.19,2934.9834097829303,0.7634176185453931,0.050400610093786956,15.146991616268194,7.931498098384307e-52,9.949106324951172e-51,HH,ENSG00000007923,DNAJC11,protein_coding
ENSG00000171735.22,819.6913170290247,1.240594877907606,0.08529202482634295,14.545262355225981,6.259042367361793e-48,7.174503005613565e-47,HH,ENSG00000171735,CAMTA1,protein_coding
ENSG00000049245.14,523.8951347067947,0.08474671752680739,0.10203767219590917,0.8305434228653934,0.4062316076600076,0.45039698363529385,HH,ENSG00000049245,VAMP3,protein_coding
ENSG00000049246.17,315.6627857047084,5.327069965358475,0.16922090594720463,31.47997545303576,1.6329502717073122e-217,2.47467917339086e-215,HH,ENSG00000049246,PER3,protein_coding
ENSG00000049249.11,254.84290844285374,0.6437722810688127,0.4948748371782252,1.3008789954639848,0.1932998768408229,0.22803016789160435,HH,ENSG00000049249,TNFRSF9,protein_coding
ENSG00000116288.15,7965.634920654559,0.45668429906579794,0.04177625285567496,10.931672130660257,8.133565009387392e-28,5.007310003181194e-27,HH,ENSG00000116288,PARK7,protein_coding
ENSG00000116285.15,39.03630519087346,-5.141146312383485,1.267432287552779,-4.056347911343071,4.9845994313011695e-5,9.362196914274123e-5,HH,ENSG00000116285,ERRFI1,protein_coding
ENSG00000142599.22,1453.3669506809954,1.218586439300351,0.072152785412813,16.88897292500024,5.423898332075801e-64,9.074411676757885e-63,HH,ENSG00000142599,RERE,protein_coding
ENSG00000074800.18,96992.69175976152,0.5781349439076319,0.05101715626874677,11.332167180431394,9.092670101131985e-30,5.97603476692149e-29,HH,ENSG00000074800,ENO1,protein_coding
ENSG00000131686.15,12.098831110106337,-2.6563645040876804,1.4335696902945314,-1.8529720055269319,0.06388637124562413,0.08195187760277749,HH,ENSG00000131686,CA6,protein_coding
ENSG00000180758.14,131.53040797657025,-9.864763106595987,1.1947248280740992,-8.256933207371292,1.4946300700950048e-16,5.759761591823831e-16,HH,ENSG00000180758,GPR157,protein_coding
ENSG00000049239.15,1054.0637508635862,0.4872636143840187,0.08718463619908119,5.588870191204099,2.2855171530489297e-8,5.602246578086647e-8,HH,ENSG00000049239,H6PD,protein_coding
ENSG00000171621.16,421.0964704407677,-5.377633272977726,0.27160017715442286,-19.799815041800144,2.987887316298058e-87,7.819505099058752e-86,HH,ENSG00000171621,SPSB1,protein_coding
ENSG00000171612.9,1148.5345416097864,0.5103428731973556,0.06413206930104043,7.95768604942046,1.7528643391844837e-15,6.422569843292487e-15,HH,ENSG00000171612,SLC25A33,protein_coding
ENSG00000188807.15,1961.1422307867501,0.9205794888131056,0.05403147611404409,17.037837109429343,4.303552070081287e-65,7.303150277261643e-64,HH,ENSG00000188807,TMEM201,protein_coding
ENSG00000171608.20,4763.544754380101,0.7538600930754742,0.07771302697218449,9.70056272991786,2.9984030211791034e-22,1.4813565797963326e-21,HH,ENSG00000171608,PIK3CD,protein_coding
ENSG00000171603.20,4408.482370848068,0.8833955599123987,0.06004099440034976,14.713206680455189,5.303357240122148e-49,6.193427859364872e-48,HH,ENSG00000171603,CLSTN1,protein_coding
ENSG00000178585.17,854.918155749635,2.2334871259273057,0.1154103880710655,19.352565772086354,1.9394276367708123e-83,4.769162337742264e-82,HH,ENSG00000178585,CTNNBIP1,protein_coding
ENSG00000162441.14,1014.805023421447,1.2561723117575692,0.08828649636946487,14.228362925409215,6.1095295662459716e-46,6.668802247645205e-45,HH,ENSG00000162441,LZIC,protein_coding
ENSG00000173614.16,321.00547944375916,1.2043835632927826,0.09320680474381339,12.921626984243591,3.398777406197738e-38,2.9354715662674038e-37,HH,ENSG00000173614,NMNAT1,protein_coding
ENSG00000130939.22,2170.634965856193,0.8537681299224382,0.07034265428338947,12.137274867150483,6.702115322211417e-34,5.060757183915492e-33,HH,ENSG00000130939,UBE4B,protein_coding
ENSG00000054523.22,1671.73572481276,1.669602173567194,0.09379898304319523,17.79978971412012,7.093472228684049e-71,1.3696181267620624e-69,HH,ENSG00000054523,KIF1B,protein_coding
ENSG00000142657.23,8603.114263563488,0.9010210795347684,0.03359295643803675,26.821726191224926,1.8031910918932356e-158,1.407244880278116e-156,HH,ENSG00000142657,PGD,protein_coding
ENSG00000175279.23,110.20961934399705,-0.10161597107762635,0.17901880398603667,-0.5676273598920497,0.5702880251380915,0.611331126141203,HH,ENSG00000175279,CENPS,protein_coding
ENSG00000160049.14,3693.2712301659303,0.6606048923048816,0.04816800518422453,13.714599344073228,8.30237346092617e-43,8.209774910185946e-42,HH,ENSG00000160049,DFFA,protein_coding
ENSG00000142655.15,938.2461614392492,0.802412186593383,0.0646537335981348,12.410918007935923,2.2802324124565888e-35,1.7891793516885443e-34,HH,ENSG00000142655,PEX14,protein_coding
ENSG00000130940.16,461.886416677631,0.6484015316011694,0.18646818996672754,3.4772769109673183,5.065343820192342e-4,8.614984471951819e-4,HH,ENSG00000130940,CASZ1,protein_coding
ENSG00000120948.21,6092.953051861057,0.26349281836083505,0.04039365180411994,6.5231244661558465,6.885767524605054e-11,1.9885266596095205e-10,HH,ENSG00000120948,TARDBP,protein_coding
ENSG00000116649.12,7857.487236212675,1.442807118984073,0.08019357390722605,17.99155529161502,2.268993012105853e-72,4.494192390087474e-71,HH,ENSG00000116649,SRM,protein_coding
ENSG00000171824.16,3488.9479554625136,0.7046604557072692,0.05148170346070884,13.687590121120806,1.2043778388194507e-42,1.1846533111950115e-41,HH,ENSG00000171824,EXOSC10,protein_coding
ENSG00000198793.16,2403.0416410294156,0.626396772966212,0.06784638828679025,9.23257359431426,2.6420608197448175e-20,1.2082097776748844e-19,HH,ENSG00000198793,MTOR,protein_coding
ENSG00000120942.15,1086.4420175677824,0.2238406177070092,0.07584830860714742,2.951161625322203,0.003165812101269319,0.004891526866134325,HH,ENSG00000120942,UBIAD1,protein_coding
ENSG00000204624.10,20.90268231561869,-0.5967896782692235,0.39650429007157706,-1.5051279222262408,0.13229119154921254,0.1607899934216998,HH,ENSG00000204624,DISP3,protein_coding
ENSG00000116661.13,12.166538375941014,-3.0998571835800797,1.1926019326408657,-2.599238772585115,0.00934307598035798,0.013514795699445676,HH,ENSG00000116661,FBXO2,protein_coding
ENSG00000132879.16,131.20848016711304,-0.1377125796422145,0.34957333311501615,-0.3939447509198435,0.6936218298985729,0.7285013545868403,HH,ENSG00000132879,FBXO44,protein_coding
ENSG00000116670.19,2549.737262330619,0.24470629521942783,0.07438603971515335,3.2896803776149697,0.0010030124563441124,0.001647002815110598,HH,ENSG00000116670,MAD2L2,protein_coding
ENSG00000116663.13,345.42213263430125,-5.453201715614863,0.3257735808362011,-16.739238650407113,6.785045964526457e-63,1.113721713547523e-61,HH,ENSG00000116663,FBXO6,protein_coding
ENSG00000162490.9,172.05382716943197,-2.8877452751291286,1.1387380220432806,-2.5359171461997363,0.011215326548637116,0.01605550866744151,HH,ENSG00000162490,DRAXIN,protein_coding
ENSG00000177674.18,152.837656603716,-9.798834368269798,1.20091410983352,-8.159479756323446,3.3647066305472877e-16,1.2747738812768255e-15,HH,ENSG00000177674,AGTRAP,protein_coding
ENSG00000177000.15,478.44413286511815,0.7281953048398473,0.1061202578751014,6.861982051503298,6.791159819245641e-12,2.0762182951965384e-11,HH,ENSG00000177000,MTHFR,protein_coding
ENSG00000011021.25,503.2899856457189,1.7487021586135392,0.14053910049446197,12.442815931374541,1.5301281419097818e-35,1.2071525468226505e-34,HH,ENSG00000011021,CLCN6,protein_coding
ENSG00000116685.19,2503.539476787678,0.798850185132191,0.07401257918455875,10.793438006533558,3.69695250496039e-27,2.2337682891584965e-26,HH,ENSG00000116685,KIAA2013,protein_coding
ENSG00000083444.19,2542.6819075241037,0.6978107465699308,0.06696656850177579,10.42028525847829,2.0035137610206026e-25,1.12745228183858e-24,HH,ENSG00000083444,PLOD1,protein_coding
ENSG00000116688.20,4151.078975965945,0.9661959596384203,0.053763113614785425,17.971354236684427,3.266428139618324e-72,6.450205749037214e-71,HH,ENSG00000116688,MFN2,protein_coding
ENSG00000116691.13,3277.6575580625095,1.4842562945941675,0.08973408381219371,16.540607888754934,1.8712449241202984e-61,2.956113344976951e-60,HH,ENSG00000116691,MIIP,protein_coding
ENSG00000120949.16,15514.436063892063,2.7119156467272596,0.15902348480936304,17.053554385242514,3.2890968592198714e-65,5.603503185125828e-64,HH,ENSG00000120949,TNFRSF8,protein_coding
ENSG00000028137.21,2825.181668450074,2.3060744633750287,0.18527962046149873,12.446455026359647,1.4619563600393126e-35,1.1540688819135289e-34,HH,ENSG00000028137,TNFRSF1B,protein_coding
